threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.455,0,0,5,1.000,8.7,8,20191023,Gary Harris,1,.318,0.0,1,102,11,2,30.4,2.7,.273,0,1,0,2114.0,.200,0.0,-15.0,DEN,3,5,.350,5,1,.091,3,48,3,0.0,4.4,+5,20.0
.429,0,6,6,.750,12.1,14,20191023,Jamal Murray,3,.393,30.1,3,104,14,1,11.3,1.4,.286,0,4,1,2027.0,.500,3.1,-1.6,DEN,4,2,.444,1,1,.286,5,102,4,0.0,7.6,+9,22.6
.500,2,2,4,1.000,16.1,11,20191023,Paul Millsap,3,.563,10.3,2,92,8,3,18.4,4.5,.375,0,2,0,1906.0,.750,0.0,4.9,DEN,3,2,.619,3,1,.250,5,106,5,5.1,8.1,+4,14.7
.375,1,2,3,.917,13.0,19,20191023,Will Barton,2,.500,10.4,11,98,8,2,7.0,3.1,.375,0,12,1,1886.0,.667,3.3,9.4,DEN,3,1,.715,1,1,1.500,5,149,4,2.6,8.2,+2,19.5
.357,0,2,5,.500,38.5,20,20191023,Nikola Jokić,3,.679,22.4,1,97,14,0,21.2,0.0,.571,0,2,4,1434.0,.600,17.5,4.1,DEN,8,4,.672,4,1,.143,13,108,9,0.0,28.1,+14,33.9
.500,0,1,2,.500,4.9,9,20191023,Jerami Grant,2,1.000,8.5,1,109,4,0,17.0,0.0,.750,0,2,1,1249.0,1.000,5.0,3.6,DEN,3,1,.922,1,0,.500,2,143,1,0.0,5.0,+8,12.1
.000,0,5,0,.500,5.2,5,20191023,Mason Plumlee,0,.500,42.4,1,104,4,1,0.0,2.5,.500,0,2,3,1168.0,0,16.1,7.9,DEN,2,0,.512,2,0,.500,4,158,1,0.0,10.6,-8,10.8
.500,1,2,3,0,31.8,10,20191023,Torrey Craig,2,.833,27.2,0,90,6,1,14.3,3.0,.667,0,0,1,962.0,.667,6.5,14.0,DEN,4,1,.833,4,0,.000,6,141,5,5.1,19.3,+2,18.7
.000,0,3,0,1.000,7.2,6,20191023,Monte Morris,0,.333,37.3,2,108,6,0,12.7,0.0,.333,0,2,0,851.0,0,0.0,-5.9,DEN,2,1,.436,0,0,.333,1,100,1,0.0,3.6,-1,23.8
.667,0,1,4,0,7.6,6,20191023,Malik Beasley,2,.500,13.4,0,100,6,1,25.0,3.6,.333,0,0,0,803.0,.500,0.0,-5.7,DEN,2,2,.500,2,0,.000,1,76,1,0.0,3.9,+5,25.6
0,0,0,0,0,0,0,20191023,Juan Hernangómez,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191023,PJ Dozier,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191023,Michael Porter,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0
.476,0,8,10,.900,8.3,32,20191023,Damian Lillard,3,.548,43.6,9,113,21,1,10.6,1.3,.476,0,10,1,2269.0,.300,2.7,11.9,POR,10,3,.630,3,1,.476,4,130,3,0.0,5.5,0,30.8
.222,0,3,4,0,2.9,12,20191023,CJ McCollum,2,.333,13.7,0,115,18,1,21.7,1.3,.278,0,0,2,2150.0,.500,5.7,-10.2,POR,5,5,.333,3,1,.000,3,67,1,0.0,4.3,-10,26.3
.500,0,1,5,1.000,13.4,13,20191023,Rodney Hood,2,.600,5.4,1,114,10,0,16.1,0.0,.500,0,1,1,1870.0,.400,3.3,-1.3,POR,5,2,.623,4,1,.100,5,113,4,0.0,8.3,+3,16.4
.222,2,0,2,0,13.7,8,20191023,Zach Collins,0,.444,0.0,0,110,9,0,18.2,0.0,.444,0,0,1,1830.0,.000,3.3,-5.1,POR,4,2,.444,3,1,.000,5,80,4,6.4,8.5,+2,14.8
.000,2,0,0,1.000,56.1,16,20191023,Hassan Whiteside,0,.857,0.0,4,95,7,0,31.3,0.0,.857,0,4,5,1563.0,0,19.6,7.1,POR,6,4,.913,4,1,.571,19,129,14,7.5,37.6,0,20.1
.429,0,0,3,1.000,4.3,4,20191023,Kent Bazemore,0,.143,0.0,2,93,7,5,0.0,9.8,.143,0,2,1,1472.0,.000,4.2,1.9,POR,1,0,.254,2,0,.286,2,69,1,0.0,4.2,-11,13.2
.333,0,0,1,1.000,23.2,2,20191023,Mario Hezonja,0,.000,0.0,2,111,3,0,0.0,0.0,.000,0,2,0,1080.0,.000,0.0,-8.2,POR,0,0,.258,2,0,.667,4,65,4,0.0,11.5,-7,8.8
1.000,0,0,1,0,0.0,0,20191023,Anthony Tolliver,0,.000,0.0,0,119,1,0,50.0,0.0,.000,0,0,0,786.0,.000,0.0,-12.0,POR,0,1,.000,1,0,.000,0,0,0,0.0,0.0,-9,6.3
.286,0,0,2,.500,0.0,5,20191023,Anfernee Simons,0,.286,0.0,1,100,7,2,11.3,7.8,.286,0,2,0,736.0,.000,0.0,-8.1,POR,2,1,.317,2,0,.286,0,63,0,0.0,0.0,-5,29.7
.000,0,1,0,1.000,38.9,8,20191023,Skal Labissière,0,.750,19.8,2,106,4,0,29.1,0.0,.750,0,2,2,644.0,0,19.0,8.8,POR,3,2,.820,1,0,.500,6,125,4,0.0,28.9,-3,26.3
0,0,0,0,0,0,0,20191023,Nassir Little,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,POR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191023,Gary Trent,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,POR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191023,Bol Bol,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191023,Vlatko Čančar,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191023,Jarred Vanderbilt,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191023,Moses Brown,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,POR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191023,Pau Gasol,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,POR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191023,Jaylen Hoard,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,POR,0,0,0,0,0,0,0,0,0,0,0,0,0
