threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.500,1,5,5,.929,11.6,27,20191112,Damian Lillard,2,.700,24.3,13,106,10,2,23.6,2.6,.600,0,14,0,2254.0,.400,0.0,10.8,POR,6,5,.835,1,1,1.400,4,134,4,2.4,5.9,-11,25.2
.238,1,1,5,.250,11.9,24,20191112,CJ McCollum,1,.548,6.6,1,112,21,0,4.2,0.0,.524,0,4,1,2207.0,.200,3.1,-0.2,POR,11,1,.527,3,1,.190,5,103,4,2.4,7.6,-5,28.9
.500,1,3,4,.833,16.7,12,20191112,Kent Bazemore,1,.438,14.9,5,107,8,1,22.0,1.5,.375,0,6,0,1963.0,.250,0.0,0.3,POR,3,3,.564,3,1,.750,5,98,5,2.7,8.5,+3,18.7
.250,0,2,1,0,9.7,2,20191112,Mario Hezonja,0,.250,13.4,0,114,4,0,33.3,0.0,.250,0,0,1,1346.0,.000,5.1,-8.2,POR,1,2,.250,1,1,.000,3,59,2,0.0,7.5,-1,12.0
.000,0,1,0,.750,21.2,17,20191112,Hassan Whiteside,0,.778,13.2,3,110,9,0,8.5,0.0,.778,0,4,3,1237.0,0,16.6,8.7,POR,7,1,.790,4,1,.444,7,150,4,0.0,19.0,+4,25.5
.455,0,2,5,0,7.8,5,20191112,Anfernee Simons,1,.227,11.3,0,115,11,0,15.4,0.0,.182,0,0,0,1668.0,.200,0.0,-14.3,POR,2,2,.227,2,0,.000,2,48,2,0.0,4.0,-5,20.9
.000,2,0,0,.500,23.0,3,20191112,Skal Labissière,0,.500,0.0,1,98,2,1,41.0,2.6,.500,0,2,2,1137.0,0,12.1,-2.9,POR,1,2,.521,2,0,1.000,6,80,4,9.4,17.7,-4,11.5
1.000,0,0,6,0,23.1,3,20191112,Anthony Tolliver,1,.250,0.0,0,110,6,0,14.3,0.0,.167,0,0,0,1131.0,.167,0.0,-11.6,POR,1,1,.250,1,0,.000,4,45,4,0.0,11.8,-8,16.6
.800,0,1,4,0,7.8,6,20191112,Gary Trent,2,.600,12.7,0,115,5,0,0.0,0.0,.400,0,0,0,839.0,.500,0.0,2.7,POR,2,0,.600,1,0,.000,1,125,1,0.0,4.0,-2,16.0
0,0,0,0,0,0.0,0,20191112,Nassir Little,0,0,0.0,0,117,0,0,0,0.0,0,0,0,0,350.0,0,0.0,-7.7,POR,0,0,0,1,0,0,0,0,0,0.0,0.0,-7,0.0
.000,0,0,0,0,73.3,0,20191112,Moses Brown,0,.000,0.0,0,95,1,0,0.0,0.0,.000,0,0,0,268.0,0,0.0,-7.7,POR,0,0,.000,0,0,.000,3,0,3,0.0,37.5,-4,10.0
0,0,0,0,0,0,0,20191112,Rodney Hood,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,POR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191112,Jaylen Hoard,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,POR,0,0,0,0,0,0,0,0,0,0,0,0,0
.167,2,3,1,0,9.0,3,20191112,Cory Joseph,1,.250,10.3,0,101,6,1,25.0,1.3,.167,0,0,1,2278.0,1.000,2.9,-6.4,SAC,1,2,.250,5,1,.000,4,65,3,5.4,5.9,-2,9.1
.524,0,1,11,1.000,9.3,20,20191112,Buddy Hield,2,.381,4.5,4,108,21,0,11.6,0.0,.333,0,4,1,2220.0,.182,2.9,-9.5,SAC,7,3,.439,2,1,.190,4,85,3,0.0,6.0,+10,30.0
.500,0,4,7,0,28.8,19,20191112,Nemanja Bjelica,3,.679,19.7,0,104,14,0,0.0,0.0,.571,0,0,3,2146.0,.429,9.2,7.6,SAC,8,0,.679,4,1,.000,12,149,9,0.0,18.7,+4,16.9
.375,0,2,3,.700,10.7,16,20191112,Harrison Barnes,1,.563,9.4,7,104,8,1,19.5,1.5,.500,0,10,1,1923.0,.333,3.4,0.1,SAC,4,3,.645,1,1,1.250,4,112,3,0.0,7.0,+2,20.7
.000,2,1,0,.500,25.7,11,20191112,Richaun Holmes,0,.833,5.1,1,97,6,1,0.0,1.6,.833,0,2,3,1868.0,0,10.5,4.3,SAC,5,0,.799,5,1,.333,10,170,7,6.6,17.9,+10,9.5
.421,0,10,8,.857,10.8,25,20191112,Bogdan Bogdanović,3,.500,58.2,6,94,19,4,12.0,6.2,.421,0,7,0,1909.0,.375,0.0,14.9,SAC,8,3,.566,2,0,.368,3,118,3,0.0,5.3,+11,34.0
.250,0,3,1,1.000,21.0,9,20191112,Yogi Ferrell,1,.875,30.2,2,106,4,0,17.0,0.0,.750,0,2,0,980.0,1.000,0.0,6.9,SAC,3,1,.922,2,0,.500,3,158,3,0.0,10.3,+5,15.5
.000,1,0,0,0,15.3,2,20191112,Dewayne Dedmon,0,.250,0.0,0,97,4,0,20.0,0.0,.250,0,0,2,448.0,0,29.2,-17.2,SAC,1,1,.250,1,0,.000,3,65,1,13.7,22.4,+6,28.8
.000,0,0,0,0,38.0,2,20191112,Harry Giles,0,.333,0.0,0,101,3,0,25.0,0.0,.333,0,0,0,361.0,0,0.0,-26.4,SAC,1,1,.333,3,0,.000,2,49,2,0.0,18.6,-6,28.6
1.000,0,0,1,.000,25.7,0,20191112,Trevor Ariza,0,.000,0.0,0,57,1,2,0.0,22.0,.000,0,1,0,267.0,.000,0.0,8.4,SAC,0,0,.000,0,0,1.000,1,0,1,0.0,12.5,0,13.9
0,0,0,0,0,0,0,20191112,Justin James,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191112,Wenyen Gabriel,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191112,Caleb Swanigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191112,Zach Collins,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,POR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191112,Pau Gasol,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,POR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191112,Marvin Bagley,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191112,De'Aaron Fox,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191112,Kyle Guy,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191112,DaQuan Jeffries,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0
