threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.500,1,2,5,1.000,11.8,13,20191118,Miles Bridges,2,.600,14.2,1,136,10,1,8.7,1.8,.500,0,1,2,1663.0,.400,7.5,3.1,CHO,5,1,.623,0,1,.100,5,119,3,3.2,9.6,-29,18.4
.545,0,4,6,0,8.3,10,20191118,Terry Rozier,2,.455,28.3,0,143,11,0,15.4,0.0,.364,0,0,1,1583.0,.333,4.0,-8.5,CHO,4,2,.455,2,1,.000,3,91,2,0.0,6.1,-24,22.0
.778,0,5,7,0,4.2,11,20191118,Devonte' Graham,3,.611,35.8,0,140,9,1,30.8,1.9,.444,0,0,1,1567.0,.429,4.0,-5.1,CHO,4,4,.611,2,1,.000,2,94,1,0.0,4.1,-15,22.2
.600,0,2,3,0,0.0,5,20191118,P.J. Washington,1,.500,21.3,0,146,5,0,16.7,0.0,.400,0,0,0,995.0,.333,0.0,-12.0,CHO,2,1,.500,5,1,.000,0,93,0,0.0,0.0,-27,16.1
.500,1,0,3,0,20.9,8,20191118,Cody Zeller,2,.667,0.0,0,135,6,0,25.0,0.0,.500,0,0,2,939.0,.667,13.3,-3.5,CHO,3,2,.667,1,1,.000,5,93,3,5.7,17.0,-23,22.8
1.000,1,5,4,0,21.9,3,20191118,Nicolas Batum,1,.375,31.0,0,136,4,0,33.3,0.0,.250,0,0,1,1494.0,.250,4.2,-4.1,CHO,1,2,.375,2,0,.000,6,92,5,3.6,12.9,-7,10.8
.800,2,1,4,1.000,18.6,14,20191118,Marvin Williams,3,1.100,8.2,3,135,5,0,0.0,0.0,.800,0,3,0,1410.0,.750,0.0,13.1,CHO,4,0,1.108,1,0,.600,4,212,4,7.6,9.1,-2,12.0
.556,0,3,5,.750,9.7,7,20191118,Malik Monk,0,.222,22.3,3,142,9,0,27.1,0.0,.222,0,4,1,1350.0,.000,4.6,-19.2,CHO,2,4,.325,1,0,.444,3,64,2,0.0,7.1,-15,29.3
.000,2,0,0,.375,11.0,13,20191118,Bismack Biyombo,0,.714,0.0,3,137,7,0,0.0,0.0,.714,0,8,0,1195.0,0,0.0,0.0,CHO,5,0,.618,1,0,1.143,2,116,2,8.9,5.4,+2,23.6
1.000,1,1,1,.500,21.8,5,20191118,Cody Martin,0,.000,29.0,3,126,2,0,40.0,5.0,.500,0,6,1,601.0,.000,0.0,-21.0,CHO,1,1,.000,0,0,.000,3,26,2,0.0,10.6,-13,22.3
.500,0,2,3,0,21.8,0,20191118,Willy Hernangómez,0,.500,17.0,0,133,3,1,17.7,0.0,.000,0,0,0,601.0,.000,10.4,-1.1,CHO,0,2,.539,2,0,3.000,2,104,2,8.9,16.0,-13,25.1
.500,0,0,2,0,0.0,5,20191118,Dwayne Bacon,1,.625,0.0,0,146,4,0,0.0,0.0,.500,0,0,0,501.0,.500,0.0,-1.7,CHO,2,0,.625,0,0,.000,0,113,0,0.0,0.0,-7,21.4
.667,0,1,2,1.000,26.1,2,20191118,Michael Kidd-Gilchrist,0,.000,17.4,2,136,3,0,0.0,0.0,.000,0,2,0,501.0,.000,0.0,-15.4,CHO,0,0,.258,2,0,.667,2,74,2,0.0,12.8,-7,20.7
.429,1,5,6,1.000,18.0,20,20191118,Pascal Siakam,3,.607,17.2,3,101,14,1,0.0,1.4,.500,0,3,2,2082.0,.500,6.3,7.3,TOR,7,0,.653,1,1,.214,8,158,6,4.2,12.3,+36,18.7
.500,0,8,6,.750,10.2,11,20191118,Fred VanVleet,2,.333,27.5,3,90,12,5,12.7,8.1,.250,0,4,1,1847.0,.333,3.5,1.5,TOR,3,2,.400,2,1,.333,4,111,3,0.0,6.9,+19,21.6
.750,1,9,3,0,25.0,5,20191118,Marc Gasol,1,.625,31.7,0,102,4,0,0.0,0.0,.500,0,0,1,1753.0,.333,3.7,9.3,TOR,2,0,.625,1,1,.000,8,189,7,5.0,14.6,+26,5.8
.538,0,2,7,0,19.1,24,20191118,OG Anunoby,4,.923,10.8,0,101,13,1,18.8,1.8,.769,0,0,0,1640.0,.571,0.0,7.6,TOR,10,3,.923,4,1,.000,5,130,5,0.0,9.8,+25,24.7
.533,0,6,8,.500,4.1,17,20191118,Norman Powell,2,.533,31.1,1,101,15,2,5.9,4.0,.467,0,2,1,1515.0,.250,4.3,4.9,TOR,7,1,.535,0,1,.133,2,127,1,0.0,4.2,+27,28.2
.714,0,7,5,1.000,5.0,16,20191118,Terence Davis,4,1.000,42.4,2,103,7,1,20.2,2.4,.714,0,2,0,1240.0,.800,0.0,17.7,TOR,5,2,1.015,5,0,.286,1,166,1,0.0,2.6,+11,20.2
.000,0,2,0,1.000,20.7,15,20191118,Rondae Hollis-Jefferson,0,.600,13.3,3,105,10,0,0.0,0.0,.600,0,3,4,1212.0,0,21.6,1.8,TOR,6,0,.663,4,0,.300,8,161,4,0.0,21.1,+11,23.7
.182,0,0,2,.000,22.9,11,20191118,Chris Boucher,1,.500,0.0,0,98,11,1,8.0,2.7,.455,0,1,7,1095.0,.500,41.8,-9.1,TOR,5,1,.481,3,0,.091,11,119,4,0.0,32.1,+10,28.8
.800,0,1,4,0,6.7,6,20191118,Matt Thomas,2,.600,7.0,0,102,5,1,0.0,3.2,.400,0,0,0,933.0,.500,0.0,0.1,TOR,2,0,.600,1,0,.000,1,136,1,0.0,3.4,+13,13.6
.500,0,0,1,0,16.4,5,20191118,Malcolm Miller,1,1.250,0.0,0,106,2,0,0.0,0.0,1.000,0,0,0,382.0,1.000,0.0,11.3,TOR,2,0,1.250,1,0,.000,1,250,1,0.0,8.4,+2,13.3
.500,0,0,1,0,65.6,2,20191118,Dewan Hernandez,0,.500,0.0,0,73,2,1,33.3,7.9,.500,0,0,0,382.0,.000,0.0,-12.9,TOR,1,1,.500,3,0,.000,4,60,4,0.0,33.5,+2,19.9
.000,0,0,0,0,0.0,0,20191118,Oshae Brissett,0,.000,0.0,0,111,2,0,0.0,0.0,.000,0,0,0,319.0,0,0.0,-26.6,TOR,0,0,.000,0,0,.000,0,0,0,0.0,0.0,-2,15.9
0,0,0,0,0,0,0,20191118,Robert Franks,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191118,Caleb Martin,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191118,Jalen McDaniels,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191118,Kobi Simmons,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191118,Serge Ibaka,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191118,Stanley Johnson,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191118,Kyle Lowry,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191118,Patrick McCaw,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0
