trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
13,.400,3,111,5.4,23.1,.267,4,ORL,.400,.000,16,Jonathan Isaac,4,.667,20191120,7,15,1.9,6,16.2,116,20.6,1.5,23.3,3,0,1,0,.454,2018.0,3,1,7.1,6,1,.400,6,18.8,-6
2,.333,2,107,14.9,9.3,.400,4,ORL,.567,.500,21,Evan Fournier,6,.800,20191120,0,15,7.2,2,22.5,116,3.8,5.5,30.5,3,0,1,3,.610,1671.0,0,3,0.0,7,3,.467,5,0.0,+3
0,.000,2,102,0.0,0.0,.071,0,ORL,.429,.000,12,Markelle Fultz,1,0,20191120,0,14,-1.4,0,31.7,121,0.0,4.0,23.0,4,0,1,0,.429,1533.0,0,0,0.0,6,2,.429,0,0.0,+11
2,.000,1,74,0.0,21.2,.333,0,ORL,.333,.000,2,Aaron Gordon,1,0,20191120,0,3,-13.8,2,0.0,125,8.7,0.0,10.3,0,0,1,0,.333,734.0,0,0,0.0,1,0,.333,0,0.0,-6
5,.000,0,97,0.0,24.0,.571,0,ORL,.214,.250,3,Nikola Vučević,4,0,20191120,3,7,12.5,2,72.5,119,24.6,0.0,27.1,5,0,1,1,.214,650.0,1,0,7.4,1,0,.143,0,25.1,+1
2,.167,0,102,7.2,4.8,.750,1,ORL,.542,.333,14,Terrence Ross,9,.500,20191120,1,12,0.3,1,0.0,123,3.9,1.9,21.5,0,0,0,3,.543,1623.0,1,1,3.0,5,1,.417,2,3.3,-29
2,.222,2,65,9.2,9.7,.444,1,ORL,.167,.250,4,D.J. Augustin,4,.500,20191120,0,9,-12.8,2,27.0,123,4.0,1.9,17.0,5,0,0,1,.202,1608.0,0,1,0.0,1,1,.111,2,0.0,-27
5,.667,1,67,34.0,11.4,.333,0,ORL,.500,1.000,3,Al-Farouq Aminu,1,.000,20191120,3,3,-12.2,2,0.0,127,11.7,0.0,10.8,0,0,0,1,.387,1370.0,0,2,0.0,1,0,.333,2,11.9,-14
4,.429,3,144,0.0,24.4,.000,2,ORL,.714,0,12,Khem Birch,0,.667,20191120,0,7,-1.3,4,0.0,124,10.0,0.0,16.4,0,0,0,0,.721,1277.0,0,0,0.0,5,0,.714,3,0.0,-3
3,.667,2,65,34.0,25.0,.333,1,ORL,.333,.000,3,Mohamed Bamba,1,.500,20191120,0,3,-5.1,3,19.3,113,10.3,0.0,15.8,2,0,0,0,.387,935.0,3,2,15.4,1,0,.333,2,0.0,-12
4,3.000,0,146,17.7,21.3,.500,5,ORL,.500,.000,7,Wesley Iwundu,1,.833,20191120,2,2,7.7,2,25.4,125,17.5,0.0,19.4,2,0,0,0,.754,731.0,0,1,0.0,1,0,.500,6,14.9,-2
0,.000,0,52,0.0,62.8,.000,0,ORL,.000,0,0,Josh Magette,0,0,20191120,0,0,22.5,0,66.4,62,25.8,24.6,20.3,1,0,0,0,.000,124.0,0,0,0.0,0,0,0,0,0.0,+2
1,0,0,226,0,0.0,0,0,ORL,0,0,0,Melvin Frazier,0,0,20191120,0,1,5.4,1,66.4,130,0.0,0.0,0.0,1,0,0,0,0,124.0,0,0,0.0,0,1,.000,0,0.0,+2
1,.000,3,120,7.7,2.4,.333,0,TOR,.625,.250,15,Norman Powell,4,0,20191120,0,12,-3.1,1,7.1,112,1.4,0.0,15.6,2,0,1,1,.625,2252.0,0,1,0.0,7,0,.583,0,0.0,+5
1,.211,2,115,12.6,2.6,.263,3,TOR,.553,.200,24,Fred VanVleet,5,.750,20191120,0,19,3.5,1,31.0,106,1.5,2.9,30.8,7,0,1,1,.578,2086.0,0,3,0.0,10,2,.526,4,0.0,+8
11,.222,2,96,13.2,23.5,.222,3,TOR,.417,.250,18,Pascal Siakam,4,.750,20191120,2,18,-1.6,9,15.7,97,16.9,1.5,29.7,4,0,1,1,.455,2078.0,1,3,2.3,7,1,.389,4,7.5,+6
6,.000,4,158,0.0,18.7,.500,0,TOR,.625,.500,5,Marc Gasol,2,0,20191120,0,4,6.6,6,19.8,98,11.0,1.7,6.2,5,0,1,1,.625,1748.0,1,0,2.8,2,1,.500,0,0.0,-2
4,.333,3,116,12.7,15.7,.500,2,TOR,.583,.333,9,OG Anunoby,3,1.000,20191120,0,6,-2.0,4,0.0,103,9.2,0.0,15.4,0,0,1,1,.654,1385.0,1,1,3.5,3,0,.500,2,0.0,+1
8,.200,2,167,8.4,23.4,.500,2,TOR,.850,.600,19,Terence Davis,5,1.000,20191120,1,10,18.3,7,27.2,100,15.8,0.0,19.8,5,0,0,3,.873,1623.0,1,1,3.0,7,0,.700,2,4.8,+22
