threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.316,0,7,6,0,22.9,23,20191227,Khris Middleton,3,.605,49.1,0,85,19,0,13.6,0.0,.526,0,0,1,1519.0,.500,4.3,7.8,MIL,10,3,.605,2,1,.000,8,111,7,0.0,14.9,+34,36.4
.250,1,0,2,1.000,47.5,18,20191227,Ersan İlyasova,2,1.000,0.0,2,76,8,0,18.4,0.0,.875,0,2,3,1462.0,1.000,13.4,12.2,MIL,7,2,1.014,1,1,.250,17,155,14,3.9,32.8,+37,18.7
.286,3,5,4,.500,7.0,19,20191227,Brook Lopez,2,.643,34.5,1,81,14,0,11.8,0.0,.571,0,2,0,1409.0,.500,0.0,12.3,MIL,8,2,.638,0,1,.143,2,115,2,12.3,4.0,+27,30.1
.125,1,2,1,1.000,7.3,10,20191227,Donte DiVincenzo,0,.375,10.7,4,73,8,3,9.3,5.9,.375,0,4,0,1362.0,.000,0.0,3.7,MIL,3,1,.512,1,1,.500,2,103,2,4.2,4.1,+33,19.8
.667,1,1,2,0,17.2,0,20191227,Wesley Matthews,0,.000,5.4,0,82,3,0,0.0,0.0,.000,0,0,0,1156.0,.000,0.0,-9.7,MIL,0,0,.000,3,1,.000,4,22,4,5.0,9.8,+29,6.5
.571,0,0,4,0,9.9,5,20191227,Sterling Brown,1,.357,0.0,0,84,7,1,30.0,1.8,.286,0,0,0,1500.0,.250,0.0,-13.0,MIL,2,3,.357,3,0,.000,3,47,3,0.0,5.6,-4,16.7
.375,0,4,3,0,37.0,7,20191227,Pat Connaughton,1,.438,21.7,0,77,8,1,27.3,2.0,.375,0,0,1,1342.0,.333,4.9,-0.6,MIL,3,3,.438,0,0,.000,11,81,10,0.0,23.1,-3,20.6
.000,2,1,0,.000,4.0,10,20191227,Robin Lopez,0,.625,6.7,0,84,8,0,0.0,0.0,.625,0,3,0,1243.0,0,0.0,0.8,MIL,5,0,.536,0,0,.375,1,103,1,9.3,2.3,-1,18.8
.000,0,2,0,0,12.4,8,20191227,George Hill,0,.571,13.1,0,83,7,1,30.0,2.2,.571,0,0,0,1204.0,0,0.0,-6.8,MIL,4,3,.571,1,0,.000,3,81,3,0.0,7.0,-6,20.9
1.000,0,3,4,1.000,4.7,8,20191227,Kyle Korver,2,.750,20.2,2,79,4,2,17.0,5.1,.500,0,2,0,1057.0,.500,0.0,11.4,MIL,2,1,.820,0,0,.500,1,142,1,0.0,2.7,-4,14.0
.500,0,2,1,0,20.4,0,20191227,D.J. Wilson,0,.000,17.2,0,86,2,0,0.0,0.0,.000,0,0,0,730.0,.000,0.0,-4.2,MIL,0,0,.000,0,0,.000,3,55,3,0.0,11.6,-6,6.9
.333,0,2,1,0,0.0,4,20191227,Thanasis Antetokounmpo,0,.667,43.1,0,75,3,1,0.0,6.5,.667,0,0,1,416.0,.000,15.7,14.5,MIL,2,0,.667,2,0,.000,1,155,0,0.0,6.8,-6,18.1
.444,0,3,4,1.000,8.1,12,20191227,Kevin Huerter,2,.556,20.5,2,112,9,0,16.8,0.0,.444,0,2,1,1624.0,.500,3.1,-1.9,ATL,4,2,.607,1,1,.222,3,107,2,0.0,5.2,0,18.3
.429,3,2,6,0,58.6,9,20191227,John Collins,1,.321,14.4,0,98,14,0,12.5,0.0,.286,0,0,2,1563.0,.167,6.4,-5.8,ATL,4,2,.321,5,1,.000,16,66,14,8.8,28.9,-34,25.6
.500,0,1,4,0,0.0,5,20191227,De'Andre Hunter,1,.313,7.3,0,105,8,2,27.3,4.0,.250,0,0,0,1362.0,.250,0.0,-11.9,ATL,2,3,.313,2,1,.000,0,47,0,0.0,0.0,-36,20.2
.286,1,1,2,.000,34.9,6,20191227,Bruno Fernando,0,.429,12.9,0,98,7,1,10.7,2.9,.429,0,3,2,939.0,.000,10.6,-5.5,ATL,3,1,.361,4,1,.429,7,74,5,4.9,21.0,-3,24.8
.667,0,2,4,.667,0.0,12,20191227,Trae Young,2,.667,26.8,4,113,6,0,31.6,0.0,.500,0,6,0,912.0,.500,0.0,-3.3,ATL,3,4,.694,1,1,1.000,0,94,0,0.0,0.0,-25,34.7
.333,1,1,4,0,18.1,11,20191227,Cam Reddish,1,.458,6.4,0,106,12,1,7.7,1.5,.417,0,0,0,1806.0,.250,0.0,-2.7,ATL,5,1,.458,0,0,.000,5,83,5,2.5,7.8,-19,18.0
.700,0,0,7,.667,20.8,20,20191227,Allen Crabbe,4,.900,0.0,2,97,10,3,8.1,6.4,.700,0,3,0,1261.0,.571,0.0,20.0,ATL,7,1,.883,2,0,.300,4,141,4,0.0,9.0,0,24.4
.200,2,1,1,0,5.8,2,20191227,Damian Jones,0,.200,8.3,0,100,5,1,16.7,2.4,.200,0,0,3,1136.0,.000,13.1,-6.9,ATL,1,1,.200,1,0,.000,4,64,1,8.0,9.9,-2,13.2
.250,0,2,2,0,7.1,9,20191227,DeAndre' Bembry,1,.563,30.7,0,106,8,1,11.1,2.9,.500,0,0,0,917.0,.500,0.0,4.3,ATL,4,1,.563,0,0,.000,1,100,1,0.0,3.1,+1,24.5
.667,0,2,4,0,23.0,0,20191227,Brandon Goodwin,0,.000,20.5,0,104,6,1,0.0,3.2,.000,0,0,0,853.0,.000,0.0,-13.9,ATL,0,0,.000,1,0,.000,3,19,3,0.0,9.9,+6,17.6
1.000,0,2,1,0,0.0,0,20191227,Vince Carter,0,.000,23.4,0,113,1,0,0.0,0.0,.000,0,0,0,747.0,.000,0.0,-7.6,ATL,0,0,.000,1,0,.000,0,77,0,0.0,0.0,-3,3.3
.500,1,1,2,0,10.0,0,20191227,Chandler Parsons,0,.000,13.3,0,106,4,0,20.0,0.0,.000,0,0,0,657.0,.000,0.0,-16.4,ATL,0,1,.000,0,0,.000,1,11,1,7.0,4.3,-11,19.0
.000,0,2,0,0,21.0,0,20191227,Evan Turner,0,.000,28.0,0,111,1,0,50.0,0.0,.000,0,0,0,623.0,0,0.0,-10.6,ATL,0,1,.000,0,0,.000,2,43,2,0.0,9.1,-4,8.0
0,0,0,0,0,0,0,20191227,Giannis Antetokounmpo,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191227,Dragan Bender,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191227,Eric Bledsoe,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191227,Frank Mason,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191227,Cameron Reynolds,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20191227,Charlie Brown,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0
