stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
5.5,13.0,3,2540.0,2,12,0,.843,12,0,.714,1.000,0,34,14,.857,14,10,5,1,+13,.000,.857,Ben Simmons,25.8,4.9,10,PHI,96,20200120,21.0,47.9,2,12,159,22.3,4.4,3,0,15.1
1.4,0.0,3,2026.0,1,5,.300,.419,0,0,1.000,.118,10,15,17,.294,2,6,1,1,-7,.588,.382,Tobias Harris,19.4,0.0,2,PHI,108,20200120,-7.4,0.0,0,6,90,21.6,2.7,0,3,9.5
5.7,19.4,1,1973.0,1,1,.000,.180,3,0,.333,.429,5,3,7,.143,3,2,4,1,+7,.714,.143,Matisse Thybulle,6.6,6.3,1,PHI,103,20200120,-5.0,10.8,2,4,60,12.8,2.8,2,0,6.5
1.5,7.2,2,1929.0,0,6,.500,.582,4,0,1.000,.167,2,15,12,.500,2,1,1,1,-10,.167,.542,Josh Richardson,3.4,3.2,2,PHI,114,20200120,-1.3,18.1,1,2,123,17.6,0.0,1,1,3.3
0.0,6.3,3,1539.0,2,9,.333,.633,2,0,0,.000,3,19,15,.600,0,4,0,1,+3,.200,.633,Al Horford,17.0,8.1,0,PHI,109,20200120,4.1,14.9,2,6,122,25.4,7.2,1,1,12.5
0.0,7.8,2,1447.0,0,3,.375,.421,3,0,.500,.182,8,10,11,.273,2,2,0,0,+16,.727,.409,Furkan Korkmaz,9.0,0.0,1,PHI,115,20200120,-7.8,16.6,0,2,92,21.7,0.0,1,3,4.4
2.9,12.5,1,950.0,0,1,.333,.214,4,0,0,.000,3,3,7,.143,0,1,1,0,+6,.429,.214,Raul Neto,6.9,0.0,0,PHI,110,20200120,-10.3,31.1,0,1,68,20.6,0.0,1,1,3.4
0.0,17.0,2,854.0,0,2,.667,.820,0,0,1.000,.500,3,8,4,.500,2,3,0,0,+13,.750,.750,Mike Scott,23.0,36.7,2,PHI,111,20200120,4.3,0.0,5,8,152,16.8,0.0,1,2,30.0
0.0,33.3,4,513.0,0,1,.000,.500,0,0,0,.000,1,2,2,.500,0,1,0,0,-2,.500,.500,Jonah Bolden,12.8,0.0,0,PHI,112,20200120,-21.1,0.0,0,1,60,14.3,0.0,1,0,6.2
0.0,0.0,2,359.0,0,1,.500,.500,1,0,0,.000,2,3,3,.333,0,1,0,0,-4,.667,.500,Kyle O'Quinn,18.2,0.0,0,PHI,111,20200120,-1.6,23.6,0,1,117,20.4,0.0,0,1,8.9
0.0,25.8,1,270.0,0,1,.500,.868,1,0,1.000,1.000,2,5,2,.500,2,0,0,0,-5,1.000,.750,James Ennis,0.0,0.0,2,PHI,117,20200120,10.1,34.0,0,0,133,35.1,0.0,1,1,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shake Milton,0,0,0,PHI,0,20200120,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trey Burke,0,0,0,PHI,0,20200120,0,0,0,0,0,0,0,0,0,0
1.3,19.3,3,2108.0,0,6,.429,.525,7,0,.778,.529,7,22,17,.353,9,5,1,1,-2,.412,.441,Spencer Dinwiddie,14.9,0.0,7,BRK,115,20200120,-1.8,31.0,0,5,102,30.1,0.0,5,3,7.6
0.0,30.9,6,2004.0,0,4,.200,.536,1,0,.600,.556,5,12,9,.444,5,3,0,1,-2,.556,.500,Joe Harris,9.4,0.0,3,BRK,119,20200120,-12.4,4.3,0,3,76,19.7,0.0,5,1,4.8
1.5,16.8,2,1856.0,1,5,.333,.607,1,0,.500,.222,3,12,9,.556,2,9,1,1,-4,.333,.611,Taurean Prince,30.4,10.6,1,BRK,108,20200120,2.4,5.0,3,12,112,15.6,2.8,2,1,20.7
1.5,17.0,0,1854.0,1,5,0,.666,2,0,.750,.500,0,13,8,.625,4,9,1,1,-4,.000,.625,Jarrett Allen,30.4,14.1,3,BRK,108,20200120,4.9,9.9,4,13,128,15.5,2.8,2,0,22.4
2.4,20.0,0,1189.0,0,1,.000,.250,1,0,0,.000,3,2,4,.250,0,3,1,1,-4,.750,.250,Garrett Temple,15.8,0.0,0,BRK,113,20200120,-6.3,6.6,0,3,56,10.3,0.0,1,0,8.1
0.0,10.1,2,1724.0,0,6,.500,.450,6,0,.750,.250,2,16,16,.375,4,4,0,0,-4,.125,.406,Caris LeVert,14.5,7.6,3,BRK,118,20200120,-2.3,34.6,2,6,107,28.0,0.0,2,1,11.1
2.7,51.5,2,1026.0,0,6,.500,1.330,2,0,.667,2.000,2,15,8,.750,3,0,0,0,-2,1.000,1.500,Rodions Kurucs,0.0,0.0,2,BRK,116,20200120,0.2,7.8,4,4,114,9.2,0.0,0,1,0.0
0.0,0.0,3,1026.0,0,1,1.000,.805,1,0,1.000,.375,1,5,1,1.000,2,0,1,0,-2,.250,.813,Nicolas Claxton,0.0,25.5,2,BRK,122,20200120,15.3,25.3,0,0,174,22.2,0.0,2,1,12.5
3.2,29.1,3,872.0,0,4,1.000,1.230,0,0,.500,.500,3,12,4,1.000,2,1,1,0,-4,.750,1.375,Timothé Luwawu-Cabarrot,7.2,0.0,1,BRK,113,20200120,12.6,0.0,0,1,126,19.3,0.0,2,3,3.7
3.8,13.7,2,741.0,0,1,.000,.158,1,0,.000,.600,3,2,5,.200,3,0,1,0,-2,.600,.200,Džanan Musa,0.0,0.0,0,BRK,114,20200120,-18.2,11.1,0,0,39,24.1,0.0,1,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Theo Pinson,0,0,0,BRK,0,20200120,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Chiozza,0,0,0,BRK,0,20200120,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Embiid,0,0,0,PHI,0,20200120,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Norvel Pelle,0,0,0,PHI,0,20200120,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Marial Shayok,0,0,0,PHI,0,20200120,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Zhaire Smith,0,0,0,PHI,0,20200120,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Wilson Chandler,0,0,0,BRK,0,20200120,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Durant,0,0,0,BRK,0,20200120,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyrie Irving,0,0,0,BRK,0,20200120,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,DeAndre Jordan,0,0,0,BRK,0,20200120,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeremiah Martin,0,0,0,BRK,0,20200120,0,0,0,0,0,0,0,0,0,0
