blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.500,0.0,1.7,99,0,12,0,17.2,5,2,+14,105,1,2,20200120,1799.0,1,Reggie Bullock,10,0,0,.500,0,.600,0,2,-3.2,3.1,.600,NYK,5,0,.000,1,0.0,3,.400,9.1,5.5
0.0,.500,0.0,1.7,97,0,19,.500,26.5,8,3,+5,111,0,3,20200120,1790.0,1,Marcus Morris,16,1,0,.313,0,.563,0,2,-0.4,4.7,.563,NYK,5,2,.125,1,0.0,3,.400,0.0,8.3
5.5,.364,39.4,1.8,92,8,9,.500,24.5,4,6,+10,91,3,4,20200120,1707.0,1,Elfrid Payton,11,1,0,.091,2,.364,2,0,0.9,9.9,.379,NYK,1,2,.182,1,7.7,1,.000,20.2,11.6
0.0,.412,6.1,1.9,91,1,19,1.000,34.6,7,9,+8,107,1,6,20200120,1640.0,1,Julius Randle,17,5,0,.118,0,.412,3,0,-0.5,15.5,.495,NYK,2,5,.294,1,12.0,1,.000,5.0,18.2
3.8,.800,0.0,0.0,94,0,10,1.000,13.4,4,5,+20,176,0,4,20200120,1235.0,0,Taj Gibson,5,2,0,.000,1,.800,1,0,6.7,11.4,.850,NYK,0,2,.400,1,5.3,0,0,0.0,16.1
11.5,.000,0.0,1.9,86,0,2,1.000,4.9,0,6,0,92,1,5,20200120,1645.0,1,Mitchell Robinson,1,2,0,.000,4,.000,1,0,-0.5,10.3,.532,NYK,0,2,2.000,0,4.0,1,0,34.7,15.1
0.0,.714,7.7,2.4,88,1,12,0,15.6,5,5,+5,169,0,5,20200120,1259.0,1,Damyean Dotson,7,0,0,.286,0,.857,0,2,9.6,11.2,.857,NYK,2,0,.000,0,0.0,3,1.000,0.0,19.7
0.0,.556,31.6,0.0,94,4,12,0,22.7,5,5,+12,129,1,5,20200120,1240.0,0,Bobby Portis,9,0,0,.444,0,.667,0,2,8.7,11.4,.667,NYK,4,0,.000,0,0.0,2,.500,10.0,20.0
8.1,.400,20.4,0.0,96,3,6,1.000,18.9,2,2,+10,92,2,2,20200120,1173.0,0,Frank Ntilikina,5,2,0,.200,2,.400,0,0,-2.8,4.8,.510,NYK,1,2,.400,0,0.0,3,.000,25.4,8.5
0.0,.250,0.0,0.0,87,0,5,1.000,18.1,1,6,+16,88,1,6,20200120,912.0,0,Kevin Knox,4,2,0,.750,0,.375,0,1,-4.5,18.6,.512,NYK,3,2,.500,0,0.0,0,.333,17.0,32.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200120,0.0,0,Ignas Brazdeikis,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200120,0.0,0,Wayne Ellington,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200120,0.0,0,Allonzo Trier,0,0,0,0,0,0,0,0,0,0,0,NYK,0,0,0,0,0,0,0,0,0
2.2,.455,5.4,1.5,108,1,13,.750,16.8,5,22,-9,122,1,12,20200120,2119.0,1,Tristan Thompson,11,3,0,.000,1,.455,10,0,1.6,29.3,.509,CLE,0,4,.364,1,23.4,2,0,7.3,37.1
0.0,.200,15.4,1.5,115,3,11,.667,28.4,4,3,-9,60,2,3,20200120,2118.0,1,Darius Garland,20,2,0,.300,0,.225,0,1,-13.9,4.0,.258,CLE,6,3,.150,1,0.0,2,.167,8.6,9.3
2.2,.300,23.0,1.5,113,4,17,1.000,31.6,6,5,-20,82,4,2,20200120,2107.0,1,Collin Sexton,20,4,0,.200,1,.325,3,1,-3.5,6.7,.391,CLE,4,4,.200,1,7.1,1,.250,15.5,6.2
0.0,.385,17.8,0.0,120,3,14,0,17.1,5,0,-20,123,0,0,20200120,1969.0,0,Cedi Osman,13,0,0,.462,0,.538,0,4,0.4,0.0,.538,CLE,6,0,.000,1,0.0,2,.667,0.0,0.0
0.0,.286,6.2,1.7,110,1,12,0,22.9,4,9,-22,82,2,9,20200120,1802.0,1,Kevin Love,14,0,0,.714,0,.429,0,4,-2.7,14.1,.429,CLE,10,0,.000,1,0.0,1,.400,12.5,32.7
0.0,.556,0.0,1.9,110,0,12,.250,16.7,5,10,-10,119,0,8,20200120,1661.0,1,Larry Nance,9,1,0,.556,0,.611,2,1,1.2,17.0,.558,CLE,5,4,.444,0,6.0,2,.200,0.0,31.5
3.1,.500,6.4,0.0,116,1,3,.500,5.0,1,1,-9,121,0,1,20200120,1497.0,0,Dante Exum,2,1,0,.500,1,.500,0,0,-6.4,1.9,.521,CLE,1,2,1.000,0,0.0,1,.000,0.0,4.4
0.0,.333,13.2,0.0,118,1,2,0,13.4,1,1,-3,62,1,1,20200120,771.0,0,Matthew Dellavedova,3,0,0,.000,0,.333,0,0,-18.3,3.7,.333,CLE,0,0,.000,0,0.0,3,0,25.0,8.5
0.0,.500,0.0,0.0,120,1,2,0,0.0,1,1,+1,227,0,1,20200120,178.0,0,Tyler Cook,2,0,0,0,1,0,0,0,-7.0,15.9,0,CLE,1,0,0,0,27.9,0,.000,0,0.0
26.1,0,100.0,0.0,87,0,0,0,29.0,0,1,+1,125,0,0,20200120,178.0,0,Matt Mooney,0,0,0,.500,0,.500,1,0,32.3,15.9,.500,CLE,0,0,.000,0,0.0,0,0,0.0,36.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200120,0.0,0,John Henson,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200120,0.0,0,Kadeem Allen,0,0,1,0,0,0,0,0,0,0,0,NYK,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200120,0.0,0,RJ Barrett,0,0,1,0,0,0,0,0,0,0,0,NYK,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200120,0.0,0,Dennis Smith,0,0,1,0,0,0,0,0,0,0,0,NYK,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200120,0.0,0,Kenny Wooten,0,0,1,0,0,0,0,0,0,0,0,NYK,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200120,0.0,0,Brandon Knight,0,0,1,0,0,0,0,0,0,0,0,CLE,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200120,0.0,0,Kevin Porter,0,0,1,0,0,0,0,0,0,0,0,CLE,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200120,0.0,0,Dean Wade,0,0,1,0,0,0,0,0,0,0,0,CLE,0,0,0,0,0,0,0,0,0
