player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Caris LeVert,1798.0,.447,.447,.526,.000,0.0,8.9,4.9,10.4,9.9,0.0,0.0,28.9,95,76,5.0,BRK,1,0,20200222,7,19,.368,3,10,.300,0,0,0,0,3,3,2,6,0,0,2,17,+15
Taurean Prince,1778.0,.700,.700,.800,.000,0.0,12.0,6.5,4.8,1.7,6.1,23.1,20.0,98,88,1.2,BRK,1,0,20200222,5,10,.500,4,8,.500,0,0,0,0,4,4,1,1,2,3,3,14,+21
Spencer Dinwiddie,1693.0,.425,.350,.600,.400,3.8,15.8,10.3,41.5,0.0,0.0,14.5,22.2,109,96,-4.0,BRK,1,0,20200222,3,10,.300,1,6,.167,3,4,.750,1,5,6,9,0,0,2,2,10,+10
Jarrett Allen,1493.0,.785,.800,.000,1.200,12.9,28.6,21.4,16.9,0.0,7.3,11.6,15.8,159,86,9.2,BRK,1,0,20200222,4,5,.800,0,0,0,4,6,.667,3,8,11,3,0,2,1,1,12,+13
Joe Harris,1473.0,.600,.600,.600,.000,0.0,7.2,3.9,30.3,2.0,0.0,9.1,20.4,124,94,3.9,BRK,1,0,20200222,5,10,.500,2,6,.333,0,0,0,0,2,2,5,1,0,1,2,12,+10
Garrett Temple,1586.0,.689,.650,.600,.200,0.0,37.0,20.2,16.5,1.9,0.0,0.0,18.8,146,85,9.0,BRK,0,0,20200222,5,10,.500,3,6,.500,2,2,1.000,0,11,11,3,1,0,0,1,15,+14
Timothé Luwawu-Cabarrot,1407.0,.763,.750,.583,.333,9.1,7.6,8.3,0.0,0.0,0.0,6.8,28.7,138,98,5.0,BRK,0,0,20200222,7,12,.583,4,7,.571,3,4,.750,2,2,4,0,0,0,1,4,21,+19
Wilson Chandler,1333.0,.000,.000,1.000,.000,0.0,12.0,6.5,0.0,2.2,8.2,0.0,4.1,0,86,-5.0,BRK,0,0,20200222,0,2,.000,0,2,.000,0,0,0,0,3,3,0,1,2,0,2,0,+8
DeAndre Jordan,1198.0,.949,1.000,.000,.600,10.7,4.5,7.3,8.0,0.0,0.0,24.0,19.0,143,99,-0.2,BRK,0,0,20200222,5,5,1.000,0,0,0,2,3,.667,2,1,3,1,0,0,2,3,12,+8
Theo Pinson,263.0,.500,.500,.500,.000,0.0,60.8,33.2,35.3,0.0,0.0,0.0,20.8,122,81,3.3,BRK,0,0,20200222,1,2,.500,0,1,.000,0,0,0,0,3,3,1,0,0,0,0,2,+11
Chris Chiozza,189.0,.000,.000,1.000,.000,33.9,0.0,15.4,36.3,0.0,0.0,0.0,14.5,106,102,-4.4,BRK,0,0,20200222,0,1,.000,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,+8
Rodions Kurucs,189.0,.000,.000,.000,.000,0.0,84.7,46.2,0.0,0.0,0.0,0.0,14.5,0,73,-14.6,BRK,0,0,20200222,0,1,.000,0,1,.000,0,0,0,1,0,1,1,0,0,0,0,0,+8
P.J. Washington,2232.0,.615,.615,.538,.000,2.4,17.2,9.1,22.2,1.3,0.0,13.3,17.7,107,119,2.2,CHO,1,0,20200222,6,13,.462,4,7,.571,0,0,0,1,6,7,4,1,0,2,2,16,-12
Miles Bridges,2041.0,.558,.444,.444,.667,0.0,15.7,7.1,26.4,0.0,0.0,0.0,15.0,127,123,1.7,CHO,1,0,20200222,3,9,.333,2,4,.500,5,6,.833,0,5,5,5,0,0,0,2,13,-23
Terry Rozier,1980.0,.455,.455,.364,.000,2.7,6.5,4.4,11.6,1.5,0.0,8.3,16.0,89,121,-6.3,CHO,1,0,20200222,4,11,.364,2,4,.500,0,0,0,1,2,3,2,1,0,1,2,10,-13
Devonte' Graham,1616.0,.255,.100,.300,.400,0.0,4.0,1.8,12.2,3.7,4.5,14.5,22.4,54,114,-11.2,CHO,1,0,20200222,1,10,.100,0,3,.000,4,4,1.000,0,1,1,2,2,1,2,1,6,-17
Cody Zeller,1289.0,.583,.583,.083,.000,8.3,34.8,20.3,0.0,0.0,0.0,7.7,26.6,103,118,0.0,CHO,1,0,20200222,7,12,.583,0,1,.000,0,0,0,2,7,9,0,0,0,1,1,14,-9
Malik Monk,1615.0,.447,.433,.600,.267,3.3,11.9,7.2,16.2,0.0,0.0,10.7,30.6,83,123,-5.1,CHO,0,0,20200222,5,15,.333,3,9,.333,2,4,.500,1,3,4,2,0,0,2,2,15,-21
Jalen McDaniels,1378.0,.371,.389,.333,.111,7.7,32.5,19.0,8.5,0.0,0.0,9.6,20.0,76,118,-9.9,CHO,0,0,20200222,3,9,.333,1,3,.333,0,1,.000,2,7,9,1,0,0,1,4,7,-14
Cody Martin,1024.0,.000,.000,.600,.400,0.0,12.5,5.7,27.2,2.9,7.0,25.4,20.3,20,112,-15.0,CHO,0,0,20200222,0,5,.000,0,3,.000,0,2,.000,0,2,2,3,1,1,2,1,0,-11
Bismack Biyombo,578.0,.525,.667,.000,1.333,18.5,22.1,20.1,23.7,0.0,0.0,0.0,21.7,119,121,4.4,CHO,0,0,20200222,2,3,.667,0,0,0,1,4,.250,2,2,4,1,0,0,0,0,5,-10
Caleb Martin,458.0,0,0,0,0,0.0,14.0,6.4,40.6,0.0,0.0,100.0,5.8,68,123,-10.1,CHO,0,0,20200222,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,-7
Joe Chealey,189.0,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0,126,-21.6,CHO,0,0,20200222,0,1,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,0,0,-8
Nicolas Batum,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHO,0,0,20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy Hernangómez,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHO,0,0,20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Claxton,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,1,20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Durant,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,1,20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrie Irving,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,1,20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremiah Martin,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,1,20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Džanan Musa,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRK,0,1,20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Bacon,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHO,0,1,20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kobi Simmons,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHO,0,1,20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Spalding,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHO,0,1,20200222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
