drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
1,2070.0,12.1,28.9,3,5,101,.760,29.6,.563,1,.625,0,.063,2,1.000,0,10,.600,3,23.3,UTA,25,+6,20200306,118,4.4,16,1,3.1,.750,7.0,3,6,9,1,5,4.9,0.0,Mike Conley
2,1963.0,2.6,9.8,1,3,98,.922,9.7,.200,2,.000,0,.500,2,1.000,0,10,.300,2,29.1,UTA,11,-20,20200306,125,0.0,15,2,22.8,1.000,0.0,4,3,3,1,2,12.1,7.6,Rudy Gobert
7,1963.0,-10.0,26.8,0,2,106,.346,9.3,1.000,1,.667,3,.133,0,.500,0,0,0,4,15.9,UTA,9,-20,20200306,73,1.6,4,2,6.5,.300,7.3,7,0,4,1,2,6.9,0.0,Donovan Mitchell
7,1826.0,2.6,10.5,0,0,101,.509,14.4,.333,1,1.000,1,.333,0,.500,0,6,.333,2,0.0,UTA,7,-17,20200306,122,0.0,6,2,24.5,.500,0.0,7,2,2,1,3,13.0,2.7,Royce O'Neale
4,1549.0,-16.5,27.6,0,5,106,.388,5.8,.222,3,.556,0,.333,0,1.000,0,5,.200,1,32.6,UTA,8,-20,20200306,57,0.0,9,3,16.5,.278,0.0,4,1,2,1,1,8.7,0.0,Bojan Bogdanović
6,1789.0,11.4,12.5,3,1,92,.643,31.0,.429,0,.857,0,.000,1,0,0,6,.500,1,12.5,UTA,9,+22,20200306,139,5.1,7,0,21.5,.643,4.0,7,3,3,0,6,13.3,0.0,Joe Ingles
2,1612.0,2.0,27.5,1,2,105,.612,15.2,.538,2,.385,0,.154,2,1.000,0,5,.200,3,12.6,UTA,17,+26,20200306,114,1.9,13,2,7.9,.577,8.9,4,1,7,0,2,8.4,0.0,Jordan Clarkson
3,917.0,8.9,15.2,0,0,94,.600,11.8,.600,0,.000,3,.000,1,0,0,0,0,1,0.0,UTA,6,+25,20200306,133,0.0,5,0,20.9,.600,7.9,4,0,3,0,1,14.8,16.2,Tony Bradley
0,711.0,4.0,19.6,0,0,112,.700,17.0,.600,0,.600,0,.000,0,0,0,3,.333,2,0.0,UTA,7,+23,20200306,140,0.0,5,0,0.0,.700,0.0,0,1,3,0,1,0.0,0.0,Georges Niang
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20200306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Emmanuel Mudiay
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20200306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rayjon Tucker
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20200306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ed Davis
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UTA,0,0,20200306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jarrell Brantley
1,2248.0,8.1,32.2,1,3,108,.566,5.5,.391,5,.652,1,.261,2,.833,0,15,.400,1,10.5,BOS,29,+10,20200306,110,1.4,23,6,3.2,.522,5.7,3,6,9,1,1,4.5,3.7,Marcus Smart
4,2022.0,-2.3,12.5,0,0,111,.450,0.0,.400,0,.400,0,.000,3,0,0,4,.250,0,0.0,BOS,9,+4,20200306,108,0.0,10,0,14.2,.450,9.5,7,1,4,1,0,11.7,0.0,Semi Ojeleye
7,1978.0,0.4,30.4,2,3,101,.434,17.6,.368,2,.263,0,.211,0,.500,0,5,.400,2,12.6,BOS,18,+12,20200306,86,3.1,19,4,25.5,.421,0.0,7,2,7,1,3,12.0,0.0,Jayson Tatum
6,1640.0,11.0,12.8,1,0,101,.721,20.1,.714,2,.000,1,.429,3,.667,0,0,0,3,0.0,BOS,12,+19,20200306,163,1.9,7,3,26.3,.714,11.7,9,0,5,1,3,18.6,5.0,Daniel Theis
2,1591.0,-1.6,31.6,0,2,112,.364,48.8,.294,2,.412,0,.118,1,1.000,0,7,.143,2,10.1,BOS,13,+10,20200306,90,0.0,17,2,9.1,.324,4.0,3,1,5,1,7,6.4,0.0,Kemba Walker
2,1586.0,-1.6,14.9,0,1,109,.541,12.3,.429,3,.286,1,.429,0,1.000,0,2,.000,1,10.7,BOS,9,-25,20200306,112,0.0,7,3,9.1,.429,0.0,2,0,3,0,2,4.3,5.2,Brad Wanamaker
2,1014.0,-12.4,10.0,1,1,104,.000,8.1,.000,0,1.000,0,.000,0,0,0,3,.000,3,25.0,BOS,0,-11,20200306,14,3.0,3,0,14.2,.000,0.0,2,0,0,0,1,6.7,0.0,Grant Williams
6,961.0,-0.3,7.9,0,1,89,.500,0.0,.500,0,.000,3,.000,2,0,0,0,0,1,33.3,BOS,2,-11,20200306,88,0.0,2,0,45.0,.500,13.3,8,0,1,0,0,28.2,25.7,Robert Williams
2,773.0,-3.5,6.5,1,1,100,.000,10.6,.000,0,.000,0,.000,1,0,0,0,0,0,50.0,BOS,0,-4,20200306,45,4.0,1,0,18.6,.000,8.3,3,0,0,0,1,13.1,0.0,Javonte Green
0,308.0,-13.4,8.2,0,0,115,.000,0.0,.000,0,.000,0,.000,0,0,0,0,0,0,0.0,BOS,0,-16,20200306,0,0.0,1,0,0.0,.000,0.0,0,0,0,0,0,0.0,0.0,Romeo Langford
0,279.0,-3.7,36.2,0,0,115,.250,41.8,.250,0,.000,0,.000,1,0,0,0,0,0,0.0,BOS,2,-13,20200306,81,0.0,4,0,0.0,.250,22.9,1,0,1,0,1,12.1,0.0,Enes Kanter
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,UTA,0,0,20200306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juwan Morgan
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,UTA,0,0,20200306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miye Oni
