player_name,sp,ts_pct,efg_pct,threepar,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ortg,drtg,bpm,team_abbr,starter,inactive,date,fg,fga,fg_pct,threep,threepa,threep_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pm
Damian Lillard,2642.0,.626,.525,.700,.450,0.0,6.8,3.1,48.1,0.0,2.3,17.3,29.0,129,136,2.8,POR,1,0,20200802,8,20,.400,5,14,.357,9,9,1.000,0,2,2,16,0,1,5,3,30,+3
CJ McCollum,2468.0,.500,.500,.412,.000,0.0,29.2,13.1,12.7,2.4,2.5,5.6,19.3,106,128,-3.6,POR,1,0,20200802,7,17,.412,3,7,.429,0,0,0,0,8,8,4,2,1,1,5,17,-7
Carmelo Anthony,2046.0,.464,.464,.429,.000,3.6,8.8,5.9,7.4,0.0,3.0,6.7,19.4,98,135,-8.8,POR,1,0,20200802,5,14,.357,3,6,.500,0,0,0,1,2,3,2,0,1,1,5,13,-13
Jusuf Nurkić,1924.0,.676,.625,.150,.250,11.5,28.1,19.0,27.7,3.1,3.2,8.3,33.2,137,126,9.9,POR,1,0,20200802,12,20,.600,1,3,.333,5,5,1.000,3,6,9,5,2,1,2,4,30,-13
Zach Collins,1645.0,1.000,1.000,.000,.000,4.5,21.9,12.3,8.8,1.8,0.0,25.0,6.4,157,132,-0.4,POR,1,0,20200802,3,3,1.000,0,0,0,0,0,0,1,4,5,2,1,0,1,3,6,+9
Gary Trent,2036.0,.875,.875,.917,.000,3.6,0.0,2.0,4.0,1.5,3.0,0.0,15.6,166,133,9.2,POR,0,0,20200802,7,12,.583,7,11,.636,0,0,0,1,0,1,1,1,1,0,2,21,+8
Hassan Whiteside,931.0,.868,1.000,.000,1.000,7.9,38.7,21.8,8.0,0.0,0.0,25.8,11.0,135,134,-3.2,POR,0,0,20200802,2,2,1.000,0,0,0,1,2,.500,1,4,5,1,0,0,1,2,5,+9
Mario Hezonja,708.0,.500,.500,.500,.000,20.9,0.0,11.5,0.0,8.3,0.0,33.3,11.2,100,120,-1.5,POR,0,0,20200802,1,2,.500,0,1,.000,0,0,0,2,0,2,0,2,0,1,1,2,-16
Jaylen Hoard,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nassir Little,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wenyen Gabriel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anfernee Simons,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayson Tatum,2373.0,.655,.614,.364,.409,0.0,12.4,6.8,33.9,2.5,2.5,7.2,32.0,136,127,9.5,BOS,1,0,20200802,11,22,.500,5,8,.625,7,9,.778,0,4,4,8,2,1,2,1,34,+6
Jaylen Brown,2193.0,.727,.722,.444,.333,4.1,16.8,11.1,4.5,2.7,0.0,4.6,26.8,138,127,7.2,BOS,1,0,20200802,10,18,.556,6,8,.750,4,6,.667,1,5,6,1,2,0,1,0,30,+3
Gordon Hayward,2070.0,.870,.800,.500,.600,0.0,28.5,15.7,12.4,1.4,0.0,24.0,21.8,133,128,2.7,BOS,1,0,20200802,6,10,.600,4,5,.800,6,6,1.000,0,8,8,3,1,0,4,4,22,+9
Daniel Theis,1674.0,1.014,1.000,.000,.250,0.0,8.8,4.8,14.7,1.8,3.6,18.4,8.8,173,129,2.9,BOS,1,0,20200802,4,4,1.000,0,0,0,1,1,1.000,0,2,2,3,1,1,1,5,9,-10
Kemba Walker,1321.0,1.017,1.000,.333,.333,0.0,5.6,3.1,14.0,0.0,4.5,22.5,18.3,151,133,4.7,BOS,1,0,20200802,5,6,.833,2,2,1.000,2,2,1.000,0,1,1,2,0,1,2,2,14,+7
Marcus Smart,1989.0,.260,.000,.500,1.000,0.0,18.6,10.2,13.8,4.5,6.0,25.8,10.6,76,118,-3.5,BOS,0,0,20200802,0,4,.000,0,2,.000,3,4,.750,0,5,5,4,3,2,2,4,3,-4
Enes Kanter,1195.0,.571,.571,.000,.857,37.7,18.5,27.2,14.9,0.0,5.0,9.4,24.2,135,130,-1.6,BOS,0,0,20200802,4,7,.571,0,0,0,3,6,.500,5,3,8,2,0,1,1,2,11,+16
Brad Wanamaker,592.0,0,0,0,0,0.0,0.0,0.0,11.6,0.0,0.0,0,0.0,243,137,-4.7,BOS,0,0,20200802,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-3
Semi Ojeleye,561.0,.500,.500,1.000,.000,0.0,13.2,7.2,0.0,0.0,0.0,25.0,19.4,70,134,-11.0,BOS,0,0,20200802,1,3,.333,1,3,.333,0,0,0,0,1,1,0,0,0,1,0,3,0
Grant Williams,432.0,.333,.333,.667,.000,0.0,17.1,9.4,0.0,0.0,0.0,0.0,18.9,69,134,-22.2,BOS,0,0,20200802,1,3,.333,0,2,.000,0,0,0,0,1,1,0,0,0,0,3,2,-4
Carsen Edwards,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romeo Langford,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Williams,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,0,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Adams,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,1,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moses Brown,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,1,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tacko Fall,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,1,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javonte Green,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,1,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Poirier,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,1,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tremont Waters,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,0,1,20200802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
