blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.733,17.2,0.0,130,4,27,1.000,22.2,11,3,+5,169,0,3,20200810,2056.0,0,Tim Hardaway,15,2,0,.400,0,.833,0,3,9.7,5.8,.850,DAL,6,2,.133,1,0.0,0,.500,0.0,10.2
0.0,.727,9.5,0.0,132,2,22,1.000,21.3,8,1,+13,161,1,1,20200810,1743.0,0,Seth Curry,11,2,0,.545,0,.909,0,4,6.4,2.3,.926,DAL,6,2,.182,1,0.0,2,.667,7.8,4.0
0.0,.538,41.6,0.0,131,8,18,1.000,29.1,7,2,+1,128,2,2,20200810,1573.0,0,J.J. Barea,13,2,0,.308,0,.615,0,2,1.2,5.1,.648,DAL,4,2,.154,1,0.0,2,.500,12.6,8.9
10.6,.636,11.1,2.1,111,2,20,1.000,26.1,7,9,0,155,0,8,20200810,1505.0,1,Boban Marjanović,11,6,0,.091,2,.636,1,0,11.5,23.9,.733,DAL,1,6,.545,1,6.2,1,.000,0.0,37.3
0.0,.200,4.3,0.0,130,1,2,0,9.9,1,2,-7,54,0,2,20200810,1450.0,0,Justin Jackson,5,0,0,.000,0,.200,0,0,-16.3,5.5,.200,DAL,0,0,.000,1,0.0,5,0,0.0,9.7
0.0,.500,21.1,4.4,121,4,14,1.000,27.8,5,1,+1,107,3,1,20200810,1435.0,2,Trey Burke,10,2,0,.200,0,.600,0,2,-1.4,2.8,.643,DAL,2,2,.200,0,0.0,2,1.000,21.6,4.9
5.7,.556,16.2,0.0,126,3,11,0,20.4,5,3,+3,115,1,3,20200810,1411.0,0,Maxi Kleber,9,0,0,.333,1,.611,0,1,-2.3,8.5,.611,DAL,3,0,.000,0,0.0,4,.333,10.0,14.9
0.0,.500,11.9,8.3,108,2,4,.000,15.0,2,3,0,92,1,2,20200810,1126.0,3,Delon Wright,4,0,0,.250,0,.500,1,0,-1.2,10.7,.410,DAL,1,2,.500,0,8.3,2,.000,17.0,12.5
0.0,0,0.0,0.0,121,0,0,0,0.0,0,6,+21,0,0,6,20200810,1081.0,0,Michael Kidd-Gilchrist,0,0,0,0,0,0,0,0,-4.7,22.2,0,DAL,0,0,0,0,0.0,1,0,0,39.0
0.0,.500,25.8,0.0,131,3,4,0,14.1,2,1,+9,126,0,1,20200810,818.0,0,Josh Reaves,4,0,0,.250,0,.500,0,0,-4.4,4.9,.500,DAL,1,0,.000,0,0.0,2,.000,0.0,8.6
0.0,.000,0.0,0.0,121,0,0,0,42.8,0,3,-6,61,0,1,20200810,202.0,0,Antonius Cleveland,3,0,0,.000,0,.000,2,0,-52.9,59.4,.000,DAL,0,0,.000,0,92.0,2,0,0.0,34.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200810,0.0,0,Kristaps Porziņģis,0,0,0,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20200810,0.0,0,Luka Dončić,0,0,0,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0
4.8,.600,29.3,0.0,131,3,9,.750,19.4,3,5,+12,166,0,3,20200810,978.0,0,Rudy Gobert,5,3,0,.000,1,.600,2,0,8.0,20.4,.666,UTA,0,4,.800,1,14.4,0,0,0.0,28.5
0.0,.429,20.0,3.3,131,2,9,0,23.3,3,2,+9,130,1,0,20200810,960.0,1,Mike Conley,7,0,0,.571,0,.643,2,3,4.5,8.3,.643,UTA,4,0,.000,1,14.6,0,.750,12.5,0.0
0.0,.000,17.3,3.7,128,2,0,0,16.4,0,4,+5,48,1,3,20200810,852.0,1,Royce O'Neale,4,0,0,.750,0,.000,1,0,-17.9,18.8,.000,UTA,3,0,.000,1,8.2,2,.000,20.0,32.7
0.0,.667,0.0,0.0,136,0,18,1.000,31.3,6,3,+14,176,0,2,20200810,846.0,0,Jordan Clarkson,9,1,0,.778,0,.944,1,5,20.6,14.2,.953,UTA,7,1,.111,1,8.3,2,.714,0.0,22.0
6.0,.429,90.9,4.0,119,7,7,0,28.4,3,4,+13,132,1,4,20200810,790.0,1,Joe Ingles,7,0,0,.714,1,.500,0,1,11.6,20.3,.500,UTA,5,0,.000,1,0.0,2,.200,12.5,47.0
2.8,.571,5.3,0.0,134,1,17,.889,19.7,4,3,-7,151,1,3,20200810,1699.0,0,Rayjon Tucker,7,8,0,.429,1,.643,0,1,-0.2,7.1,.776,UTA,3,9,1.286,0,0.0,0,.333,8.4,16.4
0.0,.500,25.3,1.9,133,4,14,0,27.9,6,4,-20,99,4,3,20200810,1609.0,1,Emmanuel Mudiay,12,0,0,.333,0,.583,1,2,-9.2,9.9,.583,UTA,4,0,.000,0,4.4,4,.500,25.0,17.3
3.0,.250,5.1,0.0,134,1,5,0,15.8,2,2,-8,67,1,2,20200810,1599.0,0,Miye Oni,8,0,0,.625,1,.313,0,1,-16.5,5.0,.313,UTA,5,0,.000,0,0.0,3,.200,11.1,11.6
