stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
0.0,20.2,1,2512.0,0,13,.500,.555,8,0,.750,.286,6,35,28,.464,8,3,0,1,-15,.214,.518,Ja Morant,7.5,2.7,6,MEM,127,20200815,30.5,1,4,101,37.9,0.0,8,3,5.2
1.2,0.0,3,2261.0,0,7,.800,.518,2,0,.667,.167,5,20,18,.389,3,1,1,1,-11,.278,.500,Dillon Brooks,2.8,3.0,2,MEM,125,20200815,7.1,1,2,117,20.6,0.0,0,4,2.9
0.0,5.1,3,2042.0,0,8,.000,.590,6,0,1.000,.375,4,22,16,.500,6,13,0,1,+12,.250,.500,Jonas Valančiūnas,39.9,13.4,6,MEM,119,20200815,25.1,4,17,138,23.1,0.0,1,0,27.2
3.4,48.2,3,1631.0,1,4,1.000,.776,9,0,1.000,.167,1,10,6,.667,1,5,2,1,+10,.167,.750,Kyle Anderson,19.2,4.2,1,MEM,114,20200815,41.9,1,6,103,18.4,4.0,6,1,12.0
0.0,0.0,6,1406.0,1,2,.500,.717,0,0,1.000,.500,2,7,4,.500,2,2,0,1,+21,.500,.625,Anthony Tolliver,8.9,4.9,2,MEM,124,20200815,0.0,1,3,158,8.4,4.7,0,1,7.0
0.0,8.3,2,1477.0,2,8,.800,.909,3,0,0,.000,5,20,11,.727,0,2,0,0,-27,.455,.909,Brandon Clarke,8.5,9.3,0,MEM,121,20200815,19.9,2,4,164,19.6,8.9,1,4,8.9
0.0,34.0,2,1372.0,0,1,.000,.387,1,0,.500,.667,1,3,3,.333,2,4,0,0,-5,.333,.333,Grayson Allen,18.3,5.0,1,MEM,124,20200815,4.9,1,5,70,10.3,0.0,2,0,11.9
6.4,0.0,2,864.0,0,1,1.000,.375,1,0,0,.000,1,3,4,.250,0,4,2,0,+9,.250,.375,De'Anthony Melton,29.0,0.0,0,MEM,107,20200815,8.0,0,4,97,11.1,0.0,0,1,15.2
0.0,0.0,3,835.0,2,1,0,.500,0,0,0,.000,0,2,2,.500,0,3,0,0,-14,.000,.500,Gorgui Dieng,22.5,8.2,0,MEM,114,20200815,0.0,1,4,126,5.8,15.7,0,0,15.7
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John Konchar,0,0,0,MEM,0,20200815,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yuta Watanabe,0,0,0,MEM,0,20200815,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Jackson,0,0,0,MEM,0,20200815,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marko Guduric,0,0,0,MEM,0,20200815,0,0,0,0,0,0,0,0,0
1.0,4.5,2,2696.0,0,6,.357,.733,10,0,1.000,.933,14,31,15,.400,14,2,1,1,+17,.933,.567,Damian Lillard,5.1,0.0,14,POR,124,20200815,33.8,0,2,159,20.6,0.0,1,5,2.4
2.1,8.8,1,2650.0,1,11,.429,.698,1,0,1.000,.211,7,29,19,.579,4,3,2,1,-2,.368,.658,CJ McCollum,7.8,0.0,4,POR,120,20200815,4.2,0,3,127,21.5,1.6,2,3,3.7
2.3,21.8,5,2439.0,2,8,.667,.612,6,0,.444,.643,3,22,14,.571,9,15,2,1,+18,.214,.643,Jusuf Nurkić,42.2,15.4,4,POR,109,20200815,24.8,6,21,116,23.6,3.5,5,2,28.2
0.0,9.3,2,2265.0,1,5,.167,.541,1,0,1.000,.667,6,21,15,.333,10,3,0,1,-4,.400,.367,Carmelo Anthony,9.1,0.0,10,POR,124,20200815,4.0,0,3,106,23.7,1.9,2,1,4.3
0.0,0.0,1,448.0,0,1,.500,.750,0,0,0,.000,2,3,2,.500,0,1,0,1,+8,1.000,.750,Zach Collins,15.3,0.0,0,POR,124,20200815,0.0,0,1,143,11.2,0.0,0,1,7.3
6.6,22.5,1,2107.0,2,3,.333,.581,1,0,.500,.333,3,8,6,.500,2,2,5,0,+1,.500,.583,Gary Trent,6.5,3.0,1,POR,109,20200815,4.0,1,3,97,10.6,4.1,2,1,4.7
3.3,0.0,4,834.0,0,2,0,.333,0,0,0,.000,0,4,6,.333,0,3,1,0,-13,.000,.333,Hassan Whiteside,24.7,7.5,0,POR,114,20200815,0.0,1,4,81,18.0,0.0,0,0,15.7
0.0,0.0,2,547.0,0,1,1.000,.500,1,0,0,.000,1,3,3,.333,0,0,0,0,+2,.333,.500,Wenyen Gabriel,0.0,11.4,0,POR,128,20200815,16.1,1,1,130,13.7,0.0,0,1,6.0
6.7,17.0,1,414.0,1,1,.250,.512,0,0,1.000,.500,4,5,4,.250,2,1,1,0,-7,1.000,.375,Mario Hezonja,16.6,0.0,2,POR,101,20200815,0.0,0,1,88,35.6,10.4,1,1,7.9
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jaylen Hoard,0,0,0,POR,0,20200815,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anfernee Simons,0,0,0,POR,0,20200815,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jaylen Adams,0,0,0,POR,0,20200815,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jaren Jackson,0,0,0,MEM,0,20200815,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Tyus Jones,0,0,0,MEM,0,20200815,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jontay Porter,0,0,0,MEM,0,20200815,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Justise Winslow,0,0,0,MEM,0,20200815,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Nassir Little,0,0,0,POR,0,20200815,0,0,0,0,0,0,0,0,0
