drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
2,2005.0,11.2,23.9,2,2,119,.757,27.1,.615,5,.308,0,.385,0,1.000,0,4,.500,0,11.6,MIA,23,-14,20200930,135,3.0,13,5,7.2,.692,0.0,2,2,8,1,5,3.2,0.0,Jimmy Butler
4,1623.0,-13.8,5.2,0,0,124,.000,0.0,.000,0,1.000,0,.000,0,0,0,3,.000,2,0.0,MIA,0,-8,20200930,0,0.0,3,0,17.7,.000,0.0,4,0,0,1,0,7.9,0.0,Duncan Robinson
2,1470.0,5.5,15.2,0,0,120,.750,0.0,.500,0,.875,2,.000,0,0,0,7,.571,3,0.0,MIA,12,-21,20200930,132,0.0,8,0,9.8,.750,0.0,2,4,4,1,0,4.4,8.5,Jae Crowder
2,1270.0,-10.7,23.4,0,0,125,.376,0.0,.250,4,.000,0,.750,2,.667,0,0,0,2,0.0,MIA,8,-12,20200930,89,0.0,8,6,11.3,.250,9.1,4,0,2,1,0,10.1,0.0,Bam Adebayo
1,890.0,1.0,28.2,2,1,110,.375,34.3,.375,0,.125,0,.000,0,0,0,1,.000,0,11.1,MIA,6,+1,20200930,78,6.7,8,0,8.1,.375,0.0,1,0,3,1,3,3.6,0.0,Goran Dragić
4,1815.0,-9.1,31.4,0,2,124,.380,16.7,.333,0,.444,0,.056,0,.000,0,8,.250,1,9.8,MIA,14,-35,20200930,71,0.0,18,1,15.9,.389,0.0,4,2,6,0,3,7.1,0.0,Tyler Herro
3,1523.0,4.0,14.7,0,1,122,.500,35.1,.429,0,.286,1,.000,2,0,0,2,.500,3,12.5,MIA,7,-25,20200930,117,0.0,7,0,14.2,.500,7.6,5,1,3,0,6,10.5,4.1,Andre Iguodala
4,1189.0,17.4,25.8,0,0,122,.818,26.0,.727,0,.364,0,.000,1,0,0,4,.500,0,0.0,MIA,18,+8,20200930,155,0.0,11,0,24.2,.818,4.8,5,2,8,0,2,13.5,0.0,Kendrick Nunn
5,1084.0,0.8,17.7,0,1,112,.340,30.1,.200,2,.400,2,.400,0,1.000,0,2,.000,2,14.5,MIA,4,+14,20200930,83,0.0,5,2,33.2,.200,0.0,5,0,1,0,4,14.8,11.6,Kelly Olynyk
3,1082.0,-12.1,15.5,0,0,123,.333,0.0,.333,0,.667,0,.000,0,0,0,4,.000,2,0.0,MIA,4,+3,20200930,64,0.0,6,0,20.0,.333,0.0,3,0,2,0,0,8.9,0.0,Solomon Hill
1,449.0,-12.4,18.7,0,1,124,.500,0.0,.500,0,.000,0,.000,0,0,0,0,0,0,33.3,MIA,2,-1,20200930,59,0.0,2,0,16.0,.500,0.0,1,0,1,0,0,7.1,0.0,Derrick Jones
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20200930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Udonis Haslem
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,20200930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meyers Leonard
6,2284.0,14.2,30.9,0,1,101,.669,26.1,.524,10,.190,3,.476,3,1.000,0,4,.500,1,3.8,LAL,34,+23,20200930,144,0.0,21,10,15.1,.571,9.5,9,2,11,1,5,12.6,7.0,Anthony Davis
12,2184.0,9.0,26.5,1,2,103,.636,45.4,.529,5,.235,0,.353,1,.833,0,4,.500,3,9.2,LAL,25,+10,20200930,134,1.4,17,6,31.6,.588,3.3,13,2,9,1,9,19.0,0.0,LeBron James
2,1826.0,-0.7,19.3,2,1,99,.533,0.0,.300,5,.600,1,.500,0,1.000,0,6,.333,1,7.6,LAL,13,+2,20200930,104,3.3,10,5,6.3,.400,0.0,2,2,3,1,0,3.5,2.9,Kentavious Caldwell-Pope
4,1772.0,5.9,16.6,2,2,92,.611,5.2,.444,0,.889,3,.000,0,0,0,8,.375,1,18.2,LAL,11,+21,20200930,95,3.4,9,0,13.0,.611,0.0,4,3,4,1,1,7.2,9.0,Danny Green
7,895.0,1.1,5.6,0,1,103,1.136,16.9,0,2,0,0,0,1,1.000,0,0,0,3,53.2,LAL,2,-2,20200930,150,0.0,0,2,45.1,0,8.0,8,0,0,1,2,28.6,0.0,Dwight Howard
2,1491.0,-5.2,15.9,0,1,109,.444,22.6,.286,2,.714,0,.286,1,1.000,0,5,.200,1,11.3,LAL,7,+11,20200930,109,0.0,7,2,7.7,.357,4.8,3,1,2,0,4,6.4,0.0,Rajon Rondo
