blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
2.0,.429,4.8,0.0,104,1,16,0,18.3,6,2,-13,105,0,2,20201227,2048.0,0,Lonnie Walker,14,0,0,.500,1,.571,0,4,-0.1,2.7,.571,SAS,7,0,.000,1,0.0,4,.571,0.0,5.0
2.2,.250,46.3,0.0,103,10,8,1.000,21.4,3,3,-18,82,2,3,20201227,1863.0,0,DeMar DeRozan,12,2,0,.333,1,.250,0,0,-5.4,4.5,.311,SAS,4,2,.167,1,0.0,5,.000,13.4,8.3
0.0,.667,16.2,3.1,94,3,13,0,21.6,6,7,-6,80,6,7,20201227,1862.0,2,Dejounte Murray,9,0,0,.333,0,.722,0,1,-2.4,10.5,.722,SAS,3,0,.000,1,0.0,1,.333,40.0,19.3
4.5,.500,25.8,1.5,91,5,14,1.000,18.7,5,11,+3,119,2,9,20201227,1847.0,1,Keldon Johnson,10,2,0,.500,2,.600,2,2,9.0,16.7,.643,SAS,5,2,.200,1,6.6,3,.400,15.5,25.1
6.8,.286,7.1,0.0,98,1,4,0,19.8,2,4,-16,54,2,3,20201227,1215.0,0,LaMarcus Aldridge,7,0,0,.286,2,.286,1,0,-11.1,9.2,.286,SAS,2,0,.000,1,5.0,3,.000,22.2,12.7
4.9,.450,15.1,3.4,91,2,22,1.000,34.7,9,6,+9,98,1,5,20201227,1687.0,2,Rudy Gay,20,2,0,.400,2,.500,1,2,8.4,9.9,.527,SAS,8,2,.100,0,3.6,2,.250,4.6,15.2
5.9,.667,0.0,0.0,92,0,8,0,13.4,4,8,+15,100,1,8,20201227,1399.0,0,Jakob Poeltl,6,0,0,.000,2,.667,0,0,-1.1,16.0,.667,SAS,0,0,.000,0,0.0,3,0,14.3,29.4
0.0,.500,19.6,0.0,105,3,10,1.000,15.2,3,2,+11,128,1,2,20201227,1386.0,0,Patty Mills,6,2,0,.667,0,.667,0,2,1.4,4.0,.727,SAS,4,2,.333,0,0.0,1,.500,12.7,7.4
0.0,.000,10.4,0.0,102,1,0,0,14.7,0,2,+6,15,0,2,20201227,729.0,0,Devin Vassell,4,0,0,.500,0,.000,0,0,-16.6,7.7,.000,SAS,2,0,.000,0,0.0,1,.000,0.0,14.1
0.0,.000,0.0,0.0,97,0,0,0,7.4,0,2,-6,0,0,2,20201227,364.0,0,Trey Lyles,1,0,0,1.000,0,.000,0,0,-10.3,15.4,.000,SAS,1,0,.000,0,0.0,0,.000,0.0,28.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20201227,0.0,0,Luka Šamanić,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20201227,0.0,0,Keita Bates-Diop,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20201227,0.0,0,Tre Jones,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20201227,0.0,0,Drew Eubanks,0,0,0,0,0,0,0,0,0,0,0,SAS,0,0,0,0,0,0,0,0,0
2.4,.318,0.0,6.3,84,0,18,.571,28.7,7,11,-1,83,1,6,20201227,2283.0,5,Zion Williamson,22,4,0,.045,1,.318,5,0,-0.9,13.5,.359,NOP,1,7,.318,1,11.3,3,.000,3.8,16.1
0.0,.500,23.7,6.4,86,5,16,.500,18.9,7,8,+8,106,2,7,20201227,2245.0,5,Lonzo Ball,14,1,0,.357,0,.536,1,1,7.0,10.0,.538,NOP,5,2,.143,1,2.3,2,.200,11.8,19.1
