threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.421,3,3,8,1.000,14.5,27,20201229,Andrew Wiggins,5,.605,14.2,4,103,19,1,8.8,1.2,.474,0,4,1,2284.0,.625,3.8,6.4,GSW,9,2,.650,3,1,.211,7,122,6,6.6,10.4,+19,25.9
.529,0,6,9,1.000,13.2,31,20201229,Stephen Curry,5,.676,32.3,8,104,17,2,28.1,2.7,.529,0,8,0,2090.0,.556,0.0,2.6,GSW,9,8,.755,5,1,.471,5,112,5,0.0,8.1,+3,35.5
.400,2,0,4,.333,15.9,14,20201229,Kelly Oubre,1,.650,0.0,1,98,10,2,15.0,3.2,.600,0,3,0,1741.0,.250,0.0,0.6,GSW,6,2,.618,2,1,.300,5,96,5,5.8,9.7,+8,19.9
.500,0,4,1,.000,11.6,5,20201229,Juan Toscano-Anderson,1,1.250,23.6,0,106,2,1,51.0,2.0,1.000,0,2,0,1435.0,1.000,0.0,-2.7,GSW,2,3,.868,4,1,1.000,3,97,3,0.0,7.1,+15,10.6
.222,2,1,2,0,21.2,6,20201229,James Wiseman,0,.333,7.0,0,102,9,0,18.2,0.0,.333,0,0,1,1304.0,.000,6.7,-15.0,GSW,3,2,.333,6,1,.000,6,65,5,7.7,15.6,+23,21.9
.500,0,4,1,1.000,21.2,2,20201229,Kevon Looney,0,.000,23.2,2,101,2,1,0.0,2.2,.000,0,2,0,1309.0,.000,0.0,1.6,GSW,0,0,.347,1,0,1.000,5,128,5,0.0,12.9,-10,5.7
.833,0,0,5,0,9.7,8,20201229,Damion Lee,2,.667,0.0,0,106,6,1,0.0,2.5,.500,0,0,1,1138.0,.400,7.7,2.5,GSW,3,0,.667,0,0,.000,3,132,2,0.0,8.9,+9,13.7
.400,1,2,2,.714,10.5,9,20201229,Brad Wanamaker,0,.400,16.7,5,109,5,0,0.0,0.0,.400,0,7,0,1057.0,.000,0.0,-0.7,GSW,2,0,.557,1,0,1.400,2,127,2,4.8,6.4,+4,19.9
.000,0,1,0,.667,13.7,10,20201229,Eric Paschall,0,.750,13.0,4,110,4,0,0.0,0.0,.750,0,6,0,809.0,0,0.0,1.7,GSW,3,0,.753,3,0,1.500,2,158,2,0.0,8.4,-3,21.3
1.000,0,0,1,.500,8.4,2,20201229,Mychal Mulder,0,.000,0.0,2,112,1,0,26.6,0.0,.000,0,4,0,659.0,.000,0.0,-17.4,GSW,0,1,.362,2,0,4.000,1,56,1,0.0,5.1,-14,14.8
.000,0,0,0,0,0.0,2,20201229,Jordan Poole,0,1.000,0.0,0,117,1,0,50.0,0.0,1.000,0,0,1,574.0,0,15.2,-8.0,GSW,1,1,1.000,1,0,.000,1,108,0,0.0,5.9,-4,9.1
0,0,0,0,0,0,0,20201229,Kent Bazemore,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0
.429,2,1,9,.857,15.7,27,20201229,Jerami Grant,3,.500,5.6,6,106,21,3,14.2,3.8,.429,0,7,3,2222.0,.333,7.5,1.8,DET,9,4,.561,5,1,.333,7,105,4,6.0,10.7,-18,30.4
.357,1,3,5,.625,19.8,17,20201229,Josh Jackson,0,.429,19.4,5,112,14,1,5.4,1.6,.429,0,8,2,1767.0,.000,6.3,-1.5,DET,6,1,.485,5,1,.571,6,110,4,3.8,11.5,-16,25.2
.200,1,2,1,.500,29.3,2,20201229,Mason Plumlee,0,.000,11.1,2,115,5,0,30.7,0.0,.000,0,4,5,1489.0,.000,18.6,-14.4,DET,0,3,.148,2,1,.800,10,58,5,4.5,22.8,-20,15.8
.667,0,3,2,1.000,42.8,8,20201229,Blake Griffin,2,1.000,28.9,2,111,3,1,0.0,2.8,.667,0,2,0,1019.0,1.000,0.0,13.4,DET,2,0,1.031,1,1,.667,5,218,5,0.0,16.6,+1,9.2
.500,0,1,2,0,0.0,0,20201229,Killian Hayes,0,.000,8.1,0,121,4,0,33.3,0.0,.000,0,0,0,1017.0,.000,0.0,-22.4,DET,0,2,.000,0,1,.000,0,11,0,0.0,0.0,-9,14.2
.400,0,3,2,0,5.2,5,20201229,Delon Wright,1,.500,16.3,0,120,5,0,28.6,0.0,.400,0,0,0,1681.0,.500,0.0,-9.7,DET,2,2,.500,1,0,.000,1,87,1,0.0,2.0,-5,10.0
.222,0,7,4,1.000,5.5,15,20201229,Derrick Rose,1,.361,52.7,2,112,18,2,9.6,3.6,.333,0,2,1,1586.0,.250,3.5,-3.2,DET,6,2,.397,4,0,.111,2,97,1,0.0,4.3,+8,31.7
.000,2,1,0,0,18.8,6,20201229,Isaiah Stewart,0,.600,7.2,0,112,5,0,0.0,0.0,.600,0,0,4,1391.0,0,15.9,-0.5,DET,3,0,.600,2,0,.000,7,150,3,9.6,17.1,+10,8.6
.556,0,0,5,1.000,28.8,11,20201229,Saddiq Bey,3,.500,0.0,2,117,9,0,9.2,0.0,.333,0,2,0,909.0,.600,0.0,-4.1,DET,3,1,.557,3,0,.222,3,107,3,0.0,11.2,+2,28.8
