trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
3,.444,0,120,4.4,6.8,.222,7,MEM,.417,.250,22,Ja Morant,4,.875,20210212,1,18,1.9,2,46.3,121,5.1,0.0,29.1,10,0,1,1,.511,2113.0,0,1,0.0,7,0,.389,8,3.4,-4
3,.077,3,115,18.2,10.4,.769,1,MEM,.846,.600,23,Grayson Allen,10,1.000,20210212,0,13,7.0,3,5.0,114,5.2,2.8,21.6,1,0,1,6,.856,2079.0,0,3,0.0,8,2,.615,1,0.0,-1
8,.308,4,127,16.9,22.3,.077,3,MEM,.731,1.000,22,Jonas Valančiūnas,1,.750,20210212,2,13,6.2,6,29.1,117,14.9,0.0,25.1,5,0,1,1,.745,1935.0,0,3,0.0,9,0,.692,4,7.4,0
0,.000,5,74,18.8,0.0,.308,0,MEM,.462,.500,12,Dillon Brooks,4,0,20210212,0,13,-8.2,0,10.0,116,0.0,3.1,23.8,2,0,1,2,.462,1841.0,0,3,0.0,5,2,.385,0,0.0,0
6,.286,2,100,11.3,19.8,.429,2,MEM,.286,.000,6,Kyle Anderson,3,1.000,20210212,1,7,3.0,5,22.1,106,11.9,4.8,13.4,5,0,1,0,.381,1817.0,1,1,2.9,2,3,.286,2,4.0,-7
3,.000,1,86,27.3,14.0,.375,0,MEM,.375,.000,6,Tyus Jones,3,0,20210212,0,8,-5.2,3,44.6,115,7.0,1.9,19.4,8,0,0,0,.375,1546.0,0,3,0.0,3,1,.375,0,0.0,-15
2,.000,3,146,0.0,6.1,.600,0,MEM,.800,.667,8,Xavier Tillman,3,0,20210212,1,5,2.1,1,0.0,118,6.1,0.0,11.6,0,0,0,2,.800,1175.0,1,0,4.5,3,0,.600,0,6.1,-14
5,1.000,3,46,51.0,34.8,.500,1,MEM,.500,.000,3,John Konchar,1,.500,20210212,0,2,-11.9,5,0.0,107,17.4,2.8,15.5,0,0,0,0,.521,1034.0,0,3,0.0,1,1,.500,2,0.0,-5
3,2.000,4,170,0.0,16.7,.000,1,MEM,1.000,0,3,Gorgui Dieng,0,.500,20210212,1,1,-7.2,2,0.0,117,12.6,0.0,6.0,0,0,0,0,.798,860.0,0,0,0.0,1,0,1.000,2,8.4,-4
0,0,0,0,0,0,0,0,MEM,0,0,0,Brandon Clarke,0,0,20210212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MEM,0,0,0,De'Anthony Melton,0,0,20210212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,MEM,0,0,0,Desmond Bane,0,0,20210212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
