stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.4,7.6,2,2209.0,0,14,.455,.785,11,0,1.000,.227,11,38,22,.636,5,7,1,1,0,.500,.750,James Harden,24.7,0.0,5,BRK,132,20210216,14.0,49.9,0,7,156,34.6,0.0,2,5,12.9
0.0,0.0,2,1928.0,0,5,.625,.781,0,0,1.000,.200,8,17,10,.500,2,5,0,1,+12,.800,.750,Tyler Johnson,20.2,0.0,2,BRK,136,20210216,-1.4,0.0,0,5,145,16.5,0.0,0,5,10.5
1.6,12.6,1,1866.0,0,8,.444,.793,1,0,1.000,.154,9,22,13,.615,2,4,1,1,+7,.692,.769,Joe Harris,16.7,0.0,2,BRK,132,20210216,0.6,4.5,0,4,128,24.9,0.0,2,4,8.7
0.0,31.1,2,1684.0,1,4,0,1.014,3,0,1.000,.250,0,9,4,1.000,1,3,0,1,-6,.000,1.000,DeAndre Jordan,13.9,15.1,1,BRK,133,20210216,0.4,12.8,3,6,164,11.2,3.4,2,0,14.5
2.0,0.0,1,1567.0,1,1,0,.200,3,0,0,.000,0,2,5,.200,0,2,1,1,-1,.000,.200,Bruce Brown,9.9,0.0,0,BRK,128,20210216,-6.3,12.2,0,2,80,9.3,3.6,0,0,5.2
1.8,18.2,1,1672.0,1,5,.500,.722,2,0,0,.000,6,13,9,.556,0,2,1,0,+8,.667,.722,Landry Shamet,9.3,0.0,0,BRK,129,20210216,-0.6,9.0,0,2,114,19.2,3.4,2,3,4.9
0.0,0.0,0,1478.0,1,7,.500,.587,3,0,.667,.214,4,18,14,.500,3,7,0,0,+6,.286,.571,Jeff Green,36.9,5.7,2,BRK,130,20210216,0.7,17.5,1,8,128,30.3,3.8,0,2,22.0
0.0,29.1,1,1339.0,0,3,1.000,.922,2,0,1.000,.500,1,9,4,.750,2,2,0,0,-1,.250,.875,Timothé Luwawu-Cabarrot,11.6,0.0,2,BRK,136,20210216,-2.8,10.6,0,2,132,15.0,0.0,2,1,6.1
0.0,0.0,1,657.0,0,0,.000,.000,3,0,0,.000,1,0,1,.000,0,1,0,0,-5,1.000,.000,Chris Chiozza,11.8,0.0,0,BRK,136,20210216,-7.2,28.0,0,1,130,4.4,0.0,0,0,6.2
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Noah Vonleh,0,0,0,BRK,0,20210216,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andre Roberson,0,0,0,BRK,0,20210216,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nicolas Claxton,0,0,0,BRK,0,20210216,0,0,0,0,0,0,0,0,0,0
1.4,0.0,0,2251.0,1,4,.500,.714,2,0,0,.000,4,10,7,.571,0,6,1,1,-2,.571,.714,Mikal Bridges,22.6,0.0,0,PHO,135,20210216,-0.6,6.0,0,6,142,9.0,3.0,0,2,10.8
1.4,8.4,4,2188.0,0,9,.000,.506,7,0,1.000,.200,4,22,20,.450,4,2,1,1,-5,.200,.450,Devin Booker,7.7,0.0,4,PHO,139,20210216,-9.2,25.5,0,2,107,31.5,0.0,2,0,3.7
1.4,0.0,0,2127.0,0,12,.500,.709,7,0,1.000,.050,8,29,20,.600,1,3,1,1,-9,.400,.700,Chris Paul,11.9,3.7,1,PHO,138,20210216,8.5,29.9,1,4,149,27.9,0.0,0,4,7.6
0.0,9.6,4,2073.0,1,7,1.000,.847,2,0,1.000,.111,1,16,9,.778,1,8,0,1,-1,.111,.833,Deandre Ayton,32.7,3.8,1,PHO,137,20210216,-0.2,7.3,1,9,154,14.6,3.3,1,1,17.6
1.7,0.0,1,1855.0,1,6,.333,.577,3,0,0,.000,9,15,13,.462,0,5,1,1,-8,.692,.577,Jae Crowder,22.8,8.4,0,PHO,134,20210216,1.5,12.0,2,7,127,20.3,3.7,0,3,15.3
0.0,17.0,1,1099.0,0,2,.500,.717,1,0,1.000,.500,2,7,4,.500,2,4,0,0,+1,.500,.625,Cameron Johnson,30.8,0.0,2,PHO,140,20210216,-5.5,6.1,0,4,121,15.5,0.0,1,1,14.8
7.6,0.0,1,805.0,0,2,.000,.592,1,0,1.000,.800,1,8,5,.400,4,1,2,0,-1,.200,.400,Dario Šarić,10.5,0.0,4,PHO,123,20210216,1.9,8.8,0,1,129,24.4,0.0,0,0,5.0
0.0,16.7,2,798.0,0,3,.750,.900,4,0,0,.000,4,9,5,.600,0,0,0,0,+5,.800,.900,Cameron Payne,0.0,0.0,0,PHO,143,20210216,7.3,38.8,0,0,155,21.8,0.0,1,3,0.0
0.0,33.3,1,692.0,0,1,.500,.750,1,0,0,.000,2,3,2,.500,0,0,0,0,+1,1.000,.750,E'Twaun Moore,0.0,0.0,0,PHO,143,20210216,-8.8,9.5,0,0,101,12.6,0.0,1,1,0.0
6.0,0.0,1,512.0,0,2,.500,.833,0,0,0,.000,2,5,3,.667,0,1,1,0,-1,.667,.833,Abdel Nader,16.5,0.0,0,PHO,127,20210216,5.9,0.0,0,1,150,17.0,0.0,0,1,7.9
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jevon Carter,0,0,0,PHO,0,20210216,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Langston Galloway,0,0,0,PHO,0,20210216,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank Kaminsky,0,0,0,PHO,0,20210216,0,0,0,0,0,0,0,0,0,0
