drb,sp,bpm,usg_pct,stl,tov,drtg,ts_pct,ast_pct,fg_pct,ft,threepar,blk,ftr,orb,ft_pct,inactive,threepa,threep_pct,pf,tov_pct,team_abbr,pts,pm,date,ortg,stl_pct,fga,fta,drb_pct,efg_pct,orb_pct,trb,threep,fg,starter,ast,trb_pct,blk_pct,player_name
8,2294.0,6.3,8.2,2,1,121,1.000,3.2,.833,0,.500,4,.000,0,0,0,3,.667,3,14.3,POR,12,+12,20210217,159,2.7,6,0,23.9,1.000,0.0,8,2,5,1,1,12.2,8.8,Robert Covington
3,2271.0,17.4,42.1,1,4,134,.682,71.8,.500,8,.571,1,.286,1,1.000,0,16,.438,1,11.3,POR,43,+14,20210217,140,1.3,28,8,9.1,.625,3.2,4,7,14,1,16,6.2,2.2,Damian Lillard
2,2036.0,1.4,20.9,1,0,135,.730,3.9,.500,4,.714,0,.286,0,1.000,0,10,.500,4,0.0,POR,23,+7,20210217,146,1.5,14,4,6.7,.679,0.0,2,5,7,1,1,3.5,0.0,Gary Trent
4,1904.0,6.7,12.7,2,1,125,.813,12.3,.750,0,.250,2,.000,3,0,0,2,.500,4,11.1,POR,13,+3,20210217,159,3.2,8,0,14.4,.813,11.3,7,1,6,1,3,12.9,5.3,Derrick Jones
2,1828.0,-10.1,16.0,0,0,139,.506,4.1,.500,1,.000,0,.200,2,.500,0,0,0,3,0.0,POR,11,+10,20210217,117,0.0,10,2,7.5,.500,7.9,4,0,5,1,1,7.7,0.0,Enes Kanter
1,1489.0,-7.3,15.1,0,2,140,.554,13.8,.400,2,.800,0,.600,1,.667,0,4,.250,0,24.0,POR,7,-9,20210217,107,0.0,5,3,4.6,.500,4.8,2,1,2,0,3,4.7,0.0,Anfernee Simons
3,1181.0,-10.7,27.4,0,0,134,.500,7.2,.417,0,.250,0,.000,0,0,0,3,.667,4,0.0,POR,12,-6,20210217,102,0.0,12,0,17.4,.500,0.0,3,2,5,0,1,8.9,0.0,Carmelo Anthony
1,1124.0,-16.8,17.8,0,1,140,.388,0.0,.333,1,.333,0,.167,0,1.000,0,2,.000,0,13.4,POR,5,-11,20210217,68,0.0,6,1,6.1,.333,0.0,1,0,2,0,0,3.1,0.0,Rodney Hood
0,271.0,-20.7,9.9,0,0,143,.000,0.0,.000,0,1.000,0,.000,0,0,0,1,.000,0,0.0,POR,0,-10,20210217,0,0.0,1,0,0.0,.000,0.0,0,0,0,0,0,0.0,0.0,Nassir Little
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20210217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CJ Elleby
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,0,0,20210217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jusuf Nurkić
