trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
15,.091,1,128,4.2,39.1,.091,1,DEN,.614,.500,28,Nikola Jokić,2,.500,20210312,2,22,14.3,13,38.9,101,22.1,2.8,29.9,7,0,1,1,.612,2176.0,0,1,0.0,13,2,.591,2,5.8,-3
9,.308,1,134,6.3,18.7,.308,3,DEN,.692,.500,21,Michael Porter,4,.750,20210312,3,13,2.9,6,0.0,110,13.7,0.0,20.5,0,0,1,2,.711,2096.0,1,1,2.3,8,0,.615,4,9.0,+9
3,.000,1,43,6.7,10.1,.357,0,DEN,.107,.200,3,Jamal Murray,5,0,20210312,0,14,-14.3,3,18.8,107,4.9,3.1,21.0,5,0,1,1,.107,1943.0,0,1,0.0,1,2,.071,0,0.0,+9
2,.250,3,87,10.1,6.9,.375,2,DEN,.250,.000,6,Monte Morris,3,1.000,20210312,0,8,-6.5,2,19.8,107,3.3,3.1,14.1,5,0,1,0,.338,1911.0,0,1,0.0,2,2,.250,2,0.0,+11
1,.071,0,125,12.2,0.0,.714,0,DEN,.750,.500,21,Will Barton,10,.000,20210312,1,14,13.3,0,21.9,105,1.7,4.9,24.2,4,0,1,5,.727,1846.0,0,2,0.0,8,3,.571,1,3.4,+15
7,.286,2,131,11.3,24.9,.429,2,DEN,.643,.333,11,Paul Millsap,3,1.000,20210312,2,7,4.4,5,6.8,104,17.1,0.0,18.4,1,0,0,1,.698,1313.0,2,1,7.4,4,0,.571,2,9.5,-11
4,.000,1,52,14.3,20.1,.667,0,DEN,.250,.250,3,PJ Dozier,4,0,20210312,0,6,-12.9,4,5.7,112,9.8,0.0,14.6,1,0,0,1,.250,1301.0,0,1,0.0,1,0,.167,0,0.0,-14
2,.000,1,113,12.5,11.2,.857,0,DEN,.571,.333,8,Facundo Campazzo,6,0,20210312,0,7,-0.9,2,29.2,114,5.5,0.0,18.6,4,0,0,2,.571,1172.0,0,1,0.0,3,0,.429,0,0.0,-12
2,.000,0,210,0.0,10.2,.000,0,DEN,1.000,0,2,Isaiah Hartenstein,0,0,20210312,1,1,8.2,1,0.0,89,10.0,4.7,4.2,0,0,0,0,1.000,642.0,2,0,15.2,1,1,1.000,0,9.8,+1
0,0,0,0,0,0,0,0,DEN,0,0,0,Greg Whittington,0,0,20210312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
