blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
18.6,.818,9.0,0.0,90,2,21,1.000,16.5,9,10,+19,182,0,7,20210322,1996.0,0,Rudy Gobert,11,3,0,.000,9,.818,3,0,17.1,15.2,.852,UTA,0,3,.273,1,9.6,4,0,0.0,20.2
0.0,.214,7.9,0.0,109,2,8,1.000,24.9,3,3,+1,64,2,2,20210322,1818.0,0,Bojan Bogdanović,14,2,0,.357,0,.214,1,0,-17.8,5.0,.269,UTA,5,2,.143,1,3.5,2,.000,11.8,6.3
0.0,.579,35.4,1.7,100,6,30,1.000,34.9,11,6,+2,134,3,6,20210322,1789.0,1,Donovan Mitchell,19,3,0,.421,0,.711,0,5,14.3,10.2,.738,UTA,8,3,.158,1,0.0,2,.625,12.9,19.3
0.0,.417,17.8,1.7,103,4,15,1.000,22.6,5,3,+18,112,2,3,20210322,1762.0,1,Mike Conley,12,2,0,.417,0,.542,0,3,-0.7,5.2,.582,UTA,5,2,.167,1,0.0,2,.600,13.4,9.8
0.0,.333,0.0,0.0,107,0,3,0,4.8,1,3,+3,102,0,3,20210322,1674.0,0,Royce O'Neale,3,0,0,1.000,0,.500,0,1,-6.7,5.4,.500,UTA,3,0,.000,1,0.0,3,.333,0.0,10.3
0.0,.750,5.6,3.9,92,1,17,0,14.1,6,7,+18,201,0,7,20210322,1521.0,2,Joe Ingles,8,0,0,.750,0,1.063,0,5,18.8,14.0,1.063,UTA,6,0,.000,0,0.0,0,.833,0.0,26.5
0.0,.375,12.8,2.2,100,2,16,1.000,35.5,6,5,+25,100,1,4,20210322,1381.0,1,Jordan Clarkson,16,3,0,.500,0,.406,1,1,-3.0,11.0,.462,UTA,8,3,.188,0,4.6,0,.125,5.5,16.7
0.0,.000,22.0,3.4,101,3,0,0,9.2,0,1,+20,59,1,1,20210322,871.0,1,Georges Niang,2,0,0,.500,0,.000,0,0,-4.7,3.5,.000,UTA,1,0,.000,0,0.0,2,.000,33.3,6.6
5.2,.333,17.7,3.8,93,2,2,.000,13.2,1,7,+2,132,0,2,20210322,786.0,1,Derrick Favors,3,0,0,.000,1,.333,5,0,6.0,27.0,.258,UTA,0,2,.667,0,40.7,0,0,0.0,14.7
0.0,1.000,0.0,0.0,111,0,6,0,24.3,2,0,+3,300,0,0,20210322,220.0,0,Miye Oni,2,0,0,1.000,0,1.500,0,2,44.8,0.0,1.500,UTA,2,0,.000,0,0.0,1,1.000,0.0,0.0
0.0,1.000,41.0,0.0,100,1,2,0,12.2,1,1,+3,210,0,1,20210322,220.0,0,Trent Forrest,1,0,0,.000,0,1.000,0,0,13.4,13.8,1.000,UTA,0,0,.000,0,0.0,0,0,0.0,26.2
