stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.1,5.3,2,2485.0,1,9,.333,.591,2,0,.250,.250,6,21,16,.563,4,9,1,1,+10,.375,.625,Rui Hachimura,18.6,0.0,1,WAS,103,20210325,2.2,8.7,0,9,108,19.5,1.8,1,2,10.3
2.3,28.3,6,2412.0,4,3,.000,.321,9,0,.583,.800,5,13,15,.200,12,17,2,1,-1,.333,.200,Russell Westbrook,36.2,2.7,7,WAS,88,20210325,-5.8,32.2,1,18,66,30.3,7.3,8,0,21.3
0.0,18.2,5,2362.0,0,8,.286,.482,9,0,.889,.391,7,26,23,.348,9,3,0,1,-1,.304,.391,Bradley Beal,6.5,2.7,8,WAS,112,20210325,-4.5,40.3,1,4,93,36.0,0.0,6,2,4.8
2.6,0.0,4,2127.0,0,5,.750,1.093,3,0,1.000,.500,4,16,6,.833,3,0,2,1,-9,.667,1.083,Garrison Mathews,0.0,3.0,3,WAS,110,20210325,9.4,13.4,1,1,214,8.9,0.0,0,3,1.3
2.1,20.5,5,1358.0,2,3,0,.902,1,0,.500,.667,0,7,3,1.000,2,2,1,1,+2,.000,1.000,Alex Len,7.6,4.7,1,WAS,104,20210325,0.4,6.9,1,3,139,9.3,6.5,1,0,6.3
0.0,14.3,1,1522.0,1,5,0,.833,0,0,0,.000,0,10,6,.833,0,2,0,0,-6,.000,.833,Robin Lopez,6.8,8.4,0,WAS,111,20210325,0.3,0.0,2,4,136,11.9,2.9,1,0,7.5
5.7,0.0,2,986.0,0,4,.333,.605,2,0,.000,.143,3,9,7,.571,1,3,2,0,-6,.429,.643,Raul Neto,15.6,6.5,0,WAS,95,20210325,10.3,23.1,1,4,126,19.5,0.0,0,1,11.6
0.0,0.0,4,655.0,1,0,.000,.000,0,0,0,.000,1,0,4,.000,0,2,0,0,-1,.250,.000,Deni Avdija,15.7,0.0,0,WAS,103,20210325,-21.6,0.0,0,2,0,15.8,6.8,0,0,8.7
0.0,0.0,3,493.0,0,0,0,.000,0,0,.000,0,0,0,0,0,2,0,0,0,-8,0,0,Isaac Bonga,0.0,13.0,0,WAS,115,20210325,-14.6,0.0,1,1,63,4.6,0.0,0,0,5.8
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cassius Winston,0,0,0,WAS,0,20210325,0,0,0,0,0,0,0,0,0,0
