trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
9,.192,5,82,15.1,19.9,.346,4,DAL,.365,.111,23,Luka Dončić,9,.800,20210407,2,26,-3.6,7,29.9,107,12.1,1.4,40.3,5,0,1,1,.408,2247.0,1,5,2.9,9,1,.346,5,5.1,-7
12,.053,0,119,4.9,26.5,.211,1,DAL,.579,.500,23,Kristaps Porziņģis,4,1.000,20210407,3,19,6.4,9,6.7,110,16.7,0.0,25.6,1,0,1,2,.592,2175.0,1,1,3.0,10,0,.526,1,7.9,-19
7,.000,3,107,11.1,17.8,.750,0,DAL,.563,.500,9,Dorian Finney-Smith,6,0,20210407,1,8,1.6,6,4.6,105,9.8,2.9,11.4,1,0,1,3,.563,2155.0,1,1,3.0,3,2,.375,0,2.7,-16
3,.222,2,37,9.2,7.2,.667,1,DAL,.000,.000,1,Josh Richardson,6,.500,20210407,1,9,-13.7,2,19.8,113,5.1,1.8,16.8,4,0,1,0,.051,1767.0,0,1,0.0,0,1,.000,2,3.3,-10
3,.667,2,61,0.0,13.4,.333,2,DAL,.000,.000,2,Nicolò Melli,1,1.000,20210407,0,3,-10.4,3,0.0,115,6.3,0.0,7.4,0,0,1,0,.258,1436.0,0,0,0.0,0,0,.000,2,0.0,+2
6,.455,1,132,7.0,20.8,.818,5,DAL,.591,.333,18,Tim Hardaway,9,1.000,20210407,0,11,6.4,6,6.2,111,9.9,0.0,21.0,1,0,0,3,.682,1846.0,1,1,3.5,5,0,.455,5,0.0,-7
3,.714,2,163,0.0,7.0,.286,3,DAL,.786,.500,14,Jalen Brunson,2,.600,20210407,1,7,4.1,2,18.8,117,5.0,0.0,13.7,3,0,0,1,.761,1827.0,0,0,0.0,5,0,.714,5,3.2,+3
2,1.000,0,138,0.0,0.0,.500,1,DAL,.500,.000,3,Dwight Powell,1,.500,20210407,2,2,3.8,0,19.4,120,11.3,0.0,14.6,1,0,0,0,.521,538.0,0,0,0.0,1,0,.500,2,21.4,+8
0,0,0,0,0,0.0,0,0,DAL,0,0,0,Nate Hinton,0,0,20210407,0,0,-8.8,0,0.0,120,0.0,0.0,0.0,0,0,0,0,0,220.0,0,0,0.0,0,0,0,0,0.0,0
1,.000,0,34,0.0,0.0,.500,0,DAL,.000,.000,0,Josh Green,1,0,20210407,1,2,-8.2,0,0.0,98,16.3,0.0,29.3,0,0,0,0,.000,186.0,1,0,35.2,0,0,.000,0,31.0,+1
0,0,0,0,0,0,0,0,DAL,0,0,0,Maxi Kleber,0,0,20210407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,DAL,0,0,0,Tyler Bey,0,0,20210407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,DAL,0,0,0,Boban Marjanović,0,0,20210407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0
10,.118,2,127,0.0,23.5,.471,1,HOU,.618,.625,22,Christian Wood,8,.500,20210407,1,17,6.6,9,4.7,100,13.7,1.4,22.2,1,0,1,5,.615,2210.0,0,0,0.0,8,1,.471,2,2.9,+18
3,.286,2,108,11.3,5.3,.429,2,HOU,.429,.000,8,Jae'Sean Tate,3,1.000,20210407,1,7,-6.0,2,7.8,110,4.2,0.0,11.2,2,0,1,0,.508,2180.0,0,1,0.0,3,0,.429,2,2.9,+15
3,.261,0,129,3.8,5.6,.435,3,HOU,.609,.400,31,John Wall,10,.500,20210407,1,23,22.9,2,46.8,94,4.5,6.1,35.8,7,0,1,4,.605,2043.0,1,1,2.9,12,4,.522,6,3.1,+22
