trb,ftr,pf,ortg,tov_pct,drb_pct,threepar,ft,team_abbr,efg_pct,threep_pct,pts,player_name,threepa,ft_pct,date,orb,fga,bpm,drb,ast_pct,drtg,trb_pct,stl_pct,usg_pct,ast,inactive,starter,threep,ts_pct,sp,blk,tov,blk_pct,fg,stl,fg_pct,fta,orb_pct,pm
4,.182,1,91,7.8,15.5,.182,1,PHI,.409,.500,10,Tobias Harris,2,.500,20210412,0,11,1.1,4,21.7,98,8.1,1.8,21.7,4,0,1,1,.421,1654.0,2,1,7.4,4,1,.364,2,0.0,+16
7,.882,1,150,4.1,25.0,.176,14,PHI,.647,.667,36,Joel Embiid,3,.933,20210412,1,17,24.4,6,18.4,99,15.2,2.0,44.5,2,0,1,2,.763,1539.0,0,1,0.0,10,1,.588,15,4.6,+8
3,.000,0,127,0.0,12.6,1.000,0,PHI,.600,.400,6,Danny Green,5,0,20210412,0,5,2.7,3,10.7,105,6.6,0.0,9.1,2,0,1,2,.600,1524.0,1,0,4.0,2,0,.400,0,0.0,+10
2,.000,3,107,0.0,8.8,.375,0,PHI,.500,.667,8,Seth Curry,3,0,20210412,0,8,-4.8,2,11.9,108,4.6,0.0,15.2,2,0,1,2,.500,1461.0,0,0,0.0,3,0,.375,0,0.0,+9
6,1.000,4,119,10.4,17.8,.000,2,PHI,.500,0,8,Ben Simmons,0,.333,20210412,2,6,2.5,4,42.4,100,13.9,2.1,18.6,7,0,1,0,.463,1441.0,0,1,0.0,3,1,.500,6,9.7,+13
3,1.000,3,124,10.4,13.2,.167,4,PHI,.500,.000,10,Shake Milton,1,.667,20210412,0,6,1.3,3,29.9,102,6.9,2.1,18.4,5,0,0,0,.579,1457.0,0,1,0.0,3,1,.500,6,0.0,+16
4,.000,2,139,0.0,13.7,.600,0,PHI,.700,.333,7,Matisse Thybulle,3,0,20210412,1,5,6.6,3,0.0,94,9.5,4.3,9.9,0,0,0,1,.700,1404.0,1,0,4.4,3,2,.600,0,5.0,+7
7,.333,4,64,53.8,25.5,.333,0,PHI,.667,.000,4,Dwight Howard,1,.000,20210412,2,3,-12.8,5,0.0,97,18.7,2.4,16.5,0,0,0,0,.581,1256.0,0,4,0.0,2,1,.667,1,11.2,+12
2,.300,1,143,8.1,11.6,.700,2,PHI,.900,.571,20,Furkan Korkmaz,7,.667,20210412,0,10,23.6,2,12.6,95,6.1,5.5,31.1,1,0,0,4,.883,1102.0,0,1,0.0,7,2,.700,3,0.0,+5
1,.000,0,75,0.0,5.9,.500,0,PHI,.333,.000,4,Mike Scott,3,0,20210412,0,6,-8.3,1,7.9,109,3.1,0.0,15.3,1,0,0,0,.333,1088.0,0,0,0.0,2,0,.333,0,0.0,-1
0,.000,1,0,0.0,0.0,1.000,0,PHI,.000,.000,0,Tyrese Maxey,1,0,20210412,0,1,-34.3,0,0.0,110,0.0,0.0,20.2,0,0,0,0,.000,138.0,0,0,0.0,0,0,.000,0,0.0,+3
1,0,0,0,0,0.0,0,0,PHI,0,.000,0,Rayjon Tucker,1,0,20210412,0,1,-7.3,1,0.0,111,0.0,0.0,0.0,0,0,0,0,0,85.0,0,0,0.0,0,0,.000,0,0.0,-2
0,0,0,0,0,0.0,0,0,PHI,0,0,0,Paul Reed,0,0,20210412,0,0,-5.5,0,0.0,111,0.0,0.0,0.0,0,0,0,0,0,85.0,0,0,0.0,0,0,0,0,0.0,-2
0,.000,0,0,0.0,75.3,1.000,0,PHI,.000,0,0,Isaiah Joe,0,0,20210412,0,0,-33.5,0,0.0,86,39.4,0.0,32.7,0,0,0,0,.000,85.0,0,0,0.0,0,0,0,0,0.0,-2
0,.000,0,0,0.0,0.0,1.000,0,PHI,.000,.000,0,Mason Jones,1,0,20210412,0,1,-40.1,0,0.0,111,0.0,0.0,34.3,0,0,0,0,.000,81.0,0,0,0.0,0,0,.000,0,0.0,-2
