blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
5.8,.000,25.1,3.5,97,8,2,1.000,12.6,0,9,0,55,6,9,20210519,2482.0,3,Draymond Green,5,2,0,.200,3,.000,0,0,11.0,.170,GSW,1,2,.400,1,0.0,5,.000,50.5,20.9
0.0,.522,15.5,0.0,110,3,37,.875,35.1,12,7,+4,114,6,7,20210519,2437.0,0,Stephen Curry,23,7,0,.391,0,.652,0,6,8.7,.698,GSW,9,8,.348,1,0.0,2,.667,18.5,16.5
2.0,.556,9.8,0.0,114,2,21,.000,22.7,10,3,+1,109,2,1,20210519,2365.0,0,Andrew Wiggins,18,0,0,.278,1,.583,2,1,3.8,.569,GSW,5,1,.056,1,5.4,4,.200,9.8,2.4
0.0,.300,6.3,10.0,90,1,10,.500,23.0,3,4,-8,85,2,3,20210519,1471.0,5,Kent Bazemore,10,1,0,.500,0,.450,1,3,8.2,.460,GSW,5,2,.200,1,4.4,2,.600,15.5,11.7
8.0,.500,8.1,0.0,96,1,6,0,13.2,3,13,-1,136,0,8,20210519,1196.0,0,Kevon Looney,6,0,0,.000,2,.500,5,0,33.0,.500,GSW,0,0,.000,1,26.8,2,0,0.0,38.5
0.0,.444,18.3,0.0,115,3,10,0,16.6,4,1,-4,111,1,1,20210519,1585.0,0,Jordan Poole,9,0,0,.556,0,.556,0,2,1.9,.556,GSW,5,0,.000,0,0.0,3,.400,10.0,3.6
3.1,.429,5.9,0.0,108,1,9,.500,15.0,3,6,-7,109,1,5,20210519,1554.0,0,Juan Toscano-Anderson,7,1,0,.714,1,.571,1,2,11.7,.571,GSW,5,2,.286,0,4.1,2,.400,11.3,18.5
3.7,.400,0.0,0.0,109,0,5,0,14.0,2,3,0,67,2,3,20210519,1310.0,0,Mychal Mulder,5,0,0,.800,1,.500,0,1,6.9,.500,GSW,4,0,.000,0,0.0,1,.250,28.6,13.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20210519,0.0,0,Eric Paschall,0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20210519,0.0,0,Gary Payton,0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20210519,0.0,0,Jordan Bell,0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20210519,0.0,0,Nico Mannion,0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20210519,0.0,0,Alen Smailagić,0,0,0,0,0,0,0,0,0,0,GSW,0,0,0,0,0,0,0,0,0
2.3,.417,8.9,2.3,101,2,25,1.000,28.9,10,12,+2,95,3,10,20210519,2534.0,2,Anthony Davis,24,4,0,.250,1,.438,2,1,14.4,.485,LAL,6,4,.167,1,4.5,4,.167,10.4,25.3
2.8,.412,50.3,2.8,101,10,22,.667,26.8,7,11,+13,126,1,7,20210519,2091.0,2,LeBron James,17,6,0,.235,1,.471,4,2,15.9,.525,LAL,4,9,.529,1,11.0,2,.500,4.6,21.4
3.0,.600,9.1,4.5,101,2,10,1.000,9.0,3,3,-7,147,1,2,20210519,1951.0,3,Kentavious Caldwell-Pope,5,2,0,.800,1,.800,1,2,4.7,.850,LAL,4,2,.400,1,3.0,1,.500,14.5,6.6
3.2,.214,24.4,1.6,107,5,12,.833,26.0,3,3,-20,85,2,2,20210519,1828.0,1,Dennis Schröder,14,5,0,.429,1,.250,1,1,5.0,.361,LAL,6,6,.429,1,3.2,3,.167,10.7,7.0
11.7,.667,9.2,0.0,97,1,4,0,10.1,2,7,-1,107,1,6,20210519,1005.0,0,Andre Drummond,3,0,0,.000,2,.667,1,0,21.1,.667,LAL,0,0,.000,1,5.7,3,0,25.0,38.2
