threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.333,0,6,6,1.000,31.0,27,20210610,Paul George,2,.500,21.2,9,125,18,0,15.4,0.0,.444,0,9,1,2616.0,.333,2.7,1.8,LAC,8,4,.615,5,1,.500,10,116,9,0.0,15.1,-12,26.9
.235,0,5,4,.750,7.8,21,20210610,Kawhi Leonard,2,.529,20.6,3,120,17,2,13.8,2.6,.471,0,4,2,2321.0,.500,6.1,2.3,LAC,8,3,.560,4,1,.235,4,110,2,0.0,6.8,-8,25.4
.455,1,3,5,0,32.3,8,20210610,Marcus Morris,0,.364,11.1,0,123,11,0,0.0,0.0,.364,0,0,2,2227.0,.000,6.3,-1.4,LAC,4,0,.364,1,1,.000,10,98,8,3.5,17.7,-8,13.4
.421,0,2,8,1.000,12.5,29,20210610,Reggie Jackson,4,.684,10.5,3,126,19,0,4.7,0.0,.579,0,3,0,2168.0,.500,0.0,8.3,LAC,11,1,.714,1,1,.158,3,136,3,0.0,5.5,-4,26.7
.000,1,0,0,1.000,0.0,7,20210610,Ivica Zubac,0,1.000,0.0,1,118,3,0,36.8,0.0,1.000,0,1,0,829.0,0,0.0,-3.6,LAC,3,2,1.017,4,1,.333,0,112,0,9.4,0.0,+1,17.8
.750,1,2,3,.500,16.4,7,20210610,Nicolas Batum,2,.750,9.6,1,113,4,2,0.0,3.6,.500,0,2,0,1649.0,.667,0.0,8.6,LAC,2,0,.717,2,0,.500,3,151,3,4.7,7.2,+7,8.0
.400,0,1,2,.750,7.2,3,20210610,Patrick Beverley,0,.000,5.8,3,114,5,2,0.0,4.8,.000,0,4,2,1252.0,.000,11.2,-6.0,LAC,0,0,.222,4,0,.800,3,78,1,0.0,9.5,-6,14.7
.143,0,0,1,0,53.7,6,20210610,DeMarcus Cousins,0,.429,0.0,0,124,7,0,12.5,0.0,.429,0,0,0,670.0,.000,0.0,-12.6,LAC,3,1,.429,2,0,.000,4,73,4,0.0,23.6,-2,32.4
1.000,0,0,1,0,0.0,3,20210610,Luke Kennard,1,1.500,0.0,0,126,1,0,0.0,0.0,1.000,0,0,0,601.0,1.000,0.0,1.6,LAC,1,0,1.500,2,0,.000,0,300,0,0.0,0.0,-1,4.5
0,0,0,0,0,0.0,0,20210610,Terance Mann,0,0,0.0,0,127,0,0,0,0.0,0,0,0,0,67.0,0,0.0,-4.9,LAC,0,0,0,0,0,0,0,0,0,0.0,0.0,+3,0.0
