datetime,spread,decimal_odds,vegas_odds,sportsbook,team_abbr,home_abbr,away_abbr,bet_type_id
2010-10-05 15:27:21-04:00,194.0,1.9090909090909092,-110,5Dimes,over,MIA,DET,3
2010-10-05 15:27:21-04:00,194.0,1.9090909090909092,-110,5Dimes,under,MIA,DET,3
2010-10-05 14:34:58-04:00,194.0,1.8333333333333333,-120,Bet365,over,MIA,DET,3
2010-10-05 14:34:58-04:00,194.0,1.8333333333333333,-120,Bet365,under,MIA,DET,3
2010-10-05 15:32:17-04:00,194.0,1.9433962264150944,-106,Pinnacle,over,MIA,DET,3
2010-10-05 15:32:17-04:00,194.0,1.9433962264150944,-106,Pinnacle,under,MIA,DET,3
2010-10-06 15:15:54-04:00,194.0,1.8695652173913044,-115,5Dimes,over,BOS,PHI,3
2010-10-06 15:15:54-04:00,194.0,1.8695652173913044,-115,5Dimes,under,BOS,PHI,3
2010-10-06 15:17:29-04:00,194.0,1.8333333333333333,-120,Bet365,over,BOS,PHI,3
2010-10-06 15:17:29-04:00,194.0,1.8333333333333333,-120,Bet365,under,BOS,PHI,3
2010-10-07 15:06:07-04:00,194.5,1.9090909090909092,-110,5Dimes,over,BRK,BOS,3
2010-10-07 15:06:07-04:00,194.5,1.9090909090909092,-110,5Dimes,under,BRK,BOS,3
2010-10-07 13:41:54-04:00,194.0,1.8333333333333333,-120,Bet365,over,BRK,BOS,3
2010-10-07 13:41:54-04:00,194.0,1.8333333333333333,-120,Bet365,under,BRK,BOS,3
2010-10-07 14:57:45-04:00,194.0,1.9433962264150944,-106,Pinnacle,over,BRK,BOS,3
2010-10-07 14:57:45-04:00,194.0,1.9615384615384615,-104,Pinnacle,under,BRK,BOS,3
2010-10-08 16:31:53-04:00,196.5,1.9090909090909092,-110,5Dimes,over,MIA,OKC,3
2010-10-08 16:31:53-04:00,196.5,1.9090909090909092,-110,5Dimes,under,MIA,OKC,3
2010-10-08 14:30:47-04:00,196.5,1.8333333333333333,-120,Bet365,over,MIA,OKC,3
2010-10-08 14:30:47-04:00,196.5,1.8333333333333333,-120,Bet365,under,MIA,OKC,3
2010-10-08 16:32:21-04:00,196.5,1.9523809523809523,-105,Pinnacle,over,MIA,OKC,3
2010-10-08 16:32:21-04:00,196.5,1.9523809523809523,-105,Pinnacle,under,MIA,OKC,3
2010-10-11 15:21:53-04:00,189.5,1.9090909090909092,-110,5Dimes,over,DET,ATL,3
2010-10-11 15:21:53-04:00,189.5,1.9090909090909092,-110,5Dimes,under,DET,ATL,3
2010-10-11 15:23:00-04:00,190.0,1.8333333333333333,-120,Bet365,over,DET,ATL,3
2010-10-11 15:23:00-04:00,190.0,1.8333333333333333,-120,Bet365,under,DET,ATL,3
2010-10-11 15:27:47-04:00,190.5,2.01,101,Pinnacle,over,DET,ATL,3
2010-10-11 15:27:47-04:00,190.5,1.9009009009009008,-111,Pinnacle,under,DET,ATL,3
2010-10-12 15:01:10-04:00,189.5,1.9090909090909092,-110,5Dimes,over,PHI,BOS,3
2010-10-12 15:01:10-04:00,189.5,1.9090909090909092,-110,5Dimes,under,PHI,BOS,3
2010-10-12 15:00:57-04:00,190.0,1.8333333333333333,-120,Bet365,over,PHI,BOS,3
2010-10-12 15:00:57-04:00,190.0,1.8333333333333333,-120,Bet365,under,PHI,BOS,3
2010-10-12 15:01:06-04:00,190.0,2.02,102,Pinnacle,over,PHI,BOS,3
2010-10-12 15:01:06-04:00,190.0,1.8849557522123894,-113,Pinnacle,under,PHI,BOS,3
2010-10-13 15:38:18-04:00,195.0,1.9090909090909092,-110,5Dimes,over,NYK,BOS,3
2010-10-13 15:38:18-04:00,195.0,1.9090909090909092,-110,5Dimes,under,NYK,BOS,3
2010-10-13 15:28:46-04:00,195.0,1.8333333333333333,-120,Bet365,over,NYK,BOS,3
2010-10-13 15:28:46-04:00,195.0,1.8333333333333333,-120,Bet365,under,NYK,BOS,3
2010-10-13 15:27:50-04:00,195.0,1.9523809523809523,-105,Pinnacle,over,NYK,BOS,3
2010-10-13 15:27:50-04:00,195.0,1.9523809523809523,-105,Pinnacle,under,NYK,BOS,3
2010-10-14 14:39:04-04:00,187.0,1.9090909090909092,-110,5Dimes,over,CLE,SAS,3
2010-10-14 14:39:04-04:00,187.0,1.9090909090909092,-110,5Dimes,under,CLE,SAS,3
2010-10-14 14:02:59-04:00,187.0,1.8333333333333333,-120,Bet365,over,CLE,SAS,3
2010-10-14 14:02:59-04:00,187.0,1.8333333333333333,-120,Bet365,under,CLE,SAS,3
2010-10-14 15:33:36-04:00,187.5,2.0,100,Pinnacle,over,CLE,SAS,3
2010-10-14 15:33:36-04:00,187.5,1.9090909090909092,-110,Pinnacle,under,CLE,SAS,3
2010-10-15 14:44:09-04:00,197.5,1.9090909090909092,-110,5Dimes,over,TOR,BOS,3
2010-10-15 14:44:09-04:00,197.5,1.9090909090909092,-110,5Dimes,under,TOR,BOS,3
2010-10-15 14:47:20-04:00,197.5,2.0,100,Pinnacle,over,TOR,BOS,3
2010-10-15 14:47:20-04:00,197.5,1.9090909090909092,-110,Pinnacle,under,TOR,BOS,3
2010-10-18 16:36:08-04:00,196.5,1.9090909090909092,-110,5Dimes,over,SAS,OKC,3
2010-10-18 16:36:08-04:00,196.5,1.9090909090909092,-110,5Dimes,under,SAS,OKC,3
2010-10-18 16:19:21-04:00,196.5,1.8333333333333333,-120,Bet365,over,SAS,OKC,3
2010-10-18 16:19:21-04:00,196.5,1.8333333333333333,-120,Bet365,under,SAS,OKC,3
2010-10-18 16:36:39-04:00,196.5,1.970873786407767,-103,Pinnacle,over,SAS,OKC,3
2010-10-18 16:36:39-04:00,196.5,1.9345794392523366,-107,Pinnacle,under,SAS,OKC,3
2010-10-19 15:05:37-04:00,186.0,1.9090909090909092,-110,5Dimes,over,CLE,PHI,3
2010-10-19 15:05:37-04:00,186.0,1.9090909090909092,-110,5Dimes,under,CLE,PHI,3
2010-10-19 15:03:13-04:00,186.0,1.8333333333333333,-120,Bet365,over,CLE,PHI,3
2010-10-19 15:03:13-04:00,186.0,1.8333333333333333,-120,Bet365,under,CLE,PHI,3
2010-10-19 15:07:13-04:00,185.5,1.9009009009009008,-111,Pinnacle,over,CLE,PHI,3
2010-10-19 15:07:13-04:00,185.5,2.01,101,Pinnacle,under,CLE,PHI,3
2010-10-20 15:41:29-04:00,190.0,1.9090909090909092,-110,5Dimes,over,BOS,BRK,3
2010-10-20 15:41:29-04:00,190.0,1.9090909090909092,-110,5Dimes,under,BOS,BRK,3
2010-10-20 16:01:10-04:00,190.0,1.8333333333333333,-120,Bet365,over,BOS,BRK,3
2010-10-20 16:01:10-04:00,190.0,1.8333333333333333,-120,Bet365,under,BOS,BRK,3
2010-10-20 15:52:27-04:00,190.0,1.9259259259259258,-108,Pinnacle,over,BOS,BRK,3
2010-10-20 15:52:27-04:00,190.0,1.9803921568627452,-102,Pinnacle,under,BOS,BRK,3
2010-10-21 15:58:41-04:00,189.5,1.9090909090909092,-110,5Dimes,over,ATL,MIA,3
2010-10-21 15:58:41-04:00,189.5,1.9090909090909092,-110,5Dimes,under,ATL,MIA,3
2010-10-21 14:20:28-04:00,189.5,1.8333333333333333,-120,Bet365,over,ATL,MIA,3
2010-10-21 14:20:28-04:00,189.5,1.8333333333333333,-120,Bet365,under,ATL,MIA,3
2010-10-21 16:03:13-04:00,189.5,1.99009900990099,-101,Pinnacle,over,ATL,MIA,3
2010-10-21 16:03:13-04:00,189.5,1.9174311926605505,-109,Pinnacle,under,ATL,MIA,3
2010-10-22 15:32:30-04:00,195.5,1.9090909090909092,-110,5Dimes,over,DET,MEM,3
2010-10-22 15:32:30-04:00,195.5,1.9090909090909092,-110,5Dimes,under,DET,MEM,3
2010-10-22 15:35:24-04:00,195.5,1.8333333333333333,-120,Bet365,over,DET,MEM,3
2010-10-22 15:35:24-04:00,195.5,1.8333333333333333,-120,Bet365,under,DET,MEM,3
2010-10-22 15:33:40-04:00,195.0,1.9090909090909092,-110,Pinnacle,over,DET,MEM,3
2010-10-22 15:33:40-04:00,195.0,2.0,100,Pinnacle,under,DET,MEM,3
2010-10-26 15:21:05-04:00,188.5,1.9523809523809523,-105,5Dimes,over,BOS,MIA,3
2010-10-26 15:21:05-04:00,188.5,1.9523809523809523,-105,5Dimes,under,BOS,MIA,3
2010-10-26 15:23:13-04:00,188.0,1.9090909090909092,-110,Bet365,over,BOS,MIA,3
2010-10-26 15:23:13-04:00,188.0,1.9090909090909092,-110,Bet365,under,BOS,MIA,3
2010-10-26 15:19:23-04:00,188.0,1.8695652173913044,-115,Bodog Sportsbook,over,BOS,MIA,3
2010-10-26 15:19:23-04:00,188.0,1.9523809523809523,-105,Bodog Sportsbook,under,BOS,MIA,3
2010-10-26 15:35:07-04:00,188.5,1.9090909090909092,-110,Pinnacle,over,BOS,MIA,3
2010-10-26 15:35:07-04:00,188.5,2.0,100,Pinnacle,under,BOS,MIA,3
2010-10-26 14:28:11-04:00,188.0,1.9090909090909092,-110,Sports Interaction,over,BOS,MIA,3
2010-10-26 14:28:11-04:00,188.0,1.9090909090909092,-110,Sports Interaction,under,BOS,MIA,3
2010-10-26 18:06:51-04:00,204.0,1.970873786407767,-103,5Dimes,over,POR,PHO,3
2010-10-26 18:06:51-04:00,204.0,1.9345794392523366,-107,5Dimes,under,POR,PHO,3
2010-10-26 16:20:00-04:00,203.5,1.9090909090909092,-110,Bet365,over,POR,PHO,3
2010-10-26 16:20:00-04:00,203.5,1.9090909090909092,-110,Bet365,under,POR,PHO,3
2010-10-26 17:57:39-04:00,204.0,1.9090909090909092,-110,Bodog Sportsbook,over,POR,PHO,3
2010-10-26 17:57:39-04:00,204.0,1.9090909090909092,-110,Bodog Sportsbook,under,POR,PHO,3
2010-10-26 18:12:23-04:00,203.5,1.8771929824561404,-114,Pinnacle,over,POR,PHO,3
2010-10-26 18:12:23-04:00,203.5,2.03,103,Pinnacle,under,POR,PHO,3
2010-10-26 17:58:22-04:00,204.0,1.9090909090909092,-110,Sports Interaction,over,POR,PHO,3
2010-10-26 17:58:22-04:00,204.0,1.9090909090909092,-110,Sports Interaction,under,POR,PHO,3
2010-10-26 18:52:21-04:00,195.5,1.9803921568627452,-102,5Dimes,over,LAL,HOU,3
2010-10-26 18:52:21-04:00,195.5,1.9259259259259258,-108,5Dimes,under,LAL,HOU,3
2010-10-26 18:04:00-04:00,195.5,1.9090909090909092,-110,Bet365,over,LAL,HOU,3
