season,age,team_abbr,lg,pos,g,gs,mp,fg,fga,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,bbref_endpoint,player_name
1998,21.0,BOS,NBA,PG,51.0,44.0,25.4,3.5,8.9,0.39,1.3,3.7,0.33899999999999997,2.2,5.2,0.426,0.46,2.9,3.5,0.8170000000000001,0.8,1.4,2.2,4.3,1.5,0.0,2.3,2.3,11.1,/players/b/billuch01.html,Chauncey Billups
1998,21.0,TOR,NBA,PG,29.0,26.0,31.7,3.6,10.2,0.349,1.5,4.7,0.316,2.1,5.5,0.377,0.42200000000000004,2.7,3.0,0.919,0.8,1.9,2.7,3.3,1.0,0.1,1.9,1.9,11.3,/players/b/billuch01.html,Chauncey Billups
1999,22.0,DEN,NBA,SG,45.0,41.0,33.1,4.2,11.0,0.386,1.9,5.2,0.36200000000000004,2.4,5.8,0.408,0.47200000000000003,3.5,3.8,0.9129999999999999,0.5,1.6,2.1,3.8,1.3,0.3,2.2,2.6,13.9,/players/b/billuch01.html,Chauncey Billups
1900,23.0,DEN,NBA,SG,13.0,5.0,23.5,2.6,7.8,0.337,0.5,3.2,0.171,2.1,4.6,0.45,0.371,2.8,3.4,0.841,0.6,2.0,2.6,3.0,0.8,0.2,1.8,2.1,8.6,/players/b/billuch01.html,Chauncey Billups
2001,24.0,MIN,NBA,SG,77.0,33.0,23.2,3.2,7.6,0.42200000000000004,0.9,2.5,0.376,2.3,5.1,0.445,0.485,1.9,2.2,0.8420000000000001,0.4,1.6,2.1,3.4,0.7,0.1,1.4,2.3,9.3,/players/b/billuch01.html,Chauncey Billups
2002,25.0,MIN,NBA,PG,82.0,54.0,28.7,4.2,10.0,0.423,1.5,3.8,0.39399999999999996,2.7,6.2,0.441,0.498,2.5,2.9,0.885,0.4,2.3,2.8,5.5,0.8,0.2,1.7,2.1,12.5,/players/b/billuch01.html,Chauncey Billups
2003,26.0,DET,NBA,PG,74.0,74.0,31.4,4.9,11.8,0.42100000000000004,2.0,5.1,0.392,2.9,6.6,0.44299999999999995,0.506,4.3,4.9,0.878,0.5,3.2,3.7,3.9,0.9,0.2,1.8,1.8,16.2,/players/b/billuch01.html,Chauncey Billups
2004,27.0,DET,NBA,PG,78.0,78.0,35.4,5.0,12.8,0.39399999999999996,1.7,4.3,0.38799999999999996,3.4,8.5,0.396,0.45899999999999996,5.2,5.9,0.878,0.4,3.1,3.5,5.7,1.1,0.1,2.4,2.3,16.9,/players/b/billuch01.html,Chauncey Billups
2005,28.0,DET,NBA,PG,80.0,80.0,35.8,5.1,11.4,0.442,2.1,4.8,0.426,3.0,6.6,0.45399999999999996,0.5329999999999999,4.3,4.8,0.898,0.6,2.8,3.4,5.8,1.0,0.1,2.3,2.4,16.5,/players/b/billuch01.html,Chauncey Billups
2006,29.0,DET,NBA,PG,81.0,81.0,36.1,5.2,12.5,0.418,2.3,5.2,0.433,3.0,7.2,0.40700000000000003,0.509,5.7,6.4,0.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0,18.5,/players/b/billuch01.html,Chauncey Billups
