season,age,team_abbr,lg,pos,g,gs,mp,fg,fga,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,bbref_endpoint,player_name
1900,22.0,LAL,NBA,SF,49.0,1.0,7.0,1.1,2.9,0.389,0.3,1.0,0.34,0.8,2.0,0.41200000000000003,0.444,0.6,0.8,0.659,0.6,0.9,1.5,0.2,0.2,0.1,0.4,1.1,3.2,/players/g/georgde01.html,Devean George
2001,23.0,LAL,NBA,SF,59.0,1.0,10.1,1.1,3.5,0.309,0.3,1.2,0.221,0.8,2.4,0.353,0.345,0.7,0.9,0.7090000000000001,0.6,1.3,1.9,0.3,0.3,0.3,0.6,1.5,3.1,/players/g/georgde01.html,Devean George
2002,24.0,LAL,NBA,SF,82.0,1.0,21.5,2.6,6.4,0.41100000000000003,0.8,2.2,0.371,1.8,4.2,0.43200000000000005,0.474,1.0,1.5,0.675,1.0,2.7,3.7,1.4,0.9,0.5,0.8,2.3,7.1,/players/g/georgde01.html,Devean George
2003,25.0,LAL,NBA,SF,71.0,7.0,22.7,2.5,6.5,0.39,0.7,1.9,0.371,1.8,4.6,0.39799999999999996,0.444,1.2,1.5,0.79,1.3,2.7,4.0,1.3,0.8,0.5,0.9,2.5,6.9,/players/g/georgde01.html,Devean George
2004,26.0,LAL,NBA,SF,82.0,48.0,23.8,2.8,7.0,0.408,0.8,2.3,0.349,2.0,4.7,0.436,0.465,0.9,1.2,0.76,1.1,3.0,4.0,1.4,1.0,0.5,1.1,2.3,7.4,/players/g/georgde01.html,Devean George
2005,27.0,LAL,NBA,SF,15.0,3.0,20.4,2.5,6.9,0.35600000000000004,1.4,3.9,0.36200000000000004,1.1,3.1,0.348,0.457,1.0,1.3,0.75,0.9,2.7,3.5,0.9,0.5,0.1,0.8,2.1,7.3,/players/g/georgde01.html,Devean George
2006,28.0,LAL,NBA,SF,71.0,5.0,21.7,2.4,6.0,0.4,0.7,2.3,0.313,1.7,3.7,0.45299999999999996,0.45899999999999996,0.8,1.2,0.674,1.2,2.7,3.9,1.0,0.9,0.5,0.8,2.2,6.3,/players/g/georgde01.html,Devean George
2007,29.0,DAL,NBA,SF,60.0,17.0,21.4,2.4,6.2,0.395,0.9,2.5,0.353,1.6,3.7,0.423,0.466,0.6,0.8,0.75,1.0,2.6,3.6,0.6,0.8,0.4,0.9,2.4,6.4,/players/g/georgde01.html,Devean George
2008,30.0,DAL,NBA,SF,53.0,4.0,15.5,1.4,3.9,0.35700000000000004,0.4,1.3,0.324,1.0,2.6,0.374,0.41100000000000003,0.5,0.6,0.706,0.5,2.1,2.6,0.7,0.4,0.2,0.5,1.7,3.7,/players/g/georgde01.html,Devean George
2009,31.0,DAL,NBA,SF,43.0,17.0,16.5,1.3,3.3,0.38,0.5,1.8,0.289,0.7,1.5,0.485,0.45799999999999996,0.4,0.5,0.773,0.6,1.2,1.8,0.3,0.5,0.3,0.4,1.3,3.4,/players/g/georgde01.html,Devean George
2010,32.0,GSW,NBA,SF,45.0,4.0,16.9,2.0,4.6,0.43200000000000005,1.1,2.7,0.39,0.9,1.8,0.494,0.5489999999999999,0.4,0.5,0.696,0.5,2.1,2.5,0.7,0.9,0.2,0.3,2.0,5.4,/players/g/georgde01.html,Devean George
