ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.467,15,2,1,6,1,.533,8.2,.636,8,.250,20061231,106,6,23,0,1.8,BOS,6,21.7,.857,23.2,7,2510.0,1.2,.567,5,9.1,1,.267,0.0,1,0,Tony Allen,109,0,4,22.2,0.1,-8
.467,15,0,1,5,0,.533,0.0,.581,8,0,20061231,118,10,21,5,2.1,BOS,5,10.0,.714,23.8,7,2128.0,0.0,.533,2,17.8,0,.000,15.0,1,6,Al Jefferson,111,0,0,21.8,-2.8,-9
.250,12,0,1,3,1,.417,0.0,.488,5,.000,20061231,92,2,13,0,0.0,BOS,2,13.1,1.000,29.2,3,1322.0,2.3,.417,2,5.7,0,.167,0.0,0,1,Wally Szczerbiak,109,0,2,14.1,-5.6,-14
.000,3,1,1,0,1,.000,6.8,.000,0,0,20061231,14,1,0,0,0.0,BOS,1,25.0,0,8.8,0,1148.0,2.6,.000,1,3.3,0,.000,0.0,0,0,Delonte West,109,0,0,8.1,-12.9,-23
.000,6,3,1,0,0,.167,28.8,.167,1,0,20061231,77,2,2,2,0.0,BOS,0,0.0,0,17.0,0,889.0,0.0,.167,0,8.5,0,.000,14.4,0,0,Ryan Gomes,116,0,0,0.0,-5.6,-17
.000,9,3,0,0,4,.667,19.0,.667,6,0,20061231,103,7,12,3,2.6,BOS,4,30.8,0,19.3,0,1694.0,7.1,.667,4,15.7,0,.000,11.3,1,3,Rajon Rondo,95,0,0,21.9,7.7,+13
.000,7,1,0,0,2,.143,6.0,.143,1,0,20061231,36,4,2,0,3.2,BOS,4,12.5,0,14.7,0,1375.0,4.4,.143,1,11.0,0,.000,0.0,1,3,Sebastian Telfair,100,0,0,27.0,-9.8,+11
.308,13,0,0,3,2,.462,0.0,.610,6,.333,20061231,125,2,18,2,3.3,BOS,0,6.3,.750,29.5,4,1349.0,4.4,.577,1,5.6,3,.692,9.5,1,1,Gerald Green,103,0,9,0.0,12.5,+14
.000,5,3,0,0,2,.000,20.9,.000,0,.000,20061231,27,1,0,0,4.0,BOS,1,16.7,0,13.6,0,1115.0,5.4,.000,1,3.4,0,.400,0.0,1,2,Brian Scalabrine,99,0,2,8.3,-6.0,+1
.000,3,0,0,0,1,.667,0.0,.667,2,0,20061231,147,4,4,1,0.0,BOS,3,0.0,0,8.7,0,871.0,3.4,.667,0,17.4,0,.000,7.3,0,3,Kendrick Perkins,105,0,0,32.0,-1.1,+2
