ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.250,12,7,1,3,1,.250,43.3,.413,3,.286,20070105,87,1,11,0,0.0,CHA,1,18.4,1.000,19.9,3,2210.0,1.5,.333,3,1.6,2,.583,0.0,0,1,Raymond Felton,120,0,7,4.8,-3.4,-14
.000,14,1,1,0,0,.286,7.9,.286,4,.000,20070105,69,4,8,3,0.0,CHA,1,6.7,0,21.1,0,1912.0,0.0,.286,1,7.4,0,.214,8.4,0,4,Adam Morrison,123,0,3,5.6,-11.5,-21
.364,11,0,1,3,0,.273,0.0,.353,3,0,20070105,89,12,9,7,3.7,CHA,5,7.3,.750,25.4,4,1458.0,0.0,.273,1,29.3,0,.000,25.6,1,4,Primož Brezec,116,0,0,36.6,-6.8,-12
.250,8,3,1,2,2,.375,34.5,.563,3,.286,20070105,135,2,10,1,0.0,CHA,1,0.0,1.000,17.7,2,1346.0,4.8,.500,0,5.3,2,.875,4.0,0,1,Derek Anderson,113,0,7,7.9,12.1,-4
.857,7,1,1,3,1,.143,9.4,.259,1,0,20070105,73,4,5,2,4.0,CHA,2,0.0,.500,19.3,6,1342.0,2.4,.143,0,10.6,0,.000,7.9,1,2,Emeka Okafor,114,0,0,15.9,-5.5,-7
.133,15,1,0,1,1,.467,10.0,.598,7,.571,20070105,116,2,19,1,2.8,CHA,1,5.9,.500,23.2,2,1960.0,1.6,.600,1,3.6,4,.467,2.7,1,2,Matt Carroll,118,0,7,5.4,8.6,-25
.250,8,0,0,1,0,.125,0.0,.169,1,0,20070105,36,8,3,1,0.0,CHA,7,18.4,.500,19.2,2,1523.0,0.0,.125,2,18.7,0,.000,3.5,0,4,Sean May,117,0,0,49.0,-19.2,-18
.500,4,1,0,2,0,.000,11.7,.205,0,0,20070105,48,0,2,0,0.0,CHA,0,17.0,1.000,16.1,2,983.0,0.0,.000,1,0.0,0,.000,0.0,0,1,Jeff McInnis,124,0,0,0.0,-16.3,-29
1.000,2,1,0,1,0,1.000,30.4,.868,2,0,20070105,119,1,5,0,0.0,CHA,1,25.8,.500,17.1,2,609.0,0.0,1.000,1,5.8,0,.000,0.0,0,2,Melvin Ely,120,0,0,17.5,1.4,-13
.000,2,0,0,0,0,.000,0.0,.000,0,0,20070105,14,2,0,1,0.0,CHA,1,33.3,0,14.9,0,541.0,0.0,.000,1,13.1,0,.000,9.9,0,2,Jake Voskuhl,120,0,0,19.7,-24.2,-4
.000,3,0,0,0,1,.333,0.0,.333,1,0,20070105,74,0,2,0,0.0,CHA,0,0.0,0,15.6,0,516.0,6.2,.333,0,0.0,0,.000,0.0,0,0,Walter Herrmann,111,0,0,0.0,-2.5,-13
0,0,0,0,0,0,0,0,0,0,0,20070105,0,0,0,0,0,CHA,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Othella Harrington,0,0,0,0,0,0
.900,10,0,1,5,3,.800,0.0,.788,8,1.000,20070105,116,12,22,1,9.0,ORL,11,22.3,.556,24.7,9,2070.0,4.7,.850,4,20.6,1,.100,5.2,4,2,Dwight Howard,64,0,1,28.3,11.3,+20
.800,10,5,1,5,0,.400,22.2,.518,4,.333,20070105,113,3,14,1,0.0,ORL,2,12.9,.625,22.6,8,1958.0,0.0,.450,2,5.4,1,.300,5.4,0,3,Hedo Türkoğlu,96,0,3,5.4,-2.2,+27
.667,3,1,1,1,2,.667,4.2,.644,2,0,20070105,141,10,5,0,2.4,ORL,10,0.0,.500,5.8,2,1903.0,3.4,.667,0,18.7,0,.000,0.0,1,3,Tony Battie,71,0,0,28.0,6.8,+22
.000,15,3,1,0,1,.533,19.8,.667,8,.667,20070105,124,1,20,1,0.0,ORL,0,11.8,0,28.3,0,1710.0,1.9,.667,2,2.1,4,.400,6.2,0,2,Jameer Nelson,95,0,6,0.0,6.9,+17
1.000,4,1,1,3,0,.250,6.9,.521,1,.333,20070105,104,2,6,0,0.0,ORL,2,14.8,.750,16.9,4,1139.0,0.0,.375,1,6.2,1,.750,0.0,0,2,Keith Bogans,93,0,3,9.4,-5.2,+7
.333,6,5,0,2,1,.667,21.9,.727,4,0,20070105,114,9,10,2,4.7,ORL,7,36.8,1.000,15.6,2,1985.0,1.6,.667,4,16.1,0,.000,10.7,2,2,Trevor Ariza,80,0,0,18.8,7.4,+25
.167,6,3,0,0,0,.667,35.4,.621,4,0,20070105,111,2,8,1,0.0,ORL,1,23.7,.000,26.1,1,921.0,0.0,.667,2,7.7,0,.000,11.6,0,3,Carlos Arroyo,95,0,0,5.8,-3.1,+7
.000,3,1,0,0,1,.667,11.4,1.000,2,1.000,20070105,139,3,6,0,0.0,ORL,3,25.0,0,14.3,0,794.0,4.1,1.000,1,13.4,2,.667,0.0,0,2,Pat Garrity,76,0,2,20.2,13.1,+22
.667,3,1,0,1,0,.333,11.9,.387,1,0,20070105,87,2,3,1,0.0,ORL,1,20.5,.500,20.0,2,696.0,0.0,.333,1,10.2,0,.000,15.3,0,1,Bo Outlaw,94,0,0,7.7,-7.8,+3
.400,5,0,0,2,0,.600,0.0,.680,3,0,20070105,143,0,8,0,0.0,ORL,0,0.0,1.000,24.6,2,680.0,0.0,.600,0,0.0,0,.000,0.0,0,4,J.J. Redick,98,0,0,0.0,-4.4,+8
.000,1,0,0,0,0,.000,0.0,.000,0,0,20070105,0,0,0,0,0.0,ORL,0,50.0,0,19.3,0,295.0,0.0,.000,1,0.0,0,.000,0.0,0,0,Darko Miličić,100,0,0,0.0,-23.6,-6
.000,2,2,0,0,0,1.000,100.0,1.000,2,0,20070105,113,1,4,0,0.0,ORL,1,50.0,0,45.7,0,249.0,0.0,1.000,2,14.3,0,.000,0.0,0,0,Travis Diener,85,0,0,21.4,9.0,+8
0,0,0,0,0,0,0,0,0,0,0,20070105,0,0,0,0,0,CHA,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Ryan Hollins,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070105,0,0,0,0,0,CHA,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Brevin Knight,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070105,0,0,0,0,0,CHA,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Gerald Wallace,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070105,0,0,0,0,0,ORL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,James Augustine,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070105,0,0,0,0,0,ORL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Keyon Dooling,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070105,0,0,0,0,0,ORL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Grant Hill,0,1,0,0,0,0
