ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.412,17,4,1,4,1,.471,19.3,.523,8,.200,20070203,100,1,21,0,0.0,GSW,1,16.6,.571,26.9,7,2297.0,1.4,.500,4,1.4,1,.294,0.0,0,2,Baron Davis,112,0,5,2.8,-0.3,-5
.400,10,2,1,4,0,.300,8.2,.468,3,.500,20070203,89,1,11,0,0.0,GSW,1,20.3,1.000,17.3,4,2194.0,0.0,.350,3,1.4,1,.200,0.0,0,2,Stephen Jackson,115,0,2,2.9,-7.1,-3
.071,14,2,1,1,1,.429,9.4,.450,6,.000,20070203,92,7,13,3,0.0,GSW,4,17.2,1.000,20.5,1,2179.0,1.4,.429,3,10.2,0,.143,8.6,0,1,Monta Ellis,109,0,2,11.7,-2.3,-6
.200,20,3,1,2,0,.350,15.3,.391,7,.200,20070203,86,8,17,5,2.3,GSW,3,15.5,.500,31.0,4,2133.0,0.0,.375,4,11.9,1,.250,14.7,1,4,Al Harrington,111,0,5,9.0,-4.3,-11
.167,12,0,1,1,2,.583,0.0,.582,7,0,20070203,129,18,15,8,4.6,GSW,10,7.2,.500,16.8,2,2120.0,3.0,.583,1,26.9,0,.000,23.6,2,3,Andris Biedriņš,96,0,0,30.2,7.4,-7
.286,7,1,0,2,0,.143,4.7,.254,1,.000,20070203,73,7,4,0,2.8,GSW,7,0.0,1.000,11.4,2,1767.0,0.0,.143,0,12.5,0,.571,0.0,1,3,Mickaël Piétrus,105,0,4,25.4,-5.9,-6
.000,4,1,0,0,1,.500,11.4,.625,2,.333,20070203,89,3,5,0,0.0,GSW,3,33.3,0,17.8,0,863.0,3.6,.625,2,11.0,1,.750,0.0,0,0,Kelenna Azubuike,101,0,3,22.2,3.2,-4
.000,1,0,0,0,1,1.000,0.0,1.000,1,0,20070203,200,1,2,0,0.0,GSW,1,0.0,0,5.8,0,443.0,7.1,1.000,0,7.1,0,.000,0.0,0,2,Matt Barnes,95,0,0,14.4,5.1,0
1.000,1,0,0,0,0,1.000,0.0,.694,1,0,20070203,128,3,2,0,12.1,GSW,3,0.0,.000,9.1,1,404.0,0.0,1.000,0,23.5,0,.000,0.0,1,1,Josh Powell,91,0,0,47.5,7.1,+2
0,0,0,0,0,0,0,0,0,0,0,20070203,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Adonal Foyle,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070203,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Šarūnas Jasikevičius,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070203,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Renaldo Major,0,0,0,0,0,0
.600,15,6,1,5,2,.533,22.3,.554,8,.000,20070203,117,16,21,2,4.8,CHA,14,9.5,.556,20.5,9,2794.0,2.2,.533,2,18.1,0,.133,4.6,3,2,Gerald Wallace,87,0,2,31.4,9.2,+10
.500,10,1,1,4,1,.600,4.1,.656,6,0,20070203,148,11,16,4,5.4,CHA,7,0.0,.800,13.6,5,2446.0,1.3,.600,0,14.2,0,.000,10.5,3,3,Emeka Okafor,95,0,0,17.9,5.6,+8
.158,19,4,1,2,3,.421,19.6,.541,8,.667,20070203,109,3,22,1,0.0,CHA,2,9.0,.667,26.8,3,2272.0,4.1,.526,2,4.2,4,.316,2.8,0,2,Raymond Felton,97,0,6,5.5,6.5,+13
.077,13,2,1,1,1,.462,10.1,.595,6,.429,20070203,131,4,16,1,2.1,CHA,3,0.0,1.000,17.8,1,2063.0,1.5,.577,0,6.1,3,.538,3.1,1,3,Matt Carroll,100,0,7,9.1,5.8,+5
.000,4,0,1,0,0,.500,0.0,.625,2,.333,20070203,68,0,5,0,0.0,CHA,0,33.3,0,47.0,0,348.0,0.0,.625,2,0.0,1,.750,0.0,0,1,Derek Anderson,108,0,3,0.0,-11.9,-2
.286,7,6,0,2,0,.143,26.9,.254,1,.000,20070203,94,4,4,3,0.0,CHA,1,11.3,1.000,13.0,2,1864.0,0.0,.143,1,6.8,0,.143,10.3,0,3,Jeff McInnis,106,0,1,3.4,-5.8,+5
.200,10,0,0,2,0,.300,0.0,.368,3,.000,20070203,56,2,8,0,0.0,CHA,2,26.9,1.000,22.9,2,1775.0,0.0,.300,4,3.6,0,.300,0.0,0,5,Adam Morrison,104,0,3,7.1,-18.5,+3
.000,2,0,0,0,0,1.000,0.0,1.000,2,0,20070203,118,2,4,1,0.0,CHA,1,33.3,0,17.7,0,462.0,0.0,1.000,1,13.7,0,.000,13.9,0,3,Jake Voskuhl,101,0,0,13.6,-4.6,-2
.667,3,1,0,2,0,.000,21.3,.258,0,.000,20070203,76,0,2,0,0.0,CHA,0,0.0,1.000,28.2,2,376.0,0.0,.000,0,0.0,0,.667,0.0,0,1,Walter Herrmann,108,0,2,0.0,-12.1,0
0,0,0,0,0,0,0,0,0,0,0,20070203,0,0,0,0,0,CHA,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Primož Brezec,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070203,0,0,0,0,0,CHA,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Melvin Ely,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070203,0,0,0,0,0,CHA,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Ryan Hollins,0,0,0,0,0,0
