ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.167,12,2,1,0,0,.417,6.0,.388,5,0,20070207,95,16,10,6,1.6,NOK,10,13.4,.000,13.8,2,2650.0,0.0,.417,2,18.6,0,.000,13.6,1,0,Tyson Chandler,107,0,0,24.0,-3.1,+10
.087,23,7,1,2,1,.261,24.5,.314,6,.500,20070207,87,4,15,1,0.0,NOK,3,7.7,1.000,26.7,2,2389.0,1.3,.283,2,5.2,1,.087,2.5,0,5,Chris Paul,110,0,2,8.0,-7.8,+5
.294,17,1,1,1,0,.471,4.2,.443,8,0,20070207,96,7,17,3,1.9,NOK,4,9.4,.200,23.6,5,2213.0,0.0,.471,2,9.8,0,.000,8.1,1,5,David West,111,0,0,11.5,-5.6,-5
.357,14,1,1,3,1,.714,4.8,.710,10,0,20070207,138,6,23,5,2.0,NOK,1,11.0,.600,21.0,5,2138.0,1.4,.714,2,8.7,0,.000,14.0,1,5,Desmond Mason,110,0,0,3.0,7.3,+3
.500,12,2,1,6,1,.417,8.1,.581,5,.250,20070207,123,7,17,1,0.0,NOK,6,12.0,1.000,20.0,6,2054.0,1.5,.458,2,10.5,1,.333,2.9,0,1,Devin Brown,107,0,4,18.6,2.3,+7
.000,11,1,0,0,1,.273,5.7,.409,3,.500,20070207,109,5,9,0,2.9,NOK,5,0.0,0,19.0,0,1428.0,2.1,.409,0,10.8,3,.545,0.0,1,1,Rasual Butler,102,0,6,22.3,3.0,+1
.250,8,2,0,2,0,.750,16.2,.845,6,1.000,20070207,164,4,15,3,0.0,NOK,1,10.1,1.000,19.2,2,1267.0,0.0,.813,1,9.7,1,.125,14.2,0,1,Bobby Jackson,114,0,1,5.0,13.6,+2
.167,6,2,0,1,1,.333,25.8,.388,2,.000,20070207,110,0,5,0,6.2,NOK,0,0.0,1.000,23.6,1,674.0,4.5,.333,0,0.0,0,.167,0.0,1,1,Jannero Pargo,102,0,1,0.0,7.8,-11
0,0,0,0,1,1,0,0.0,.568,0,0,20070207,122,2,1,0,0.0,NOK,2,0.0,.500,4.8,2,452.0,6.8,0,0,13.7,0,0,0.0,0,0,Cedric Simmons,93,0,0,28.1,5.2,-3
0,0,0,0,0,0,0,0.0,0,0,0,20070207,0,2,0,0,0.0,NOK,2,0,0,0.0,0,286.0,0.0,0,0,21.6,0,0,0.0,0,1,Hilton Armstrong,101,0,0,44.5,-6.6,0
.000,3,0,0,0,1,.333,0.0,.333,1,0,20070207,76,4,2,2,0.0,NOK,2,25.0,0,37.5,0,263.0,11.6,.333,1,47.0,0,.000,45.6,0,1,Linton Johnson,76,0,0,48.4,-3.1,-3
0,0,0,0,0,0,0,0.0,0,0,0,20070207,0,0,0,0,0.0,NOK,0,0,0,0.0,0,87.0,0.0,0,0,0.0,0,0,0.0,0,0,Marc Jackson,116,0,0,0.0,-7.3,+4
.238,21,9,1,3,2,.429,28.5,.474,9,.250,20070207,106,4,22,1,0.0,DEN,3,7.9,.600,22.2,5,2935.0,2.1,.452,2,4.2,1,.190,2.2,0,1,Allen Iverson,114,0,4,6.1,0.2,-3
.391,23,6,1,9,0,.391,24.3,.501,9,.000,20070207,114,9,27,0,2.8,DEN,9,3.6,1.000,29.7,9,2433.0,0.0,.391,1,11.4,0,.087,0.0,2,4,Carmelo Anthony,108,0,2,22.2,4.1,-9
.000,12,6,1,0,1,.500,23.0,.583,6,.286,20070207,102,5,14,3,1.5,DEN,2,25.0,0,17.8,0,2322.0,1.3,.583,4,6.6,2,.583,8.2,1,2,Steve Blake,115,0,7,5.2,0.4,-5
.600,5,0,1,3,2,.800,0.0,.870,4,0,20070207,156,9,11,3,1.5,DEN,6,13.7,1.000,8.4,3,2243.0,2.7,.800,1,12.4,0,.000,8.5,1,4,Eduardo Nájera,106,0,0,16.0,2.2,-10
.375,16,2,1,2,1,.500,9.2,.483,8,0,20070207,103,8,18,3,4.8,DEN,5,5.1,.333,23.6,6,2155.0,1.4,.500,1,11.5,0,.000,8.9,3,4,Nenê,108,0,0,13.9,0.7,+5
.500,4,2,0,1,1,.750,10.9,.717,3,0,20070207,130,4,7,2,2.2,DEN,2,17.0,.500,9.8,2,1549.0,2.0,.750,1,8.0,0,.000,8.2,1,2,Reggie Evans,111,0,0,7.7,2.5,0
.154,13,2,0,1,1,.231,14.6,.324,3,.250,20070207,73,3,9,0,0.0,DEN,3,6.7,.500,31.9,2,1208.0,2.5,.308,1,7.7,2,.615,0.0,0,2,J.R. Smith,108,0,8,14.9,-8.4,+4
.000,4,1,0,0,0,.500,7.9,.500,2,.000,20070207,83,4,4,2,0.0,DEN,2,33.3,0,14.7,0,1056.0,0.0,.500,2,11.7,0,.250,12.0,0,4,Linas Kleiza,114,0,1,11.4,-11.2,+8
0,0,0,0,0,0,0,0,0,0,0,20070207,0,0,0,0,0,DEN,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Marcus Camby,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070207,0,0,0,0,0,DEN,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Yakhouba Diawara,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070207,0,0,0,0,0,DEN,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,DerMarr Johnson,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070207,0,0,0,0,0,DEN,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jamal Sampson,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070207,0,0,0,0,0,NOK,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Brandon Bass,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070207,0,0,0,0,0,NOK,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Marcus Vinicius,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070207,0,0,0,0,0,DEN,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Kenyon Martin,0,1,0,0,0,0
