threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.174,9,12.3,20070209,LAL,2.7,4,22.4,1,.457,7.6,5,3,2.0,4,1,100,.174,2569.0,10.8,10,1,1,3.7,23.6,105,1.000,.435,.250,+9,.505,0,3,30.5,25,23,4,Kobe Bryant,1,8
.250,12,18.0,20070209,LAL,14.6,3,21.5,0,.583,-0.8,2,5,0.0,4,3,110,.333,2343.0,26.7,6,2,5,0.0,8.9,105,.750,.500,.667,-21,.618,0,0,22.6,17,12,3,Lamar Odom,1,7
.500,3,5.3,20070209,LAL,0.0,2,10.9,0,.571,-3.9,0,2,0.0,2,6,111,.143,1980.0,11.8,7,2,0,0.0,0.0,109,1.000,.500,.286,-3,.605,0,0,24.0,18,14,7,Smush Parker,1,3
.000,4,12.3,20070209,LAL,6.0,0,18.9,1,.333,-2.0,2,1,4.6,0,2,106,.000,1140.0,25.0,1,0,1,0.0,15.6,84,0,.333,0,-7,.333,0,0,9.9,2,3,0,Andrew Bynum,1,3
.500,2,9.4,20070209,LAL,0.0,0,19.3,0,.000,-21.8,0,2,0.0,0,1,101,.000,747.0,33.3,0,0,0,4.3,0.0,0,0,.000,.000,-10,.000,0,1,22.6,0,4,2,Vladimir Radmanović,1,2
.364,2,4.0,20070209,LAL,7.9,2,0.0,0,.773,12.0,1,0,0.0,2,2,114,.182,1740.0,0.0,7,3,2,0.0,7.1,170,1.000,.636,.750,+3,.800,0,0,19.2,19,11,4,Maurice Evans,0,0
.000,5,10.6,20070209,LAL,4.1,0,17.4,1,.500,-2.9,1,1,3.2,0,2,108,.000,1658.0,20.0,2,0,1,0.0,5.5,97,0,.500,0,+12,.500,0,0,8.5,4,4,0,Ronny Turiaf,0,4
.500,3,10.4,20070209,LAL,0.0,2,21.3,0,.625,8.2,0,0,0.0,2,0,104,.500,1012.0,0.0,2,1,0,3.2,0.0,154,1.000,.500,.500,+11,.717,0,1,13.6,7,4,2,Brian Cook,0,3
.500,1,5.7,20070209,LAL,0.0,0,11.8,0,.000,-8.3,1,1,0.0,0,0,101,.000,611.0,33.3,0,0,0,5.2,13.5,19,0,.000,.000,-9,.000,0,1,13.8,0,2,1,Jordan Farmar,0,1
1.000,1,5.9,20070209,LAL,0.0,0,12.0,0,.000,-20.2,0,0,0.0,0,3,98,.000,600.0,0.0,0,0,0,5.3,0.0,0,0,.000,.000,-5,.000,0,1,18.8,0,4,4,Sasha Vujačić,0,1
0,0,0,20070209,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aaron McKie,0,0
0,0,0,20070209,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shammond Williams,0,0
.000,11,15.4,20070209,TOR,8.6,5,21.8,2,.750,6.4,1,4,4.2,10,2,99,.625,2514.0,16.4,12,0,3,2.5,5.1,119,.500,.750,0,+2,.711,0,2,28.1,29,16,0,Chris Bosh,1,8
.556,10,15.6,20070209,TOR,3.2,2,27.5,0,.278,-3.6,1,1,0.0,4,2,96,.444,2245.0,8.5,2,1,1,4.3,3.8,73,.500,.222,.200,+11,.325,0,3,15.2,7,9,5,Jorge Garbajosa,1,9
.200,7,11.8,20070209,TOR,10.4,3,13.2,0,.750,9.6,0,0,0.0,5,2,100,.500,2084.0,0.0,7,1,3,4.6,0.0,153,.600,.700,.500,+10,.738,0,3,17.0,18,10,2,Anthony Parker,1,4
.100,3,6.3,20070209,TOR,0.0,0,12.2,0,.300,-8.1,7,3,0.0,0,3,102,.000,1684.0,23.1,3,0,0,3.8,38.8,74,0,.300,.000,-3,.300,0,2,22.4,6,10,1,T.J. Ford,1,3
.000,4,15.0,20070209,TOR,0.0,1,29.3,0,.000,-4.9,3,1,0.0,2,0,105,.667,936.0,20.5,0,0,0,0.0,25.6,56,.500,.000,0,+6,.129,0,0,15.1,1,3,0,Rasho Nesterović,1,4
1.000,1,2.0,20070209,TOR,0.0,1,3.9,0,.900,-1.0,0,1,0.0,2,3,113,.400,1740.0,14.5,3,3,0,0.0,0.0,131,.500,.600,.600,-3,.850,0,0,11.5,10,5,5,Morris Peterson,0,1
