blk,team_abbr,fg_pct,fga,drtg,stl,efg_pct,ast_pct,date,threep,blk_pct,threepar,tov_pct,drb_pct,fg,ft,stl_pct,tov,starter,pf,orb_pct,trb_pct,ft_pct,threep_pct,pts,usg_pct,ortg,threepa,orb,ast,drb,bpm,player_name,sp,ts_pct,pm,fta,inactive,trb,ftr
0,SEA,.211,19,99,1,.263,16.9,20070318,2,0.0,.474,0.0,0.0,4,2,1.3,0,1,2,0.0,0.0,1.000,.222,12,23.5,75,9,0,4,0,-8.4,Ray Allen,2566.0,.302,+16,2,0,0,.105
0,SEA,.500,16,94,0,.500,0.0,20070318,0,0.0,.000,4.4,21.6,8,10,0.0,1,1,2,3.0,12.7,.769,0,26,29.0,119,0,1,0,8,1.1,Chris Wilcox,2375.0,.599,+21,13,0,9,.813
2,SEA,.615,13,86,1,.731,23.8,20070318,3,4.1,.385,5.3,25.0,8,8,1.5,1,1,1,9.2,17.5,.727,.600,27,24.8,150,5,3,4,9,20.5,Rashard Lewis,2302.0,.757,+19,11,0,12,.846
2,SEA,.857,7,80,1,.857,25.0,20070318,0,5.6,.000,10.2,34.4,6,4,2.1,1,1,3,8.4,22.0,1.000,0,16,17.7,169,0,2,3,9,19.0,Nick Collison,1674.0,.913,-5,4,0,11,.571
0,SEA,.167,6,87,2,.250,36.8,20070318,1,0.0,.667,12.7,9.4,1,2,5.1,1,1,1,5.2,7.4,1.000,.250,5,17.6,97,4,1,5,2,3.4,Luke Ridnour,1356.0,.363,+2,2,0,3,.333
0,SEA,.200,5,102,0,.200,46.9,20070318,0,0.0,.400,28.6,0.0,1,0,0.0,2,0,4,4.2,2.0,0,.000,2,12.7,81,2,1,8,0,-9.4,Earl Watson,1676.0,.200,+16,0,0,1,.000
0,SEA,.500,4,96,0,.625,0.0,20070318,1,0.0,.500,20.0,15.2,2,0,0.0,1,0,1,5.6,10.6,0,.500,5,12.0,97,2,1,0,3,-4.0,Damien Wilkins,1260.0,.625,+16,0,0,4,.000
0,SEA,.500,2,88,1,.500,0.0,20070318,0,0.0,.000,33.3,18.3,1,0,3.3,1,0,3,0.0,9.6,0,0,2,8.7,58,0,0,0,3,-7.0,Johan Petro,1048.0,.500,+7,0,0,3,.000
0,SEA,.000,1,102,0,.000,0.0,20070318,0,0.0,.000,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,21.2,0,0,0,0,0,-25.3,Andre Brown,143.0,.000,-2,0,0,0,.000
0,SEA,0,0,0,0,0,0,20070318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Danny Fortson,0.0,0,0,0,0,0,0
