threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.267,3,3.9,20070326,MIL,2.5,3,5.3,0,.333,-2.6,7,0,0.0,4,0,121,.267,2694.0,0.0,5,0,1,1.2,28.1,101,.750,.333,.000,-19,.388,0,1,17.6,13,15,4,Earl Boykins,1,2
.611,5,7.3,20070326,MIL,0.0,3,15.1,1,.472,0.7,1,1,2.0,4,3,117,.222,2378.0,4.8,6,5,0,1.3,4.9,102,.750,.333,.455,-20,.506,0,1,24.6,20,18,11,Charlie Bell,1,5
.053,5,7.3,20070326,MIL,5.7,8,9.1,1,.474,-0.4,3,5,2.0,11,0,121,.579,2364.0,17.3,9,0,2,0.0,17.4,98,.727,.474,.000,-7,.545,0,0,34.4,26,19,1,Michael Redd,1,3
.000,11,16.8,20070326,MIL,5.9,0,28.5,2,.500,-5.6,2,3,4.2,1,4,114,.250,2271.0,40.3,2,0,2,0.0,8.6,72,.000,.500,0,-5,.450,0,0,9.3,4,4,0,Brian Skinner,1,9
.429,7,15.4,20070326,MIL,0.0,1,31.9,1,.357,0.0,0,0,3.0,2,3,101,.286,1581.0,0.0,2,1,0,6.0,0.0,82,.500,.286,.333,-21,.381,0,3,14.1,6,7,3,Ersan İlyasova,1,7
.000,4,10.7,20070326,MIL,15.5,2,5.5,0,.636,9.2,0,2,0.0,3,3,107,.273,1299.0,14.0,7,0,3,7.3,0.0,113,.667,.636,0,+2,.649,0,3,31.1,16,11,0,Ruben Patterson,0,1
.000,3,17.1,20070326,MIL,0.0,0,35.5,0,.000,-17.6,0,0,0.0,0,5,115,.000,609.0,0.0,0,0,0,0.0,0.0,0,0,.000,0,-14,.000,0,0,4.6,0,1,0,Jared Reiner,0,3
.000,1,5.8,20070326,MIL,11.1,0,0.0,0,.500,-0.2,1,0,0.0,0,0,125,.000,603.0,0.0,1,0,1,0.0,17.5,130,0,.500,0,-1,.500,0,0,9.4,2,2,0,David Noel,0,0
.000,0,0.0,20070326,MIL,0.0,0,0.0,0,.000,-19.1,1,1,0.0,0,0,125,.000,601.0,33.3,0,0,0,0.0,15.0,17,0,.000,0,-10,.000,0,0,14.1,0,2,0,Lynn Greer,0,0
0,0,0,20070326,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dan Gadzuric,0,0
0,0,0,20070326,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Damir Markota,0,0
0,0,0,20070326,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mo Williams,0,0
.727,4,5.6,20070326,HOU,0.0,0,10.8,0,.591,2.9,3,0,0.0,0,1,96,.000,2472.0,0.0,5,3,0,2.5,9.9,130,0,.455,.375,+26,.591,0,2,12.2,13,11,8,Rafer Alston,1,4
.333,4,6.3,20070326,HOU,3.3,2,9.1,1,.556,17.1,10,1,2.2,3,2,88,.167,2201.0,4.9,9,2,1,5.7,44.8,132,.667,.500,.333,+15,.569,0,4,25.3,22,18,6,Tracy McGrady,1,3
.000,8,12.7,20070326,HOU,3.3,4,21.5,1,.409,-7.9,3,5,2.2,7,3,96,.318,2181.0,16.6,9,0,1,0.0,13.6,82,.571,.409,0,+6,.439,0,0,37.8,22,22,0,Yao Ming,1,7
.667,5,9.9,20070326,HOU,4.1,2,15.2,1,.667,2.5,1,0,2.7,2,5,97,.333,1757.0,0.0,3,2,1,0.0,4.5,158,1.000,.500,.500,+10,.727,0,0,10.7,10,6,4,Shane Battier,1,4
.000,2,13.6,20070326,HOU,14.1,0,13.2,0,1.000,13.4,0,0,0.0,0,0,101,.000,509.0,0.0,3,0,1,0.0,0.0,205,0,1.000,0,+6,1.000,0,0,16.2,6,3,0,Chuck Hayes,1,1
.000,10,16.9,20070326,HOU,10.5,4,22.9,0,.333,-2.6,4,3,0.0,4,2,95,.333,2050.0,17.9,4,0,3,1.5,15.9,96,1.000,.333,0,+16,.436,0,1,22.4,12,12,0,Juwan Howard,0,7
.556,2,4.3,20070326,HOU,0.0,0,8.3,0,.722,1.0,2,2,0.0,0,2,102,.000,1619.0,18.2,5,3,0,0.0,11.1,116,0,.556,.600,+4,.722,0,0,18.6,13,9,5,Luther Head,0,2
.500,2,8.6,20070326,HOU,0.0,0,16.6,0,1.250,1.9,0,1,0.0,0,1,100,.000,809.0,33.3,2,1,0,0.0,0.0,128,0,1.000,1.000,+1,1.250,0,0,10.2,5,2,1,Kirk Snyder,0,2
.000,7,39.6,20070326,HOU,35.2,0,43.6,0,.000,-3.7,1,0,0.0,0,1,92,.000,614.0,0.0,0,0,3,0.0,11.4,103,0,.000,0,+13,.000,0,0,8.9,0,2,0,Jake Tsakalidis,0,4
1.000,0,0.0,20070326,HOU,0.0,0,0.0,0,1.500,29.5,0,0,0.0,0,0,105,.000,188.0,0.0,1,1,0,0.0,0.0,300,0,1.000,1.000,-2,1.500,0,0,14.6,3,1,1,John Lucas III,0,0
0,0,0,20070326,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steve Novak,0,0
0,0,0,20070326,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vassilis Spanoulis,0,0
0,0,0,20070326,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Andrew Bogut,0,0
0,0,0,20070326,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bobby Simmons,0,0
0,0,0,20070326,MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Charlie Villanueva,0,0
0,0,0,20070326,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Dikembe Mutombo,0,0
0,0,0,20070326,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bob Sura,0,0
0,0,0,20070326,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bonzi Wells,0,0
