ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.100,30,0,1,1,1,.367,0.0,.431,11,.308,20070404,95,10,27,2,1.7,SEA,8,0.0,.333,31.4,3,2874.0,1.2,.433,0,11.9,4,.433,4.3,1,3,Rashard Lewis,105,0,13,21.1,2.0,-5
.143,7,1,1,1,0,.714,4.0,.739,5,0,20070404,112,6,11,3,3.9,SEA,3,28.7,1.000,12.3,1,2444.0,0.0,.714,3,8.4,0,.000,7.7,2,5,Nick Collison,112,0,0,9.3,-2.3,-4
.000,12,2,1,0,1,.583,10.8,.667,7,.400,20070404,117,2,16,0,0.0,SEA,2,14.3,0,19.4,0,2079.0,1.6,.667,2,3.3,2,.417,0.0,0,2,Damien Wilkins,111,0,5,7.3,3.6,-5
.400,5,5,1,2,2,.000,34.1,.170,0,0,20070404,57,3,2,0,0.0,SEA,3,25.4,1.000,19.0,2,1194.0,5.7,.000,2,8.6,0,.000,0.0,0,1,Luke Ridnour,97,0,0,19.0,-4.3,-8
.000,8,0,1,0,0,.500,0.0,.500,4,0,20070404,109,3,8,1,0.0,SEA,2,0.0,0,23.5,0,981.0,0.0,.500,0,10.5,0,.000,6.4,0,1,Chris Wilcox,111,0,0,15.4,-0.9,0
.111,18,4,0,2,2,.333,16.2,.424,6,.250,20070404,82,4,16,1,1.9,SEA,3,17.5,1.000,26.4,2,2497.0,2.7,.389,4,5.5,2,.444,2.5,1,4,Earl Watson,107,0,8,9.1,-2.5,-3
.000,8,1,0,0,0,.375,5.2,.375,3,.000,20070404,96,4,6,2,0.0,SEA,2,0.0,0,12.7,0,1810.0,0.0,.375,0,7.6,0,.250,6.9,0,1,Mickaël Gelabale,115,0,2,8.4,-4.3,0
.000,5,0,0,0,0,.400,0.0,.400,2,0,20070404,70,5,4,2,0.0,SEA,3,28.6,0,13.3,0,1514.0,0.0,.400,2,11.3,0,.000,8.2,0,3,Johan Petro,111,0,0,15.0,-11.2,-10
.000,1,1,0,0,1,1.000,21.9,1.000,1,0,20070404,207,1,2,1,0.0,SEA,0,0.0,0,6.3,0,454.0,7.5,1.000,0,7.5,0,.000,13.7,0,0,Mike Wilks,101,0,0,0.0,17.7,-6
0,0,0,0,0,0,0,0.0,0,0,0,20070404,0,0,0,0,0.0,SEA,0,0,0,0.0,0,53.0,0.0,0,0,0.0,0,0,0.0,0,1,Mouhamed Sene,118,0,0,0.0,-28.9,-4
0,0,0,0,0,0,0,0,0,0,0,20070404,0,0,0,0,0,SEA,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Andre Brown,0,0,0,0,0,0
