ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.400,5,0,1,1,2,.800,0.0,.765,4,0,20070504,128,8,9,1,2.3,TOR,7,14.5,.500,7.7,2,2694.0,2.4,.800,1,12.2,0,.000,3.0,1,4,Morris Peterson,108,0,0,22.0,-1.4,+2
.318,22,9,1,6,1,.364,37.8,.459,8,.500,20070504,95,7,23,0,7.4,TOR,7,10.7,.857,33.1,7,2547.0,1.3,.386,3,11.3,1,.091,0.0,3,4,Chris Bosh,106,0,2,23.3,3.6,+4
.364,11,1,1,3,1,.545,4.1,.666,6,1.000,20070504,119,7,17,0,2.6,TOR,7,7.3,.750,17.0,4,2426.0,1.3,.636,1,11.9,2,.182,0.0,1,3,Andrea Bargnani,109,0,2,24.4,1.2,-5
.667,9,3,1,4,1,.444,11.5,.515,4,.000,20070504,95,1,12,0,0.0,TOR,1,14.7,.667,17.1,6,2400.0,1.3,.444,2,1.7,0,.111,0.0,0,5,Anthony Parker,115,0,1,3.5,-7.6,-10
.083,12,6,1,1,4,.500,32.1,.563,6,.500,20070504,114,2,14,0,0.0,TOR,2,7.4,1.000,20.4,1,1975.0,6.5,.542,1,4.2,1,.167,0.0,0,2,José Calderón,102,0,2,8.6,6.3,-2
.500,10,1,0,4,0,.700,23.2,.779,7,1.000,20070504,138,3,19,1,0.0,TOR,2,7.6,.800,43.8,5,905.0,0.0,.750,1,13.6,1,.100,8.8,0,0,T.J. Ford,116,0,1,18.7,19.2,+1
.000,1,0,0,0,0,.000,0.0,.000,0,0,20070504,69,2,0,1,0.0,TOR,1,0.0,0,4.2,0,720.0,0.0,.000,0,11.4,0,.000,11.1,0,2,Kris Humphries,116,0,0,11.8,-12.3,+3
.000,2,0,0,0,0,.000,0.0,.000,0,0,20070504,0,0,0,0,0.0,TOR,0,0.0,0,11.2,0,538.0,0.0,.000,0,0.0,0,.000,0.0,0,1,Joey Graham,119,0,0,0.0,-19.7,0
.000,2,0,0,0,1,.500,0.0,.750,1,.500,20070504,54,0,3,0,0.0,TOR,0,50.0,0,61.5,0,195.0,16.4,.750,2,0.0,1,1.000,0.0,0,0,Juan Dixon,81,0,2,0.0,2.7,+2
0,0,0,0,0,0,0,0,0,0,0,20070504,0,0,0,0,0,TOR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Luke Jackson,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070504,0,0,0,0,0,TOR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Darrick Martin,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070504,0,0,0,0,0,TOR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Rasho Nesterović,0,0,0,0,0,0
1.000,12,3,1,11,1,.500,12.9,.694,6,.500,20070504,115,5,24,1,1.7,NJN,4,22.4,.917,25.2,12,2630.0,1.2,.542,5,7.8,1,.167,3.2,1,2,Richard Jefferson,107,0,2,12.2,0.6,+3
.364,11,15,1,3,2,.545,67.8,.705,6,.500,20070504,136,8,18,2,0.0,NJN,6,23.9,.750,19.7,4,2530.0,2.5,.682,4,13.0,3,.545,6.7,0,2,Jason Kidd,106,0,6,19.0,12.0,+5
.421,19,2,1,7,0,.316,9.2,.466,6,.667,20070504,88,5,21,1,0.0,NJN,4,15.1,.875,31.5,8,2504.0,0.0,.368,4,8.2,2,.158,3.4,0,1,Vince Carter,112,0,3,12.8,-9.8,-6
3.000,1,0,1,1,2,1.000,0.0,.647,1,0,20070504,43,6,3,0,0.0,NJN,6,56.4,.333,7.2,3,2189.0,2.9,1.000,3,11.3,0,.000,0.0,0,3,Jason Collins,105,0,0,21.9,-4.1,0
.000,6,2,1,0,0,.833,14.6,.833,5,0,20070504,127,8,10,2,2.7,NJN,6,25.0,0,14.2,0,1680.0,0.0,.833,2,19.6,0,.000,10.1,1,5,Mikki Moore,107,0,0,28.6,1.4,+5
.250,8,2,0,2,1,.625,18.6,.845,5,.600,20070504,165,3,15,0,0.0,NJN,3,0.0,1.000,18.6,2,1420.0,2.3,.813,0,8.7,3,.625,0.0,0,3,Boštjan Nachbar,106,0,5,16.9,12.9,+11
.000,4,0,0,0,0,.500,0.0,.625,2,1.000,20070504,115,4,5,0,0.0,NJN,4,0.0,0,14.6,0,818.0,0.0,.625,0,20.1,1,.250,0.0,0,2,Antoine Wright,109,0,1,39.1,-1.4,-5
.000,2,0,0,0,0,.500,0.0,.500,1,0,20070504,78,1,2,1,0.0,NJN,0,33.3,0,22.4,0,398.0,0.0,.500,1,10.3,0,.000,21.3,0,1,Josh Boone,112,0,0,0.0,-15.3,-5
.000,2,0,0,0,0,.000,0.0,.000,0,.000,20070504,0,0,0,0,0.0,NJN,0,0.0,0,25.8,0,231.0,0.0,.000,0,0.0,0,1.000,0.0,0,0,Marcus Williams,113,0,2,0.0,-31.3,-3
0,0,0,0,0,0,0,0,0,0,0,20070504,0,0,0,0,0,NJN,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Hassan Adams,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070504,0,0,0,0,0,NJN,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Bernard Robinson,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070504,0,0,0,0,0,NJN,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Clifford Robinson,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070504,0,0,0,0,0,TOR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jorge Garbajosa,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070504,0,0,0,0,0,TOR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Uroš Slokar,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070504,0,0,0,0,0,TOR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Pape Sow,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20070504,0,0,0,0,0,NJN,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Eddie House,0,1,0,0,0,0
