threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.563,6,9.3,20071124,MIA,0.0,6,18.7,0,.531,5.9,7,2,0.0,6,4,124,.375,2504.0,9.7,7,3,0,2.4,27.8,123,1.000,.438,.333,-20,.617,0,2,23.0,23,16,9,Ricky Davis,1,6
.048,6,9.7,20071124,MIA,6.5,8,12.9,1,.571,6.4,6,4,2.3,11,2,126,.524,2413.0,13.4,12,0,2,1.3,31.6,116,.727,.571,.000,-16,.619,0,1,34.6,32,21,1,Dwyane Wade,1,4
.000,5,9.7,20071124,MIA,11.6,2,7.7,0,.429,-4.1,2,2,0.0,2,2,128,.286,2016.0,20.2,3,0,3,1.5,8.7,102,1.000,.429,0,-23,.508,0,1,13.7,8,7,0,Udonis Haslem,1,2
.000,6,12.7,20071124,MIA,4.2,4,21.1,0,.533,-5.4,1,3,0.0,6,4,129,.400,1843.0,14.5,8,0,1,0.0,6.4,99,.667,.533,0,-5,.567,0,0,31.3,20,15,0,Shaquille O'Neal,1,5
.600,3,6.7,20071124,MIA,0.0,0,13.4,0,.300,-9.6,3,0,0.0,0,3,130,.000,1746.0,0.0,1,1,0,0.0,14.0,87,0,.200,.333,-14,.300,0,0,8.0,3,5,3,Jason Williams,1,3
.571,3,7.0,20071124,MIA,0.0,0,14.0,0,.500,-5.7,2,0,0.0,0,5,130,.000,1667.0,0.0,3,1,0,0.0,10.9,110,0,.429,.250,-7,.500,0,0,11.7,7,7,4,Smush Parker,0,3
.000,5,24.4,20071124,MIA,9.7,0,39.0,1,.500,-10.1,0,1,6.8,0,4,121,.000,799.0,33.3,1,0,1,0.0,0.0,80,0,.500,0,-8,.500,0,0,10.5,2,2,0,Alonzo Mourning,0,4
0,2,13.6,20071124,MIA,0.0,0,27.2,0,0,-8.7,0,1,0.0,0,2,117,0,572.0,100.0,0,0,0,5.3,0.0,0,0,0,0,0,0,0,1,4.9,0,0,0,Anfernee Hardaway,0,2
.250,0,0.0,20071124,MIA,0.0,0,0.0,0,.500,-7.9,0,0,0.0,0,1,132,.000,535.0,0.0,2,0,0,0.0,0.0,98,0,.500,.000,-2,.500,0,0,20.9,4,4,1,Mark Blount,0,0
.000,0,0.0,20071124,MIA,0.0,0,0.0,0,.000,-30.8,0,0,0.0,0,1,131,.000,151.0,0.0,0,0,0,0.0,0.0,0,0,.000,0,-4,.000,0,0,18.5,0,1,0,Alexander Johnson,0,0
1.000,1,25.8,20071124,MIA,0.0,0,51.5,0,.000,-21.9,0,0,0.0,0,0,126,.000,151.0,0.0,0,0,0,0.0,0.0,0,0,.000,.000,-4,.000,0,0,18.5,0,1,1,Chris Quinn,0,1
0,0,0.0,20071124,MIA,0.0,0,0.0,0,0,-7.5,0,0,0.0,0,0,132,0,3.0,0,0,0,0,0.0,0.0,0,0,0,0,-2,0,0,0,0.0,0,0,0,Dorell Wright,0,0
.000,13,21.9,20071124,ORL,10.1,5,33.6,1,.857,5.8,2,2,2.1,10,2,99,1.429,2315.0,14.9,6,0,3,2.6,7.2,136,.500,.857,0,+18,.746,0,2,16.2,17,7,0,Dwight Howard,1,10
.333,4,6.8,20071124,ORL,3.4,5,10.1,0,.389,-6.2,4,4,0.0,5,2,105,.278,2304.0,16.5,7,0,1,2.7,15.0,91,1.000,.389,.000,+20,.470,0,2,29.3,19,18,6,Rashard Lewis,1,3
.438,2,3.5,20071124,ORL,3.5,4,3.5,0,.719,7.6,3,0,0.0,6,3,112,.375,2237.0,0.0,9,5,1,0.0,12.7,149,.667,.563,.714,+10,.724,0,0,23.3,27,16,7,Hedo Türkoğlu,1,1
.125,7,14.7,20071124,ORL,0.0,2,29.4,0,.625,-1.5,7,3,0.0,4,5,104,.500,1856.0,23.5,5,0,0,1.6,31.7,111,.500,.625,.000,+26,.615,0,1,19.2,12,8,1,Jameer Nelson,1,7
.750,5,12.0,20071124,ORL,4.8,1,19.2,0,1.000,12.4,4,0,0.0,2,1,105,.500,1619.0,0.0,3,2,1,1.9,19.4,190,.500,.750,.667,+16,.922,0,1,8.4,9,4,3,Keith Bogans,1,4
.143,1,2.9,20071124,ORL,0.0,8,5.9,0,.643,6.5,0,1,0.0,8,1,106,1.143,1321.0,8.7,4,1,0,2.3,0.0,151,1.000,.571,1.000,+7,.808,0,1,24.3,17,7,1,Keyon Dooling,0,1
.000,1,4.0,20071124,ORL,0.0,3,8.1,0,.667,3.0,2,1,0.0,4,1,104,1.333,964.0,17.4,2,0,0,3.2,16.6,132,.750,.667,0,-7,.735,0,1,16.7,7,3,0,Carlos Arroyo,0,1
.286,0,0.0,20071124,ORL,0.0,0,0.0,0,.429,-13.3,0,0,0.0,0,1,112,.000,691.0,0.0,3,0,0,0.0,0.0,85,0,.429,.000,+4,.429,0,0,28.3,6,7,2,Maurice Evans,0,0
.000,1,6.9,20071124,ORL,13.8,0,0.0,0,1.000,-0.3,1,0,0.0,0,4,112,.000,565.0,0.0,1,0,1,0.0,13.8,208,0,1.000,0,+3,1.000,0,0,4.9,2,1,0,Adonal Foyle,0,0
.500,3,22.1,20071124,ORL,0.0,0,44.1,0,.500,-0.8,1,0,0.0,0,1,105,.000,529.0,0.0,2,0,0,0.0,17.5,110,0,.500,.000,+8,.500,0,0,21.1,4,4,2,Brian Cook,0,3
0,0,0,20071124,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Augustine,0,0
