ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.385,13,12,1,4,1,.385,50.1,.461,5,.000,20080308,116,6,14,0,2.7,CHA,6,11.6,.800,19.5,5,2525.0,1.3,.385,2,8.3,0,.308,0.0,1,3,Raymond Felton,109,0,4,15.9,-0.3,+7
.200,20,3,1,3,4,.650,19.1,.781,13,.556,20080308,136,8,34,2,2.7,CHA,6,12.1,.750,28.3,4,2506.0,5.2,.775,3,11.2,5,.450,5.9,1,4,Jason Richardson,101,0,9,16.0,16.7,+3
.462,13,1,1,5,1,.462,5.0,.735,6,.667,20080308,123,4,23,1,0.0,CHA,3,16.1,.833,23.4,6,2285.0,1.4,.692,3,6.1,6,.692,3.2,0,5,Matt Carroll,113,0,9,8.8,2.7,+6
1.143,7,1,1,5,0,.286,4.5,.428,2,0,20080308,82,9,9,2,3.2,CHA,7,22.2,.625,18.5,8,2097.0,0.0,.286,3,15.1,0,.000,7.0,1,2,Emeka Okafor,110,0,0,22.4,-9.4,-2
.000,6,0,1,0,0,.500,0.0,.500,3,0,20080308,98,5,6,2,9.1,CHA,3,14.3,0,13.7,0,1466.0,0.0,.500,1,12.0,0,.000,10.1,2,3,Nazr Mohammed,109,0,0,13.7,-6.6,+6
.667,3,2,0,0,1,.000,10.9,.000,0,0,20080308,51,6,0,2,0.0,CHA,4,20.5,.000,8.7,2,1601.0,2.0,.000,1,13.2,0,.000,9.2,0,5,Jared Dudley,109,0,0,16.7,-10.9,-2
1.143,7,2,0,6,0,.286,21.4,.475,2,.000,20080308,115,0,10,0,0.0,CHA,0,0.0,.750,30.5,8,989.0,0.0,.286,0,0.0,0,.143,0.0,0,0,Earl Boykins,119,0,1,0.0,-4.6,-6
0,0,0,0,0,0,0,0.0,0,0,0,20080308,0,4,0,0,0.0,CHA,4,100.0,0,5.4,0,527.0,0.0,0,1,26.7,0,0,0.0,0,2,Othella Harrington,103,0,0,50.8,-12.0,+8
.000,3,0,0,0,0,.667,0.0,.667,2,0,20080308,140,2,4,1,0.0,CHA,1,0.0,0,21.3,0,404.0,0.0,.667,0,17.4,0,.000,18.3,0,1,Jermareo Davidson,113,0,0,16.6,0.6,-5
0,0,0,0,0,0,0,0,0,0,0,20080308,0,0,0,0,0,CHA,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Derek Anderson,0,0,0,0,0,0
