blk,team_abbr,fg_pct,fga,drtg,stl,efg_pct,ast_pct,date,threep,blk_pct,threepar,tov_pct,drb_pct,fg,ft,stl_pct,tov,starter,pf,orb_pct,trb_pct,ft_pct,threep_pct,pts,usg_pct,ortg,threepa,orb,ast,drb,bpm,player_name,sp,ts_pct,pm,fta,inactive,trb,ftr
2,MIA,.419,31,111,4,.419,43.9,20081116,0,4.0,.097,10.9,9.9,13,3,5.3,4,1,2,0.0,4.1,.750,.000,29,39.4,94,3,0,8,3,7.0,Dwyane Wade,2430.0,.443,-8,4,0,3,.129
1,MIA,.625,8,114,1,.625,4.2,20081116,0,2.2,.000,20.0,24.9,5,0,1.4,2,1,4,7.5,14.7,0,0,10,11.6,109,0,3,1,7,-3.3,Udonis Haslem,2252.0,.625,-8,0,0,10,.000
4,MIA,.600,5,123,0,.700,4.1,20081116,1,9.2,.400,15.5,3.8,3,1,0.0,1,1,3,8.0,6.3,1.000,.500,8,7.9,138,2,3,1,1,0.4,Shawn Marion,2115.0,.735,-5,1,0,4,.200
0,MIA,.286,14,124,0,.286,12.6,20081116,0,0.0,.071,19.8,10.4,4,5,0.0,4,1,3,14.6,12.9,1.000,.000,13,34.1,83,1,4,2,2,-12.6,Michael Beasley,1543.0,.401,-5,5,0,6,.357
0,MIA,.400,5,123,1,.500,18.5,20081116,1,0.0,.400,16.7,0.0,2,0,2.2,1,1,6,0.0,0.0,0,.500,5,11.0,102,2,0,3,0,-9.2,Mario Chalmers,1421.0,.500,-3,0,0,0,.000
0,MIA,.385,13,123,0,.538,15.8,20081116,4,0.0,.692,0.0,12.8,5,2,0.0,0,0,3,3.0,7.1,1.000,.444,16,19.3,133,9,1,3,3,3.6,Daequan Cook,1868.0,.576,-8,2,0,4,.154
0,MIA,.400,10,126,0,.500,20.3,20081116,2,0.0,.400,0.0,5.5,4,1,0.0,0,0,1,0.0,2.3,1.000,.500,11,18.6,123,4,0,3,1,-0.2,Chris Quinn,1459.0,.527,-8,1,0,1,.100
2,MIA,.500,2,118,0,.500,0.0,20081116,0,14.2,.000,0.0,11.6,1,0,0.0,0,0,1,24.6,19.2,0,0,2,7.6,144,0,3,0,1,0.9,Joel Anthony,689.0,.500,-4,0,0,4,.000
1,MIA,.000,3,117,0,.000,0.0,20081116,0,10.8,1.000,0.0,17.8,0,2,0.0,0,0,0,12.5,14.7,1.000,.000,2,22.5,78,3,1,0,1,-5.2,Yakhouba Diawara,450.0,.258,-3,2,0,2,.667
0,MIA,.000,1,109,0,.000,0.0,20081116,0,0.0,.000,0.0,46.0,0,0,0.0,0,0,1,0.0,19.0,0,0,0,15.0,0,0,0,0,1,-25.7,Mark Blount,174.0,.000,-3,0,0,1,.000
0,MIA,0,0,0,0,0,0,20081116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcus Banks,0.0,0,0,0,0,0,0
0,MIA,0,0,0,0,0,0,20081116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shaun Livingston,0.0,0,0,0,0,0,0
2,TOR,.467,15,110,0,.467,4.1,20081116,0,3.4,.000,15.6,11.3,7,13,0.0,4,1,2,6.4,9.3,.867,0,27,27.4,121,0,2,1,5,-2.4,Chris Bosh,2490.0,.625,+7,15,0,7,1.000
2,TOR,.286,14,98,0,.286,4.7,20081116,0,4.2,.000,16.4,36.1,4,3,0.0,3,1,4,19.7,29.3,1.000,0,11,24.1,88,0,5,1,13,-11.5,Jermaine O'Neal,2031.0,.359,+9,3,0,18,.214
0,TOR,.556,9,112,1,.667,54.0,20081116,2,0.0,.556,27.1,5.6,5,3,1.6,4,1,3,7.9,6.5,.750,.400,15,19.4,126,5,2,11,2,4.2,Will Solomon,2029.0,.697,+3,4,0,4,.444
1,TOR,.600,5,107,2,.800,4.7,20081116,2,2.2,.800,25.4,5.8,3,2,3.3,2,1,3,4.1,5.1,1.000,.500,10,10.8,124,4,1,1,2,2.1,Anthony Parker,1947.0,.850,+6,2,0,3,.400
0,TOR,.500,12,110,1,.500,17.4,20081116,0,0.0,.167,14.3,9.1,6,0,1.7,2,1,4,4.3,7.1,0,.000,12,20.1,102,2,1,3,3,-5.7,Andrea Bargnani,1860.0,.500,0,0,0,4,.000
2,TOR,.500,4,95,1,.500,32.3,20081116,0,7.4,.250,0.0,24.5,2,4,2.8,0,0,0,0.0,14.4,.800,.000,8,14.4,164,1,0,4,5,16.6,Jamario Moon,1151.0,.645,+9,5,0,5,1.250
0,TOR,.500,8,99,3,.625,31.6,20081116,2,0.0,.500,11.1,0.0,4,0,8.9,1,0,1,0.0,0.0,0,.500,10,22.3,126,4,0,3,0,13.0,Jason Kapono,1079.0,.625,+2,0,0,0,.000
0,TOR,.833,6,104,0,.833,42.9,20081116,0,0.0,.000,0.0,29.4,5,4,0.0,0,0,0,33.3,31.0,.800,0,14,22.8,189,0,4,3,5,24.6,Kris Humphries,960.0,.854,+9,5,0,9,.833
0,TOR,.000,3,115,0,.000,37.5,20081116,0,0.0,.333,25.0,6.6,0,0,0.0,1,0,1,9.4,7.8,0,.000,0,12.5,70,1,1,4,1,-12.3,Roko Ukić,853.0,.000,+10,0,0,2,.000
0,TOR,0,0,0,0,0,0,20081116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hassan Adams,0.0,0,0,0,0,0,0
0,TOR,0,0,0,0,0,0,20081116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,José Calderón,0.0,0,0,0,0,0,0
0,TOR,0,0,0,0,0,0,20081116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joey Graham,0.0,0,0,0,0,0,0
0,MIA,0,0,0,0,0,0,20081116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Jones,0.0,0,0,0,1,0,0
0,MIA,0,0,0,0,0,0,20081116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jamaal Magloire,0.0,0,0,0,1,0,0
0,MIA,0,0,0,0,0,0,20081116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dorell Wright,0.0,0,0,0,1,0,0
0,TOR,0,0,0,0,0,0,20081116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nathan Jawai,0.0,0,0,0,1,0,0
