ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.786,14,7,1,9,1,.500,31.0,.663,7,.667,20090102,110,3,25,0,1.6,GSW,3,24.2,.818,29.0,11,2240.0,1.3,.571,6,4.3,2,.214,0.0,1,3,Stephen Jackson,119,0,3,8.4,1.5,-14
.500,12,1,1,2,0,.667,5.4,.615,8,0,20090102,135,13,18,5,3.7,GSW,8,0.0,.333,19.1,6,2009.0,0.0,.667,0,20.9,0,.000,16.7,2,4,Andris Biedriņš,114,0,0,24.9,2.2,-12
.333,12,3,1,4,1,.250,13.3,.400,3,.167,20090102,91,3,11,0,0.0,GSW,3,6.8,1.000,20.0,4,1934.0,1.5,.292,1,5.0,1,.500,0.0,0,2,Jamal Crawford,119,0,6,9.7,-7.6,-16
.500,8,6,1,3,3,.375,30.0,.512,3,.500,20090102,97,2,10,0,0.0,GSW,2,23.5,.750,19.2,4,1743.0,5.0,.438,3,3.7,1,.250,0.0,0,2,Marco Belinelli,113,0,2,7.2,0.6,+3
.143,7,1,1,1,0,.571,11.6,.605,4,.000,20090102,114,3,9,1,3.9,GSW,2,11.8,1.000,23.1,1,957.0,0.0,.571,1,10.1,0,.286,7.0,1,4,Rob Kurz,118,0,2,13.1,-2.6,-6
.500,8,2,0,4,3,.375,9.2,.564,3,.333,20090102,121,6,11,2,0.0,GSW,4,9.3,1.000,15.0,4,1880.0,4.6,.438,1,10.3,1,.375,7.1,0,3,C.J. Watson,111,0,3,13.3,1.6,+3
.000,6,1,0,0,0,.667,7.3,.667,4,0,20090102,96,4,8,0,8.3,GSW,4,25.0,0,15.7,0,1336.0,0.0,.667,2,9.7,0,.000,0.0,3,3,Ronny Turiaf,113,0,0,18.7,-1.3,+8
.000,11,0,0,0,0,.545,0.0,.636,6,.500,20090102,118,4,14,2,0.0,GSW,2,8.3,0,24.0,0,1312.0,0.0,.636,1,9.9,2,.364,10.2,0,3,Anthony Morrow,122,0,4,9.5,-1.3,+4
2.000,2,0,0,2,0,.000,0.0,.266,0,0,20090102,62,1,2,0,0.0,GSW,1,0.0,.500,10.0,4,989.0,0.0,.000,0,3.3,0,.000,0.0,0,2,Kelenna Azubuike,123,0,0,6.3,-13.4,-5
0,0,0,0,0,0,0,0,0,0,0,20090102,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,DeMarcus Nelson,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20090102,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Anthony Randolph,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20090102,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Marcus Williams,0,0,0,0,0,0
.455,22,2,1,10,1,.500,8.6,.606,11,0,20090102,137,10,32,3,2.0,MIN,7,3.6,1.000,27.1,10,2401.0,1.2,.500,1,13.5,0,.000,7.8,1,2,Al Jefferson,109,0,0,19.5,7.3,+14
.125,16,1,1,1,1,.563,5.3,.622,9,.667,20090102,122,10,21,4,0.0,MIN,6,10.6,.500,23.0,2,1952.0,1.5,.625,2,16.6,2,.188,12.8,0,4,Ryan Gomes,109,0,3,20.6,3.8,+3
.417,12,7,1,4,4,.500,34.9,.599,6,.500,20090102,120,3,17,2,2.6,MIN,1,17.4,.800,22.3,5,1832.0,6.4,.542,3,5.3,1,.167,6.8,1,2,Randy Foye,101,0,2,3.7,12.9,+12
0,0,5,1,2,0,0,34.7,1.136,0,0,20090102,106,2,2,0,0.0,MIN,2,69.4,1.000,6.8,2,1012.0,0.0,0,2,6.4,0,0,0.0,0,3,Kevin Ollie,114,0,0,13.2,-3.9,+3
.333,6,1,1,1,1,.167,15.3,.218,1,0,20090102,79,2,3,2,0.0,MIN,0,0.0,.500,30.9,2,530.0,5.5,.167,0,12.2,0,.000,23.6,0,2,Craig Smith,105,0,0,0.0,-10.0,+4
.889,9,1,0,7,0,.667,6.3,.759,6,0,20090102,142,8,19,3,0.0,MIN,5,13.8,.875,22.6,8,1530.0,0.0,.667,2,16.9,0,.000,12.3,0,3,Kevin Love,112,0,0,21.9,5.1,+8
.000,11,4,0,0,1,.182,20.4,.182,2,.000,20090102,60,3,4,0,0.0,MIN,3,8.3,0,18.8,0,1518.0,1.9,.182,1,6.4,0,.091,0.0,0,2,Sebastian Telfair,110,0,1,13.2,-12.8,+5
2.667,3,1,0,5,1,.333,5.2,.537,1,.000,20090102,132,5,7,1,0.0,MIN,4,0.0,.625,11.0,8,1410.0,2.1,.333,0,11.5,0,.667,4.4,0,2,Mike Miller,108,0,2,19.0,-0.8,+4
