threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.231,9,13.9,20090223,PHI,3.1,6,24.7,0,.577,3.4,5,2,0.0,8,3,112,.615,2523.0,10.8,7,1,1,1.3,21.1,128,.750,.538,.333,+3,.636,0,1,20.7,21,13,3,Andre Iguodala,1,8
.091,5,9.1,20090223,PHI,7.3,4,10.9,0,.455,1.1,1,1,0.0,4,3,108,.364,2141.0,7.3,5,0,2,4.6,4.8,119,1.000,.455,.000,-1,.549,0,3,18.1,14,11,1,Thaddeus Young,1,3
.000,5,9.7,20090223,PHI,7.8,7,11.7,0,.417,5.9,10,2,0.0,12,4,111,1.000,2003.0,10.4,5,0,2,3.2,51.7,116,.583,.417,0,+5,.492,0,2,27.1,17,12,0,Andre Miller,1,3
.000,10,21.0,20090223,PHI,16.8,3,25.2,3,.417,1.3,0,0,9.7,6,2,100,.500,1852.0,0.0,5,0,4,3.5,0.0,109,.500,.417,0,+4,.444,0,2,22.3,13,12,0,Samuel Dalembert,1,6
.444,3,7.6,20090223,PHI,5.1,0,10.2,0,.778,10.9,2,1,0.0,0,2,109,.000,1532.0,10.0,6,2,1,4.2,15.9,142,0,.667,.500,+14,.778,0,2,18.4,14,9,4,Willie Green,1,2
.167,1,3.2,20090223,PHI,0.0,2,6.4,0,.667,-7.5,3,3,0.0,5,3,119,.833,1217.0,26.8,4,0,0,0.0,27.8,94,.400,.667,.000,-9,.610,0,0,25.9,10,6,1,Lou Williams,0,1
.000,1,3.7,20090223,PHI,0.0,1,7.3,2,.400,-5.7,0,0,11.3,2,2,111,.400,1063.0,0.0,2,0,0,0.0,0.0,95,.500,.400,0,+1,.425,0,0,15.6,5,5,0,Marreese Speights,0,1
0,4,14.7,20090223,PHI,7.3,0,22.0,0,0,-17.0,0,3,0.0,0,4,116,0,1061.0,100.0,0,0,1,0.0,0.0,19,0,0,0,-13,0,0,0,8.0,0,0,0,Reggie Evans,0,3
.500,3,11.6,20090223,PHI,7.7,0,15.4,0,.250,-16.6,0,2,0.0,0,1,117,.000,1008.0,33.3,1,0,1,0.0,0.0,45,0,.250,.000,-14,.250,0,0,16.8,2,4,2,Royal Ivey,0,2
0,0,0,20090223,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Donyell Marshall,0,0
0,0,0,20090223,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Theo Ratliff,0,0
0,0,0,20090223,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kareem Rush,0,0
.409,2,3.1,20090223,NJN,3.1,12,3.1,1,.614,14.7,8,4,1.9,14,3,110,.636,2502.0,12.4,11,5,1,2.6,43.2,132,.857,.500,.556,+10,.692,0,2,37.3,39,22,9,Devin Harris,1,1
.091,5,9.0,20090223,NJN,3.6,0,14.4,0,.455,-12.0,3,5,0.0,0,4,110,.000,2167.0,31.3,5,0,1,1.5,14.6,72,0,.455,.000,-11,.455,0,1,21.5,10,11,1,Vince Carter,1,4
.286,6,12.8,20090223,NJN,4.3,0,21.4,1,.500,-3.3,2,3,2.6,0,5,102,.000,1818.0,30.0,3,1,1,3.6,10.8,80,0,.429,.500,-6,.500,0,2,16.0,7,7,2,Yi Jianlian,1,5
.000,5,11.4,20090223,NJN,9.1,1,13.6,2,.500,-2.9,2,1,5.5,2,4,110,.333,1712.0,12.7,3,0,2,0.0,11.6,110,.500,.500,0,-3,.509,0,0,13.4,7,6,0,Brook Lopez,1,3
.000,1,2.9,20090223,NJN,0.0,0,5.8,0,.250,-11.4,0,0,0.0,0,2,116,.000,1334.0,0.0,1,0,0,0.0,0.0,54,0,.250,0,-16,.250,0,0,8.7,2,4,0,Trenton Hassell,1,1
.545,3,6.4,20090223,NJN,4.3,0,8.5,0,.727,7.2,3,1,0.0,0,5,107,.000,1825.0,8.3,6,4,1,3.6,19.3,136,0,.545,.667,+9,.727,0,2,19.1,16,11,6,Keyon Dooling,0,2
0,2,6.7,20090223,NJN,6.7,3,6.7,3,0,-0.3,1,1,12.2,4,5,107,0,1157.0,36.2,0,0,1,0.0,7.3,135,.750,0,0,+6,.852,0,0,6.9,3,0,0,Sean Williams,0,1
.600,5,17.9,20090223,NJN,7.2,0,28.7,0,.500,-1.7,2,1,0.0,1,0,110,.200,1086.0,15.5,2,1,1,0.0,18.5,97,.000,.400,.333,+14,.460,0,0,17.2,5,5,3,Bobby Simmons,0,4
.571,4,19.5,20090223,NJN,0.0,2,38.9,0,.500,5.3,1,0,0.0,2,3,97,.286,800.0,0.0,3,1,0,4.1,15.5,123,1.000,.429,.250,+7,.571,0,1,28.6,9,7,4,Ryan Anderson,0,4
0,0,0,20090223,NJN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maurice Ager,0,0
0,0,0,20090223,NJN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Boone,0,0
0,0,0,20090223,NJN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Douglas-Roberts,0,0
