trb_pct,blk_pct,threep_pct,fg_pct,ast_pct,team_abbr,ts_pct,orb_pct,sp,orb,threepar,efg_pct,stl,pm,blk,fga,drb_pct,tov_pct,fta,player_name,usg_pct,pts,date,bpm,drtg,ft_pct,ftr,drb,ast,pf,stl_pct,ortg,fg,ft,trb,inactive,threep,threepa,tov,starter
1.8,0.0,.000,.375,55.7,NOH,.584,0.0,1779.0,0,.125,.375,1,-18,0,8,4.5,0.0,11,Chris Paul,19.4,15,20091108,6.5,119,.818,1.375,1,9,4,1.8,146,3,9,1,0,0,1,0,1
7.4,0.0,0,.364,0.0,NOH,.431,3.1,1779.0,1,.000,.364,1,-18,0,11,13.5,13.6,4,David West,22.3,11,20091108,-8.8,117,.750,.364,3,0,1,1.8,81,4,3,4,0,0,0,2,1
28.4,3.3,0,.417,0.0,NOH,.402,17.1,1615.0,5,.000,.417,0,-16,1,12,44.6,19.4,1,Emeka Okafor,25.7,10,20091108,-9.8,112,.000,.083,9,0,2,0.0,76,5,0,14,0,0,0,3,1
2.6,0.0,1.000,.571,10.3,NOH,.714,0.0,1274.0,0,.286,.714,0,-15,0,7,6.3,12.5,0,Devin Brown,16.9,10,20091108,-2.0,123,0,.000,1,1,4,0.0,115,4,0,1,0,2,2,1,1
0.0,0.0,0,.333,9.3,NOH,.333,0.0,1088.0,0,.000,.333,1,-14,0,3,0.0,50.0,0,Julian Wright,14.8,2,20091108,-14.1,118,0,.000,0,1,1,2.9,38,1,0,0,0,0,0,3,1
13.5,0.0,.400,.429,7.9,NOH,.635,7.6,1456.0,2,.714,.571,2,-5,0,7,22.0,11.3,2,James Posey,16.4,10,20091108,4.7,110,1.000,.286,4,1,3,4.4,122,3,2,6,0,2,5,1,0
7.1,3.8,.167,.250,7.7,NOH,.355,4.0,1392.0,1,.750,.313,0,0,1,8,11.5,0.0,1,Peja Stojaković,16.3,6,20091108,-5.0,119,1.000,.125,2,1,1,0.0,89,2,1,3,0,1,6,0,0
15.5,0.0,0,.000,22.0,NOH,.000,13.1,1265.0,3,.000,.000,1,0,0,2,19.0,0.0,0,Hilton Armstrong,4.3,0,20091108,-2.1,114,0,.000,3,3,3,2.5,105,0,0,6,0,0,0,0,0
14.9,0.0,0,.300,33.9,NOH,.300,10.1,1101.0,2,.000,.300,1,+2,0,10,21.8,16.7,0,Darius Songaila,29.3,6,20091108,-7.5,113,0,.000,3,3,2,2.9,70,3,0,5,0,0,0,2,0
3.8,0.0,.000,.222,13.7,NOH,.222,0.0,863.0,0,.444,.222,0,-8,0,9,9.3,0.0,0,Bobby Brown,28.0,4,20091108,-19.2,122,0,.000,1,1,2,0.0,56,2,0,1,0,0,4,0,0
8.3,0.0,.667,.500,100.0,NOH,.615,0.0,394.0,1,.250,.500,0,+6,0,4,20.3,0.0,2,Darren Collison,33.3,8,20091108,33.8,101,1.000,.500,0,0,0,8.1,149,2,2,1,0,2,3,0,0
8.3,0.0,.000,.500,0.0,NOH,.820,14.1,394.0,0,.750,.750,1,+6,0,4,0.0,0.0,2,Marcus Thornton,33.3,6,20091108,30.9,125,1.000,.500,1,3,0,0.0,166,2,2,1,0,0,1,0,0
3.2,0.0,.000,.524,6.4,LAL,.592,0.0,2022.0,0,.095,.524,1,+20,0,21,5.5,17.5,6,Kobe Bryant,40.4,28,20091108,-5.7,103,1.000,.286,2,1,3,1.6,97,11,6,2,0,0,2,5,1
