threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.000,11,12.1,20091226,LAL,5.1,6,17.2,6,.643,6.9,3,3,8.5,10,2,96,.714,3081.0,14.0,9,0,2,0.0,10.3,123,.600,.643,0,+11,.652,0,0,19.0,24,14,0,Pau Gasol,1,9
.267,7,7.7,20091226,LAL,2.6,2,11.6,0,.600,9.7,4,5,0.0,2,4,94,.067,3059.0,13.9,16,4,1,4.3,18.4,116,1.000,.533,.500,+9,.615,0,4,32.1,38,30,8,Kobe Bryant,1,6
.133,15,16.9,20091226,LAL,15.8,0,17.7,2,.433,-5.9,2,6,2.9,0,5,96,.000,3007.0,28.6,6,1,6,1.1,6.4,80,0,.400,.500,+12,.433,0,1,19.1,13,15,2,Lamar Odom,1,9
.364,4,5.6,20091226,LAL,6.6,4,4.9,0,.318,-1.8,3,2,0.0,4,2,101,.364,2397.0,13.6,3,1,2,2.7,11.3,100,1.000,.273,.250,+3,.431,0,2,16.9,11,11,4,Derek Fisher,1,2
.000,9,13.8,20091226,LAL,10.8,1,16.0,2,.111,-7.1,4,2,3.9,2,5,95,.222,2206.0,16.8,1,0,3,1.5,15.2,61,.500,.111,0,-5,.152,0,1,14.8,3,9,0,Andrew Bynum,1,6
.167,7,14.1,20091226,LAL,4.7,2,21.1,0,.542,3.5,1,0,0.0,3,1,99,.250,1681.0,0.0,6,1,1,0.0,6.8,130,.667,.500,.500,+9,.563,0,0,21.7,15,12,2,Shannon Brown,0,6
1.000,1,3.5,20091226,LAL,0.0,2,6.2,0,.750,8.3,1,0,0.0,2,1,99,1.000,956.0,0.0,1,1,0,3.4,9.2,196,1.000,.500,.500,+5,.868,0,1,8.3,5,2,2,Sasha Vujačić,0,1
.250,1,5.7,20091226,LAL,0.0,0,9.9,0,.250,-6.1,1,0,0.0,0,2,92,.000,596.0,0.0,1,0,0,5.5,15.7,75,0,.250,.000,0,.250,0,1,18.4,2,4,1,Jordan Farmar,0,1
.000,0,0.0,20091226,LAL,0.0,1,0.0,1,.000,6.9,1,0,18.9,2,1,97,2.000,230.0,0.0,0,0,0,0.0,35.2,88,.500,.000,0,0,.266,0,0,22.4,1,1,0,Adam Morrison,0,0
0,0,0.0,20091226,LAL,0.0,0,0.0,0,0,-5.0,0,0,0.0,0,0,109,0,188.0,0,0,0,0,0.0,0.0,0,0,0,0,+1,0,0,0,0.0,0,0,0,Josh Powell,0,0
0,0,0,20091226,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D.J. Mbenga,0,0
0,0,0,20091226,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metta World Peace,0,0
.368,4,4.8,20091226,SAC,2.1,0,8.5,0,.605,5.5,6,2,0.0,0,3,111,.000,2790.0,9.5,10,3,1,1.2,25.3,123,0,.526,.429,-2,.605,0,1,20.2,23,19,7,Beno Udrih,1,3
.174,5,6.1,20091226,SAC,4.3,0,8.6,1,.391,-9.5,2,5,1.6,0,5,112,.000,2774.0,17.9,9,0,2,0.0,8.2,74,0,.391,.000,-11,.391,0,0,27.1,18,23,4,Tyreke Evans,1,3
.000,6,8.3,20091226,SAC,7.3,2,9.8,0,.333,-6.9,0,1,0.0,3,6,107,.250,2432.0,7.0,4,0,3,2.7,0.0,87,.667,.333,0,-8,.375,0,2,15.8,10,12,0,Jason Thompson,1,3
.333,5,8.1,20091226,SAC,5.6,2,11.3,2,.583,12.0,1,2,4.2,2,2,96,.167,2095.0,13.4,6,2,2,6.2,5.2,117,1.000,.500,.500,+9,.621,0,4,19.0,16,12,4,Donté Greene,1,3
.143,7,12.6,20091226,SAC,15.7,0,8.4,0,.286,7.5,7,0,0.0,0,3,102,.000,1875.0,0.0,4,0,5,5.2,37.6,98,0,.286,.000,-3,.286,0,3,20.0,8,14,2,Spencer Hawes,1,2
.429,10,17.8,20091226,SAC,6.2,4,33.3,0,.393,0.9,1,1,0.0,6,3,101,.429,1901.0,5.7,5,1,2,1.7,5.6,101,.667,.357,.167,-4,.451,0,1,24.9,15,14,6,Omri Casspi,0,8
.250,2,4.9,20091226,SAC,0.0,3,11.4,0,.500,-6.0,1,3,0.0,5,2,112,.625,1382.0,22.7,4,0,0,0.0,7.9,87,.600,.500,.000,-14,.539,0,0,25.6,11,8,2,Ime Udoka,0,2
.000,9,23.6,20091226,SAC,18.3,1,30.8,0,.000,-4.3,0,0,0.0,2,4,99,2.000,1286.0,0.0,0,0,4,2.5,0.0,120,.500,.000,0,-2,.266,0,1,3.9,1,1,0,Jon Brockman,0,5
.000,0,0.0,20091226,SAC,0.0,0,0.0,0,.000,-23.4,2,2,0.0,0,0,116,.000,487.0,50.0,0,0,0,0.0,34.0,23,0,.000,0,-6,.000,0,0,22.0,0,2,0,Sergio Rodríguez,0,0
0,0,0.0,20091226,SAC,0.0,1,0.0,0,0,2.4,1,0,0.0,2,0,116,0,379.0,0.0,0,0,0,0.0,21.9,141,.500,0,0,-4,.568,0,0,6.2,1,0,0,Andrés Nocioni,0,0
0,0,0,20091226,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sean May,0,0
0,0,0,20091226,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kenny Thomas,0,0
0,0,0,20091226,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Luke Walton,0,0
0,0,0,20091226,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Francisco García,0,0
0,0,0,20091226,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Kevin Martin,0,0
