threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.091,0,0.0,20100103,PHI,0.0,7,0.0,0,.455,-0.3,7,2,0.0,7,1,117,.636,2047.0,12.4,5,0,0,0.0,29.9,123,1.000,.455,.000,-7,.604,0,0,21.6,17,11,1,Allen Iverson,1,0
.333,7,12.5,20100103,PHI,3.4,4,22.8,0,.222,-10.8,3,3,0.0,8,0,109,.889,2044.0,19.3,2,0,1,1.5,11.4,68,.500,.222,.000,-6,.319,0,1,20.9,8,9,3,Andre Iguodala,1,6
.500,3,6.0,20100103,PHI,3.8,3,8.6,0,.450,-4.8,3,1,0.0,3,2,115,.300,1809.0,8.1,4,1,1,0.0,14.2,112,1.000,.400,.200,-15,.530,0,0,18.7,12,10,5,Lou Williams,1,2
.111,5,13.7,20100103,PHI,10.3,4,17.6,0,.444,-1.0,0,1,0.0,5,2,103,.556,1330.0,8.2,4,0,2,4.5,0.0,109,.800,.444,.000,+4,.536,0,2,25.2,12,9,1,Thaddeus Young,1,3
.000,5,15.6,20100103,PHI,5.9,0,26.7,2,1.000,0.4,0,2,7.6,0,6,93,.000,1168.0,40.0,3,0,1,5.1,0.0,104,0,1.000,0,-7,1.000,0,2,11.8,6,3,0,Samuel Dalembert,1,4
.000,7,12.3,20100103,PHI,0.0,2,26.2,3,.636,4.6,2,0,6.4,2,3,106,.182,2082.0,0.0,7,0,0,0.0,9.1,139,1.000,.636,0,+2,.673,0,0,15.7,16,11,0,Elton Brand,0,7
.182,1,3.0,20100103,PHI,0.0,1,6.3,0,.364,-8.1,6,1,0.0,2,4,114,.182,1235.0,7.8,4,0,0,0.0,45.6,92,.500,.364,.000,+13,.379,0,0,28.7,9,11,2,Willie Green,0,1
.800,1,4.2,20100103,PHI,0.0,0,8.9,1,1.100,16.8,0,1,5.1,0,2,104,.000,872.0,16.7,4,3,0,3.4,0.0,144,0,.800,.750,+7,1.100,0,1,18.9,11,5,4,Rodney Carney,0,1
.000,1,5.4,20100103,PHI,10.2,2,0.0,0,.750,11.8,1,0,0.0,2,2,106,.500,671.0,0.0,3,0,1,4.5,15.8,174,1.000,.750,0,-3,.820,0,1,20.0,8,4,0,Marreese Speights,0,0
.333,3,16.4,20100103,PHI,20.6,0,11.7,1,.333,1.6,3,1,6.7,0,1,109,.000,665.0,25.0,1,0,2,0.0,36.4,101,0,.333,.000,+17,.333,0,0,16.5,2,3,1,Jrue Holiday,0,1
.500,2,15.3,20100103,PHI,14.4,0,16.3,0,.875,12.2,0,0,0.0,0,1,112,.000,477.0,0.0,3,1,1,0.0,0.0,166,0,.750,.500,+10,.875,0,0,23.1,7,4,2,Jason Smith,0,1
0,0,0,20100103,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jason Kapono,0,0
.083,9,13.3,20100103,DEN,0.0,3,25.0,2,.583,1.1,3,3,3.8,9,3,104,.750,2467.0,15.8,7,0,0,3.6,10.4,94,.333,.583,.000,+2,.533,0,3,20.0,17,12,1,Kenyon Martin,1,9
.000,15,24.5,20100103,DEN,14.0,6,33.8,0,.600,7.6,4,1,0.0,9,2,111,.600,2230.0,5.0,9,0,4,1.3,17.0,136,.667,.600,0,+4,.633,0,1,23.3,24,15,0,Nenê,1,11
.154,3,5.9,20100103,DEN,4.2,6,7.4,0,.654,11.9,9,0,0.0,7,3,119,.538,1853.0,0.0,8,1,1,0.0,47.3,163,.857,.615,.500,+3,.715,0,0,22.6,23,13,2,Ty Lawson,1,2
.000,5,9.9,20100103,DEN,4.2,0,14.9,0,.667,-6.0,1,1,0.0,2,2,117,.667,1840.0,20.5,2,0,1,0.0,4.0,90,.000,.667,0,-7,.515,0,0,6.9,4,3,0,Joey Graham,1,4
.333,6,13.4,20100103,DEN,14.3,2,12.6,0,.625,2.7,3,2,0.0,2,5,118,.167,1635.0,13.4,6,3,3,0.0,16.8,126,1.000,.500,.750,+12,.660,0,0,23.7,17,12,4,Arron Afflalo,1,3
.333,2,3.5,20100103,DEN,0.0,0,6.5,0,.333,-16.0,3,6,0.0,0,5,113,.000,2110.0,33.3,4,0,0,2.8,11.2,54,0,.333,.000,-7,.333,0,2,22.2,8,12,4,J.R. Smith,0,2
.429,3,9.1,20100103,DEN,6.5,0,11.4,0,.429,-3.1,4,3,0.0,0,1,107,.000,1202.0,30.0,3,0,1,5.0,27.5,82,0,.429,.000,-10,.429,0,2,21.6,6,7,3,Anthony Carter,0,2
.000,1,6.8,20100103,DEN,14.6,0,0.0,0,.333,-23.1,0,3,0.0,0,2,108,.000,534.0,50.0,1,0,1,5.6,0.0,42,0,.333,0,-11,.333,0,1,29.2,2,3,0,Malik Allen,0,0
.000,0,0.0,20100103,DEN,0.0,0,0.0,0,1.000,1.5,0,0,0.0,0,1,120,.000,529.0,0.0,2,0,0,0.0,0.0,200,0,1.000,0,-1,1.000,0,0,9.8,4,2,0,Chris Andersen,0,0
0,0,0,20100103,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Renaldo Balkman,0,0
0,0,0,20100103,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chauncey Billups,0,0
0,0,0,20100103,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Johan Petro,0,0
0,0,0,20100103,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Primož Brezec,0,0
0,0,0,20100103,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Royal Ivey,0,0
0,0,0,20100103,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Carmelo Anthony,0,0
