ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.176,17,2,1,2,1,.471,7.7,.600,8,.500,20100410,124,6,22,1,0.0,GSW,5,0.0,.667,17.8,3,2646.0,1.1,.588,0,6.9,4,.471,2.0,0,3,Reggie Williams,107,0,8,13.6,1.5,-6
.211,19,4,1,4,3,.526,18.4,.698,10,.500,20100410,123,9,29,0,0.0,GSW,9,12.6,1.000,24.7,4,2473.0,3.4,.658,3,11.2,5,.526,0.0,0,5,Stephen Curry,100,0,10,26.2,7.4,0
.625,16,5,1,7,0,.188,18.2,.319,3,0,20100410,80,5,13,3,0.0,GSW,2,8.9,.700,24.3,10,2370.0,0.0,.188,2,6.5,0,.000,6.8,0,3,Corey Maggette,111,0,0,6.1,-10.2,+1
.000,1,5,1,0,2,1.000,24.0,1.000,1,0,20100410,133,4,2,3,0.0,GSW,1,66.7,0,4.5,0,1699.0,3.3,1.000,2,7.2,0,.000,9.4,0,3,Ronny Turiaf,104,0,0,4.2,0.9,+2
.000,14,1,1,0,0,.357,7.6,.357,5,.000,20100410,68,10,10,1,0.0,GSW,9,12.5,0,29.0,0,1418.0,0.0,.357,2,21.6,0,.214,3.8,0,5,Anthony Tolliver,103,0,3,45.7,-14.1,-10
.000,14,1,0,0,1,.500,6.4,.643,7,.667,20100410,106,2,18,0,0.0,GSW,2,12.5,0,23.3,0,1759.0,1.6,.643,2,3.5,4,.429,0.0,0,1,Anthony Morrow,108,0,6,8.2,2.1,+2
.222,9,1,0,1,2,.222,6.9,.304,2,.200,20100410,68,3,6,0,3.6,GSW,3,0.0,.500,19.7,2,1284.0,4.4,.278,0,7.2,1,.556,0.0,1,1,Devean George,97,0,5,16.8,-3.0,-4
1.000,2,0,0,2,0,.500,0.0,.694,1,0,20100410,146,0,4,0,0.0,GSW,0,0.0,1.000,9.8,2,752.0,0.0,.500,0,0.0,0,.000,0.0,0,1,Chris Hunter,112,0,0,0.0,-4.8,0
0,0,0,0,0,0,0,0,0,0,0,20100410,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Monta Ellis,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20100410,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Vladimir Radmanović,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20100410,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Anthony Randolph,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20100410,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,C.J. Watson,0,0,0,0,0,0
.000,11,9,1,0,1,.545,26.1,.636,6,.333,20100410,108,6,14,0,0.0,LAC,6,26.7,0,13.9,0,2774.0,1.0,.636,4,6.6,2,.545,0.0,0,3,Steve Blake,106,0,6,11.5,-3.0,-1
.500,6,1,1,0,0,.833,3.1,.683,5,0,20100410,100,15,10,3,1.9,LAC,12,29.1,.000,10.3,3,2583.0,0.0,.833,3,17.8,0,.000,8.4,1,3,DeAndre Jordan,103,0,0,24.8,-2.9,0
.111,18,4,1,2,0,.333,13.6,.397,6,.200,20100410,87,8,15,1,2.0,LAC,7,9.6,1.000,22.2,2,2426.0,0.0,.361,2,10.1,1,.278,3.0,1,3,Rasual Butler,105,0,5,15.4,-6.4,+12
.353,17,2,1,5,0,.647,10.1,.687,11,0,20100410,113,10,27,3,2.3,LAC,7,20.3,.833,30.0,6,2112.0,0.0,.647,5,14.5,0,.000,10.2,1,5,Chris Kaman,104,0,0,17.7,0.1,+3
.545,11,5,1,5,2,.727,41.5,.770,8,.000,20100410,166,5,21,1,10.5,LAC,4,0.0,.833,25.5,6,1375.0,4.1,.727,0,11.1,0,.091,5.2,3,1,Baron Davis,88,0,1,15.5,28.3,+12
.571,7,1,0,2,1,.286,6.7,.342,2,0,20100410,86,4,6,1,0.0,LAC,3,0.0,.500,19.4,4,1164.0,2.4,.286,0,10.5,0,.000,6.2,0,2,Mardy Collins,102,0,0,13.7,-6.9,-3
.000,7,0,0,0,1,.286,0.0,.429,2,.400,20100410,90,4,6,0,0.0,LAC,4,0.0,0,17.0,0,1058.0,2.7,.429,0,11.6,2,.714,0.0,0,1,Steve Novak,100,0,5,20.2,-2.3,+7
1.000,6,1,0,4,1,.333,8.9,.463,2,.000,20100410,75,3,8,0,0.0,LAC,3,25.8,.667,33.0,6,908.0,3.1,.333,3,10.1,0,.500,0.0,0,2,Bobby Brown,99,0,3,17.6,-12.3,-15
0,0,0,0,0,0,0,0,0,0,0,20100410,0,0,0,0,0,LAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Drew Gooden,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20100410,0,0,0,0,0,LAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Travis Outlaw,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20100410,0,0,0,0,0,LAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Brian Skinner,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20100410,0,0,0,0,0,LAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Craig Smith,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20100410,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Kelenna Azubuike,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20100410,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Brandan Wright,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20100410,0,0,0,0,0,LAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Eric Gordon,0,1,0,0,0,0
