threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.071,8,11.1,20101102,POR,8.4,1,13.7,5,.464,4.9,2,2,9.6,3,4,80,.214,2628.0,11.5,6,1,3,5.2,7.0,95,.333,.429,1.000,+15,.457,0,4,19.8,14,14,1,LaMarcus Aldridge,1,5
.294,0,0.0,20101102,POR,0.0,2,0.0,1,.441,2.5,2,3,2.2,2,3,85,.118,2255.0,14.4,7,1,0,7.5,8.8,88,1.000,.412,.200,+8,.475,0,5,27.8,17,17,5,Brandon Roy,1,0
.100,0,0.0,20101102,POR,0.0,2,0.0,0,.500,-3.7,5,2,0.0,2,3,102,.200,1654.0,15.5,5,0,0,0.0,29.7,109,1.000,.500,.000,+8,.551,0,0,23.4,12,10,1,Andre Miller,1,0
.000,13,39.3,20101102,POR,18.4,0,59.8,1,.333,-1.9,0,0,4.2,0,3,77,.000,1205.0,0.0,1,0,3,0.0,0.0,114,0,.333,0,+1,.333,0,0,7.5,2,3,0,Marcus Camby,1,10
.600,3,13.3,20101102,POR,0.0,0,26.2,0,.200,-21.9,0,1,0.0,0,3,92,.000,825.0,16.7,1,0,0,0.0,0.0,36,0,.200,.000,-5,.200,0,0,21.8,2,5,3,Nicolas Batum,1,3
.000,6,12.9,20101102,POR,8.7,0,17.0,1,.750,6.3,1,0,3.0,0,3,94,.000,1692.0,0.0,6,0,2,0.0,6.1,158,0,.750,0,+10,.750,0,0,14.2,12,8,0,Dante Cunningham,0,4
.533,5,10.9,20101102,POR,4.4,2,17.2,0,.533,0.9,4,3,0.0,2,4,95,.133,1673.0,15.9,7,2,1,0.0,26.5,106,1.000,.467,.250,+18,.567,0,0,33.9,18,15,8,Wesley Matthews,0,4
.500,2,5.5,20101102,POR,5.6,0,5.5,0,1.250,16.5,5,1,0.0,0,0,100,.000,1316.0,20.0,4,2,1,0.0,37.4,192,0,1.000,1.000,+4,1.250,0,0,11.4,10,4,2,Armon Johnson,0,1
1.000,1,4.0,20101102,POR,0.0,0,7.8,0,.375,1.1,2,0,0.0,0,1,91,.000,918.0,0.0,1,1,0,3.7,18.0,102,0,.250,.250,+9,.375,0,1,13.1,3,4,4,Rudy Fernández,0,1
0,1,15.5,20101102,POR,0.0,0,30.6,0,0,-2.7,0,0,0.0,0,0,91,0,235.0,0,0,0,0,0.0,0.0,0,0,0,0,+2,0,0,0,0.0,0,0,0,Fabricio Oberto,0,1
