threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.000,7,11.9,20110316,DEN,3.9,8,18.2,4,.500,5.1,2,2,8.5,9,2,95,.750,2163.0,11.1,6,0,1,0.0,8.6,121,.889,.500,0,+24,.627,0,0,25.0,20,12,0,Nenê,1,6
.000,7,12.8,20110316,DEN,0.0,2,22.8,0,.625,-1.4,1,0,0.0,3,5,102,.375,2013.0,0.0,5,0,0,0.0,4.5,132,.667,.625,0,+18,.644,0,0,14.0,12,8,0,Kenyon Martin,1,7
.182,10,18.4,20110316,DEN,0.0,1,32.6,1,.591,-3.4,2,5,2.3,2,1,97,.182,2010.0,29.6,6,1,0,0.0,9.4,80,.500,.545,.500,+15,.589,0,0,25.3,14,11,2,Wilson Chandler,1,10
.222,2,4.1,20110316,DEN,0.0,1,7.4,0,.778,6.4,3,0,0.0,2,3,106,.222,1781.0,0.0,6,2,0,0.0,16.6,153,.500,.667,1.000,+13,.759,0,0,16.7,15,9,2,Arron Afflalo,1,2
.333,4,9.6,20110316,DEN,11.0,5,8.5,0,.333,15.2,10,1,0.0,6,1,92,1.000,1537.0,10.4,2,0,2,6.4,53.2,137,.833,.333,.000,+17,.521,0,3,18.9,9,6,2,Ty Lawson,1,2
.100,2,4.3,20110316,DEN,0.0,0,7.6,0,.400,-4.2,6,2,0.0,0,0,102,.000,1724.0,16.7,4,0,0,1.9,31.0,89,0,.400,.000,+10,.400,0,1,21.0,8,10,1,Raymond Felton,0,2
.500,2,5.8,20110316,DEN,0.0,0,10.3,0,.750,10.2,2,1,0.0,0,0,105,.000,1271.0,9.1,6,3,0,0.0,17.8,128,0,.600,.600,-4,.750,0,0,26.1,15,10,5,J.R. Smith,0,2
.333,4,18.7,20110316,DEN,21.4,0,16.5,0,.750,9.0,0,0,0.0,0,1,103,.000,791.0,0.0,4,1,2,0.0,0.0,150,0,.667,.500,-3,.750,0,0,22.9,9,6,2,Al Harrington,0,2
.000,3,15.2,20110316,DEN,23.3,0,9.0,1,.000,-11.7,0,0,6.3,2,3,99,2.000,727.0,0.0,0,0,2,0.0,0.0,72,.000,.000,0,-9,.000,0,0,7.8,0,1,0,Chris Andersen,0,1
0,1,11.6,20110316,DEN,0.0,0,20.6,0,0,-13.2,0,1,0.0,0,0,102,0,317.0,100.0,0,0,0,0.0,0.0,0,0,0,0,-6,0,0,0,9.5,0,0,0,Gary Forbes,0,1
0,1,100.0,20110316,DEN,0.0,0,100.0,0,0,13.8,0,0,0.0,0,0,57,0,33.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,Kosta Koufos,0,1
0,0,0.0,20110316,DEN,0.0,0,0.0,0,0,-4.2,0,0,0.0,0,0,108,0,33.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,Timofey Mozgov,0,0
.063,9,16.3,20110316,ATL,6.4,5,29.1,3,.250,-10.2,1,2,7.2,6,5,112,.375,2041.0,9.7,4,0,2,0.0,5.0,73,.833,.250,.000,-21,.349,0,0,29.7,13,16,1,Josh Smith,1,7
.000,6,10.9,20110316,ATL,0.0,1,25.1,0,.600,1.5,6,0,0.0,1,3,120,.200,2027.0,0.0,3,0,0,0.0,28.7,149,1.000,.600,0,-20,.643,0,0,7.9,7,5,0,Al Horford,1,6
.615,1,1.8,20110316,ATL,0.0,1,4.2,0,.423,-2.2,3,1,0.0,1,2,116,.077,2011.0,6.9,4,3,0,3.3,15.2,89,1.000,.308,.375,-22,.446,0,2,21.1,12,13,8,Joe Johnson,1,1
.444,3,7.4,20110316,ATL,0.0,0,17.0,1,.500,-4.4,2,2,3.3,2,2,114,.222,1492.0,16.8,4,1,0,2.2,14.7,75,.000,.444,.250,-10,.455,0,1,23.4,9,9,4,Kirk Hinrich,1,3
.143,1,3.1,20110316,ATL,0.0,2,7.0,1,.143,-2.9,2,0,4.0,2,1,108,.286,1208.0,0.0,1,0,0,5.5,15.1,67,1.000,.143,.000,-13,.254,0,2,19.2,4,7,1,Jeff Teague,1,1
.385,1,1.8,20110316,ATL,3.2,0,0.0,0,.500,-0.8,3,0,0.0,0,0,121,.000,2050.0,0.0,6,1,1,1.6,16.5,107,0,.462,.200,-6,.500,0,1,18.7,13,13,5,Jamal Crawford,0,0
.000,10,18.9,20110316,ATL,13.4,3,26.0,1,.889,7.2,2,2,2.5,4,4,117,.444,1955.0,15.7,8,0,4,0.0,13.3,148,.750,.889,0,+4,.883,0,0,19.2,19,9,0,Zaza Pachulia,0,6
.000,3,8.7,20110316,ATL,0.0,2,19.9,0,.400,2.7,4,0,0.0,2,0,121,.200,1276.0,0.0,4,0,0,0.0,36.2,106,1.000,.400,0,+13,.460,0,0,25.1,10,10,0,Marvin Williams,0,3
0,1,10.9,20110316,ATL,19.3,0,0.0,0,0,-11.4,1,1,0.0,0,1,123,0,340.0,100.0,0,0,1,0.0,24.9,74,0,0,0,0,0,0,0,8.7,0,0,0,Damien Wilkins,0,0
0,0,0,20110316,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hilton Armstrong,0,0
0,0,0,20110316,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jason Collins,0,0
0,0,0,20110316,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Powell,0,0
0,0,0,20110316,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Melvin Ely,0,0
0,0,0,20110316,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Danilo Gallinari,0,0
0,0,0,20110316,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Pape Sy,0,0
0,0,0,20110316,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Etan Thomas,0,0
