ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.400,10,1,1,2,0,.400,6.4,.425,4,.000,20120123,76,3,10,0,2.4,WAS,3,14.5,.500,23.7,4,1759.0,0.0,.400,2,5.8,0,.200,0.0,1,2,Nick Young,121,0,2,12.9,-8.4,-9
.545,11,1,1,5,2,.364,6.8,.477,4,0,20120123,107,4,13,1,0.0,WAS,3,0.0,.833,24.7,6,1678.0,4.0,.364,0,8.2,0,.000,3.7,0,3,Andray Blatche,114,0,0,13.6,1.0,-24
.143,7,1,1,1,0,.714,7.8,.739,5,.000,20120123,106,6,11,2,0.0,WAS,4,28.7,1.000,19.7,1,1610.0,0.0,.714,3,12.8,0,.286,7.8,0,2,Rashard Lewis,122,0,2,18.8,-1.9,-21
.364,11,5,1,3,0,.455,40.3,.509,5,0,20120123,89,4,13,1,0.0,WAS,3,23.9,.750,32.5,4,1566.0,0.0,.455,4,8.8,0,.000,4.0,0,1,John Wall,123,0,0,14.5,-4.1,-23
.500,4,0,1,0,1,.250,0.0,.205,1,0,20120123,43,2,2,0,6.9,WAS,2,0.0,.000,11.8,2,1255.0,2.7,.250,0,5.5,0,.000,0.0,2,2,JaVale McGee,111,0,0,12.1,-7.4,-15
.375,16,3,0,5,0,.375,29.9,.456,6,.000,20120123,101,3,17,0,0.0,WAS,3,0.0,.833,39.2,6,1444.0,0.0,.375,0,7.1,0,.125,0.0,0,2,Jordan Crawford,122,0,2,15.7,1.1,-4
.000,3,0,0,0,0,1.000,0.0,1.000,3,0,20120123,200,2,6,0,0.0,WAS,2,0.0,0,6.9,0,1314.0,0.0,1.000,0,5.2,0,.000,0.0,0,1,Shelvin Mack,124,0,0,11.5,-2.9,+3
.500,4,1,0,2,0,.500,10.2,.615,2,0,20120123,138,6,6,1,8.1,WAS,5,0.0,1.000,13.9,2,1063.0,0.0,.500,0,19.4,0,.000,5.9,2,1,Kevin Séraphin,111,0,0,35.6,7.3,+8
.000,2,3,0,0,0,.000,28.3,.000,0,.000,20120123,56,0,0,0,0.0,WAS,0,0.0,0,6.4,0,954.0,0.0,.000,0,0.0,0,.500,0.0,0,0,Roger Mason,126,0,1,0.0,-6.6,-4
2.000,1,0,0,1,0,1.000,0.0,.798,1,0,20120123,167,4,3,1,0.0,WAS,3,0.0,.500,7.7,2,742.0,0.0,1.000,0,18.5,0,.000,8.4,0,1,Trevor Booker,119,0,0,30.6,-0.7,+9
.000,5,0,0,0,0,.200,0.0,.200,1,0,20120123,75,3,2,3,0.0,WAS,0,0.0,0,23.9,0,634.0,0.0,.200,0,16.2,0,.000,29.6,0,1,Jan Veselý,125,0,0,0.0,-14.8,-10
0,0,0,0,0,0,0,0.0,0,0,0,20120123,0,1,0,0,0.0,WAS,1,0,0,0.0,0,381.0,0.0,0,0,9.0,0,0,0.0,0,1,Chris Singleton,121,0,0,19.9,-9.1,-10
0,0,0,0,0,0,0,0,0,0,0,20120123,0,0,0,0,0,WAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Maurice Evans,0,0,0,0,0,0
.067,15,4,1,0,1,.533,16.1,.551,8,.333,20120123,112,4,17,1,0.0,PHI,3,6.1,.000,22.0,1,2205.0,1.5,.567,1,6.2,1,.200,3.4,0,4,Jrue Holiday,100,0,3,8.5,-2.1,+15
.400,5,11,1,0,2,.600,42.6,.595,3,.500,20120123,138,7,7,1,2.2,PHI,6,14.5,.000,10.5,2,1929.0,3.5,.700,1,12.4,1,.400,3.9,1,2,Andre Iguodala,91,0,2,19.5,11.6,+13
.143,14,1,1,1,1,.571,5.5,.571,8,0,20120123,114,9,17,3,0.0,PHI,6,6.3,.500,26.7,2,1750.0,1.9,.571,1,17.6,0,.000,13.0,0,4,Elton Brand,95,0,0,21.5,-1.2,+15
.222,9,1,1,2,0,.556,5.4,.759,5,.600,20120123,154,5,15,1,0.0,PHI,4,0.0,1.000,18.4,2,1579.0,0.0,.722,0,10.9,3,.556,4.8,0,3,Jodie Meeks,101,0,5,15.9,5.3,+12
.000,3,1,1,0,1,.333,6.9,.333,1,0,20120123,61,2,2,0,0.0,PHI,2,25.0,0,11.4,0,1037.0,3.2,.333,1,6.6,0,.000,0.0,0,1,Tony Battie,96,0,0,12.1,-6.7,+13
.200,10,5,0,0,3,.300,22.9,.322,3,.333,20120123,73,4,7,0,0.0,PHI,4,15.5,.000,22.8,2,1666.0,6.0,.350,2,8.2,1,.300,0.0,0,1,Evan Turner,89,0,3,15.0,-1.6,+10
.700,10,4,0,4,0,.500,22.0,.535,5,0,20120123,124,7,14,1,2.8,PHI,6,0.0,.571,24.8,7,1551.0,0.0,.500,0,15.5,0,.000,4.9,1,1,Thaddeus Young,96,0,0,24.2,5.9,+9
.333,12,2,0,4,0,.417,11.1,.509,5,.000,20120123,117,2,14,1,0.0,PHI,1,0.0,1.000,26.2,4,1545.0,0.0,.417,0,4.4,0,.250,4.9,0,1,Lou Williams,104,0,3,4.1,-3.3,+9
.000,5,1,0,0,0,1.000,9.4,1.000,5,0,20120123,202,6,10,1,4.1,PHI,5,0.0,0,14.1,0,1046.0,0.0,1.000,0,19.7,0,.000,7.2,1,2,Lavoy Allen,93,0,0,29.9,12.9,+2
0,0,0,0,0,0,0,0.0,0,0,0,20120123,0,0,0,0,0.0,PHI,0,0,0,0.0,0,92.0,0.0,0,0,0.0,0,0,0.0,0,0,Craig Brackins,106,0,0,0.0,-7.4,+2
