threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.250,4,7.5,20120124,NYK,8.7,5,6.5,2,.542,13.6,5,0,4.5,6,3,83,.500,1797.0,0.0,6,1,2,3.5,27.3,150,.833,.500,.333,+29,.615,0,2,22.2,18,12,3,Landry Fields,1,2
.286,17,20.7,20120124,NYK,0.0,2,36.4,1,.000,-11.0,2,0,0.0,4,0,83,.143,1778.0,11.8,9,0,8,0.0,16.6,49,.500,.900,0,+13,.067,0,0,13.0,20,10,0,Carmelo Anthony,1,9
.000,11,32.0,20120124,NYK,35.0,1,29.8,0,.900,16.1,4,1,2.3,1,0,84,.400,1778.0,0.0,0,0,0,0.0,13.3,182,1.000,.000,.000,+13,.850,0,0,18.1,1,7,2,Tyson Chandler,1,11
.000,8,15.6,20120124,NYK,9.0,4,20.5,1,.583,4.9,2,0,2.4,4,4,87,.333,1722.0,0.0,7,0,2,0.0,12.3,151,1.000,.583,0,+21,.654,0,0,21.8,18,12,0,Amar'e Stoudemire,1,6
.000,5,11.0,20120124,NYK,0.0,1,19.2,1,.111,-15.1,2,3,2.7,2,2,78,.222,1529.0,23.3,1,0,0,4.1,10.1,38,.500,.111,0,+14,.152,0,2,23.0,3,9,0,Iman Shumpert,1,5
.400,0,0.0,20120124,NYK,0.0,4,0.0,1,.700,-0.9,0,2,2.6,4,4,90,.800,1571.0,22.8,3,1,0,2.0,0.0,124,1.000,.600,.500,+15,.814,0,1,15.2,11,5,2,Jared Jeffries,0,0
.833,1,3.1,20120124,NYK,0.0,2,5.4,0,.250,-13.1,0,2,0.0,2,1,88,.333,1083.0,22.5,1,1,0,2.9,0.0,65,1.000,.167,.200,+4,.363,0,1,22.4,5,6,5,Henry Walker,0,1
1.000,3,10.2,20120124,NYK,0.0,1,18.0,1,.500,0.2,3,1,4.1,2,2,86,.667,982.0,20.5,1,1,0,0.0,24.4,108,.500,.333,.333,+16,.515,0,0,13.6,4,3,3,Mike Bibby,0,3
.143,0,0.0,20120124,NYK,0.0,1,0.0,0,.571,-2.8,4,2,0.0,2,1,97,.286,879.0,20.2,4,0,0,0.0,50.6,107,.500,.571,.000,+9,.571,0,0,30.7,9,7,1,Toney Douglas,0,0
1.000,1,8.9,20120124,NYK,20.6,0,0.0,0,1.500,49.2,0,0,0.0,0,0,97,.000,378.0,0.0,3,3,1,0.0,0.0,275,0,1.000,1.000,+9,1.500,0,0,21.7,9,3,3,Steve Novak,0,0
