ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.417,12,4,1,3,5,.333,18.8,.387,4,.000,20120222,80,4,11,0,0.0,PHI,4,12.3,.600,19.8,5,2209.0,6.9,.333,2,6.7,0,.083,0.0,0,3,Andre Iguodala,91,0,1,15.3,2.8,-14
.364,11,0,1,4,1,.455,0.0,.549,5,.000,20120222,121,4,14,1,0.0,PHI,3,0.0,1.000,17.1,4,2012.0,1.5,.455,0,7.3,0,.364,3.3,0,0,Jodie Meeks,103,0,4,12.6,2.8,-3
.000,9,2,1,0,1,.333,16.5,.333,3,.000,20120222,75,2,6,1,3.6,PHI,1,10.0,0,20.4,0,1321.0,2.3,.333,1,5.6,0,.333,5.0,1,4,Jrue Holiday,98,0,3,6.4,-3.5,-12
.000,1,0,1,0,0,.000,0.0,.000,0,0,20120222,55,3,0,1,0.0,PHI,2,0.0,0,2.4,0,1109.0,0.0,.000,0,10.0,0,.000,5.9,0,0,Tony Battie,106,0,0,15.3,-4.7,-1
.000,5,1,1,0,2,.400,10.3,.400,2,0,20120222,81,6,4,1,0.0,PHI,5,16.7,0,15.8,0,1022.0,6.0,.400,1,21.7,0,.000,6.4,0,3,Lavoy Allen,90,0,0,41.4,1.2,-3
.846,13,2,0,9,0,.308,10.3,.476,4,.000,20120222,91,6,17,0,0.0,PHI,6,14.4,.818,27.6,11,2037.0,0.0,.308,3,10.9,0,.077,0.0,0,1,Lou Williams,105,0,1,25.0,-3.5,+6
.385,13,2,0,3,0,.462,12.6,.493,6,0,20120222,90,4,15,1,2.5,PHI,3,16.5,.600,25.7,5,1908.0,0.0,.462,3,7.7,0,.000,3.4,1,6,Thaddeus Young,103,0,0,13.3,-3.7,-5
.167,12,1,0,2,1,.667,9.0,.699,8,0,20120222,121,8,18,5,8.6,PHI,3,18.9,1.000,25.6,2,1671.0,1.8,.667,3,17.7,0,.000,19.6,3,1,Nikola Vučević,93,0,0,15.2,11.5,+3
.000,6,0,0,0,0,.167,0.0,.167,1,0,20120222,39,3,2,0,0.0,PHI,3,0.0,0,14.6,0,1111.0,0.0,.167,0,10.0,0,.000,0.0,0,0,Evan Turner,105,0,0,22.9,-10.9,-1
0,0,0,0,0,0,0,0,0,0,0,20120222,0,0,0,0,0,PHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Elton Brand,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120222,0,0,0,0,0,PHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Francisco Elson,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120222,0,0,0,0,0,PHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Spencer Hawes,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120222,0,0,0,0,0,PHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Andrés Nocioni,0,0,0,0,0,0
.364,11,5,1,3,0,.455,22.1,.509,5,.000,20120222,93,8,13,0,1.8,HOU,8,19.0,.750,20.6,4,2206.0,0.0,.455,3,13.4,0,.273,0.0,1,4,Kyle Lowry,91,0,3,23.7,-0.5,+3
.333,12,3,1,4,0,.417,13.6,.581,5,.333,20120222,100,2,16,0,0.0,HOU,2,17.9,1.000,22.3,4,2167.0,0.0,.500,3,3.4,2,.500,0.0,0,3,Kevin Martin,98,0,6,6.0,0.3,+10
.250,16,1,1,3,0,.500,5.6,.535,8,0,20120222,107,10,19,2,0.0,HOU,8,5.3,.750,26.3,4,2059.0,0.0,.500,1,17.9,0,.000,8.2,0,3,Luis Scola,92,0,0,25.4,3.0,+6
.333,6,2,1,1,1,.333,10.7,.363,2,0,20120222,81,8,5,1,2.4,HOU,7,12.7,.500,13.7,2,1661.0,1.8,.333,1,17.8,0,.000,5.1,1,3,Samuel Dalembert,86,0,0,27.6,2.1,-1
.000,8,1,1,0,0,.625,6.8,.750,5,.500,20120222,105,3,12,1,0.0,HOU,2,27.3,0,20.2,0,1572.0,0.0,.750,3,7.0,2,.500,5.4,0,3,Chandler Parsons,97,0,4,8.3,2.6,+9
.222,9,0,0,2,0,.556,0.0,.607,5,0,20120222,121,3,12,0,0.0,HOU,3,0.0,1.000,18.3,2,1559.0,0.0,.556,0,7.1,0,.000,0.0,0,4,Patrick Patterson,96,0,0,12.6,1.5,-3
.800,5,1,0,3,1,.200,6.0,.370,1,.000,20120222,85,1,5,0,0.0,HOU,1,0.0,.750,13.7,4,1421.0,2.2,.200,0,2.6,0,.400,0.0,0,0,Courtney Lee,94,0,2,4.6,0.2,+2
