trb_pct,blk_pct,threep_pct,fg_pct,ast_pct,team_abbr,ts_pct,orb_pct,sp,orb,threepar,efg_pct,stl,pm,blk,fga,drb_pct,tov_pct,fta,player_name,usg_pct,pts,date,bpm,drtg,ft_pct,ftr,drb,ast,pf,stl_pct,ortg,fg,ft,trb,inactive,threep,threepa,tov,starter
2.8,0.0,.000,.556,31.6,MIN,.670,2.3,2565.0,1,.111,.556,3,+1,0,9,3.5,8.2,5,Luke Ridnour,12.3,15,20120301,5.9,116,1.000,.556,1,8,3,3.7,145,5,5,2,0,0,1,1,1
14.8,0.0,.200,.320,14.7,MIN,.416,9.8,2403.0,4,.200,.340,1,-10,0,25,22.5,12.6,6,Kevin Love,34.1,23,20120301,-4.5,117,1.000,.240,6,3,5,1.3,90,8,6,10,0,1,5,4,1
14.3,1.8,0,.500,0.0,MIN,.543,15.8,2237.0,6,.000,.500,0,-4,1,12,12.1,13.4,2,Nikola Peković,17.2,14,20120301,-4.2,121,1.000,.167,3,0,3,0.0,112,6,2,9,0,0,0,2,1
3.8,0.0,.000,.429,10.5,MIN,.645,3.1,1870.0,1,.286,.429,2,-7,0,7,4.8,9.0,7,Ricky Rubio,15.4,13,20120301,2.3,117,1.000,1.000,1,2,2,3.4,136,3,7,2,0,0,2,1,1
10.7,4.9,.000,.500,7.4,MIN,.500,3.5,1656.0,1,.083,.500,2,-1,2,12,21.7,7.7,0,Wesley Johnson,20.4,12,20120301,5.6,109,0,.000,4,1,1,3.8,104,6,0,5,0,0,1,1,1
7.7,0.0,0,.500,0.0,MIN,.580,4.3,1382.0,1,.000,.500,1,-12,0,6,13.0,0.0,4,Martell Webster,14.6,9,20120301,0.4,117,.750,.667,2,0,2,2.3,133,3,3,3,0,0,0,0,0
9.1,7.0,.000,.200,0.0,MIN,.255,0.0,1167.0,0,.400,.200,0,-8,2,5,23.1,0.0,2,Michael Beasley,13.1,3,20120301,-8.7,115,.500,.400,3,0,3,0.0,63,1,1,3,0,0,2,0,0
9.5,3.6,.000,.200,0.0,MIN,.237,10.5,1120.0,2,.200,.200,3,-4,1,10,8.0,13.7,6,Derrick Williams,33.9,6,20120301,-10.1,103,.333,.600,1,0,1,8.5,54,2,2,3,0,0,2,2,0
0,0,0,0,0,MIN,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Wayne Ellington,0,0,20120301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,MIN,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Darko Miličić,0,0,20120301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,MIN,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Brad Miller,0,0,20120301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,MIN,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Anthony Randolph,0,0,20120301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,MIN,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Anthony Tolliver,0,0,20120301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,1.8,0,.667,8.2,PHO,.727,8.1,2221.0,2,.000,.667,0,+1,1,12,7.9,6.8,4,Grant Hill,18.4,20,20120301,6.2,110,1.000,.333,3,2,2,0.0,147,8,4,5,0,0,0,1,1
10.3,3.8,0,.600,0.0,PHO,.697,13.0,2080.0,3,.000,.600,1,+7,2,10,8.5,7.6,5,Marcin Gortat,17.5,17,20120301,4.5,106,1.000,.500,3,0,2,1.5,143,6,5,6,0,0,0,1,1
12.1,0.0,.000,.545,12.5,PHO,.545,4.4,2052.0,1,.091,.545,0,+9,0,11,17.2,8.3,0,Jared Dudley,16.2,12,20120301,-1.0,107,0,.000,6,3,3,0.0,116,6,0,7,0,0,1,1,1
14.0,0.0,.333,.462,71.6,PHO,.500,0.0,2039.0,0,.231,.500,1,+9,0,13,23.1,27.8,0,Steve Nash,24.4,13,20120301,4.4,101,0,.000,8,17,3,1.6,107,6,0,8,0,1,3,5,1
13.1,5.8,.667,.500,6.7,PHO,.643,13.2,1362.0,2,.300,.600,0,+9,2,10,12.9,15.5,2,Channing Frye,26.1,14,20120301,4.3,105,1.000,.200,3,1,4,0.0,119,5,2,5,0,2,3,2,1
