threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.643,1,1.7,20120310,DAL,0.0,1,4.2,0,.500,-6.5,5,7,0.0,1,2,116,.071,1997.0,32.6,5,4,0,1.5,34.7,73,1.000,.357,.444,-18,.519,0,1,28.8,15,14,9,Jason Terry,1,1
.063,4,7.7,20120310,DAL,3.2,7,14.0,0,.469,2.1,0,2,0.0,8,0,115,.500,1810.0,9.3,7,1,1,1.6,0.0,103,.875,.438,1.000,-4,.564,0,1,31.9,22,16,1,Dirk Nowitzki,1,3
.000,9,19.0,20120310,DAL,14.3,3,25.8,0,.429,-5.6,0,2,0.0,5,3,114,.714,1644.0,17.9,3,0,4,1.8,0.0,93,.600,.429,0,-4,.489,0,1,18.3,9,7,0,Ian Mahinmi,1,5
.250,4,8.9,20120310,DAL,0.0,4,21.8,0,.500,-2.6,5,3,0.0,6,1,118,1.500,1554.0,31.1,2,0,0,0.0,38.1,99,.667,.500,.000,-13,.602,0,0,16.6,8,4,1,Dominique Jones,1,4
.000,6,14.6,20120310,DAL,4.1,0,29.8,1,.400,-3.3,1,2,4.1,0,0,109,.000,1422.0,28.6,2,0,1,2.1,8.5,66,0,.400,0,-7,.400,0,1,13.2,4,5,0,Shawn Marion,1,5
.600,4,6.7,20120310,DAL,0.0,4,16.4,0,.800,2.7,3,2,0.0,4,4,112,.800,2065.0,22.8,3,2,0,2.9,17.6,136,1.000,.600,.667,-12,.888,0,2,11.4,12,5,3,Rodrigue Beaubois,0,4
.444,3,7.2,20120310,DAL,4.1,2,11.7,0,.278,-3.6,2,0,0.0,2,2,114,.222,1449.0,0.0,2,1,1,2.0,16.5,87,1.000,.222,.250,-20,.354,0,1,18.3,7,9,4,Vince Carter,0,2
.333,4,12.2,20120310,DAL,5.2,0,22.4,1,.250,-3.5,2,0,5.2,0,2,113,.000,1134.0,0.0,1,1,1,0.0,20.0,74,0,.167,.500,-21,.250,0,0,14.2,3,6,2,Lamar Odom,0,3
1.000,2,13.2,20120310,DAL,0.0,0,32.1,0,.750,10.4,2,0,0.0,0,1,118,.000,527.0,0.0,1,1,0,0.0,48.5,164,0,.500,.500,-3,.750,0,0,10.2,3,2,2,Brian Cardinal,0,2
.000,0,0.0,20120310,DAL,0.0,0,0.0,0,.667,-14.0,0,2,0.0,0,1,119,.000,465.0,40.0,2,0,0,0.0,0.0,62,0,.667,0,-15,.667,0,0,28.8,4,3,0,Sean Williams,0,0
.250,2,20.8,20120310,DAL,0.0,0,50.9,1,.000,-38.3,0,1,17.7,0,2,99,.000,333.0,20.0,0,0,0,0.0,0.0,0,0,.000,.000,-3,.000,0,0,40.2,0,4,1,Yi Jianlian,0,2
0,0,0,20120310,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brendan Haywood,0,0
0,0,0,20120310,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jason Kidd,0,0
.000,9,15.9,20120310,GSW,4.3,5,23.9,0,.625,4.5,1,1,0.0,5,3,89,.313,1969.0,5.2,10,0,1,3.0,5.8,130,1.000,.625,0,+12,.687,0,2,27.8,25,16,0,David Lee,1,8
.000,4,7.2,20120310,GSW,4.4,0,9.2,2,.600,-5.0,0,3,5.8,0,3,92,.000,1921.0,37.5,3,0,1,1.5,0.0,75,0,.600,0,+17,.600,0,1,11.9,6,5,0,Ekpe Udoh,1,3
.455,2,3.7,20120310,GSW,0.0,2,6.3,0,.818,11.4,8,4,0.0,3,2,90,.273,1870.0,24.5,7,4,0,4.7,42.2,128,.667,.636,.800,+15,.812,0,3,24.9,20,11,5,Monta Ellis,1,2
.500,5,11.5,20120310,GSW,0.0,0,19.4,0,.250,-0.3,4,0,0.0,0,1,92,.000,1513.0,0.0,1,0,0,2.0,20.0,95,0,.250,.000,+13,.250,0,1,7.5,2,4,2,Dorell Wright,1,5
.571,2,7.1,20120310,GSW,0.0,0,12.0,0,.714,0.9,2,3,0.0,0,0,92,.000,979.0,30.0,4,2,0,3.0,20.8,95,0,.571,.500,+10,.714,0,1,29.1,10,7,4,Stephen Curry,1,2
.600,5,11.6,20120310,GSW,0.0,6,19.6,0,.750,10.8,1,3,0.0,6,2,83,.600,1496.0,19.2,6,3,0,5.9,6.8,128,1.000,.600,.500,+8,.831,0,3,29.8,21,10,6,Nate Robinson,0,5
.800,5,11.7,20120310,GSW,0.0,0,19.8,0,.200,-8.1,2,1,0.0,0,2,92,.000,1482.0,16.7,1,0,0,2.0,10.2,53,0,.200,.000,+13,.200,0,1,11.5,2,5,4,Brandon Rush,0,5
.444,3,8.5,20120310,GSW,6.9,6,9.5,0,.389,5.4,3,0,0.0,8,1,89,.889,1231.0,0.0,3,1,1,4.8,21.3,120,.750,.333,.250,+14,.519,0,2,29.0,13,9,4,Klay Thompson,0,2
.000,6,20.2,20120310,GSW,0.0,0,34.2,0,.500,1.9,1,0,0.0,0,4,79,.000,1031.0,0.0,1,0,0,5.7,7.5,115,0,.500,0,+5,.500,0,2,5.5,2,2,0,Dominic McGuire,0,6
