ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.000,14,4,1,0,0,.143,18.1,.143,2,.000,20120326,36,5,4,1,0.0,MIL,4,22.2,0,20.7,0,2235.0,0.0,.143,4,6.8,0,.143,2.6,0,3,Monta Ellis,98,0,2,11.5,-13.6,-9
.182,22,5,1,3,2,.273,30.2,.316,6,.000,20120326,63,6,15,1,0.0,MIL,5,17.4,.750,35.3,4,2095.0,2.8,.273,5,8.7,0,.318,2.7,0,2,Brandon Jennings,90,0,7,15.3,-3.7,-16
.222,9,1,1,2,2,.222,8.1,.304,2,.000,20120326,81,5,6,3,0.0,MIL,2,0.0,1.000,19.1,2,1334.0,4.4,.222,0,11.4,0,.111,13.0,0,4,Drew Gooden,89,0,1,9.6,0.3,-6
1.000,2,0,1,2,1,.000,0.0,.347,0,.000,20120326,52,1,2,1,0.0,MIL,0,41.0,1.000,10.9,2,1148.0,2.5,.000,2,2.6,0,.500,5.0,0,4,Ersan İlyasova,97,0,1,0.0,-10.5,-19
.000,6,0,1,0,4,.333,0.0,.417,2,.200,20120326,59,4,5,0,0.0,MIL,4,25.0,0,24.8,0,831.0,14.1,.417,2,14.6,1,.833,0.0,0,0,Carlos Delfino,57,0,5,30.8,12.2,-7
.214,14,3,0,1,0,.714,30.2,.849,10,.625,20120326,139,5,26,0,0.0,MIL,5,11.5,.333,24.1,3,1853.0,0.0,.893,2,8.2,5,.571,0.0,0,4,Mike Dunleavy,95,0,8,17.3,19.0,+11
.667,3,0,0,1,1,.667,0.0,.644,2,0,20120326,84,7,5,1,0.0,MIL,6,34.0,.500,8.2,2,1843.0,1.6,.667,2,11.5,0,.000,3.1,0,5,Luc Mbah a Moute,90,0,0,20.8,-2.9,+4
1.000,5,3,0,3,0,.600,28.3,.625,3,0,20120326,137,3,9,0,0.0,MIL,3,0.0,.600,14.7,5,1262.0,0.0,.600,0,7.2,0,.000,0.0,0,0,Beno Udrih,96,0,0,15.2,7.1,0
.000,8,1,0,0,2,.375,9.5,.375,3,0,20120326,79,4,6,2,0.0,MIL,2,11.1,0,18.4,0,1261.0,4.6,.375,1,9.6,0,.000,9.1,0,4,Ekpe Udoh,88,0,0,10.2,0.0,0
.000,2,0,0,0,0,.500,0.0,.500,1,0,20120326,61,1,2,0,0.0,MIL,1,33.3,0,14.3,0,539.0,0.0,.500,1,5.6,0,.000,0.0,0,2,Shaun Livingston,98,0,0,11.9,-10.5,-3
0,0,0,0,0,0,0,0,0,0,0,20120326,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jon Brockman,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120326,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Tobias Harris,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120326,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Larry Sanders,0,0,0,0,0,0
.600,20,1,1,12,1,.400,9.2,.554,8,.000,20120326,110,12,28,1,2.3,NYK,11,10.6,1.000,34.6,12,2095.0,1.4,.400,3,17.4,0,.100,3.1,1,3,Carmelo Anthony,77,0,2,30.2,9.0,+10
.000,8,3,1,0,1,.500,20.4,.688,4,.500,20120326,96,6,11,2,0.0,NYK,4,33.3,0,14.8,0,2075.0,1.4,.688,4,8.8,3,.750,6.2,0,4,Iman Shumpert,84,0,6,11.1,3.3,+13
1.286,7,1,1,7,1,.429,6.4,.593,3,.000,20120326,131,9,13,5,2.3,NYK,4,8.4,.778,14.8,9,2067.0,1.4,.429,1,13.2,0,.143,15.5,1,5,Tyson Chandler,82,0,1,11.1,4.5,+17
.500,12,7,1,6,1,.250,45.5,.444,3,.200,20120326,72,5,13,2,0.0,NYK,3,38.1,1.000,29.7,6,2038.0,1.4,.292,9,7.4,1,.417,6.3,0,1,Baron Davis,85,0,5,8.5,-4.8,+16
.000,5,2,1,0,3,.200,16.9,.200,1,.000,20120326,66,8,2,2,0.0,NYK,6,16.7,0,10.8,0,1423.0,6.2,.200,1,17.0,0,.400,9.0,0,0,Landry Fields,71,0,2,24.3,5.8,+1
.154,13,2,0,2,1,.231,15.1,.324,3,.100,20120326,62,10,9,1,0.0,NYK,9,22.4,1.000,25.5,2,1798.0,1.6,.269,4,16.9,1,.769,3.6,0,2,J.R. Smith,78,0,10,28.8,-5.8,+5
1.000,4,0,0,2,1,.500,0.0,.608,2,.500,20120326,103,2,7,0,0.0,NYK,2,14.8,.500,12.2,4,1417.0,2.1,.625,1,4.3,1,.500,0.0,0,0,Steve Novak,84,0,2,8.1,2.9,0
.667,3,0,0,1,0,.333,0.0,.387,1,.000,20120326,87,1,3,0,0.0,NYK,1,0.0,.500,12.6,2,787.0,0.0,.333,0,3.9,0,.333,0.0,0,3,Josh Harrellson,88,0,1,7.3,-5.9,-8
.000,2,0,0,0,0,.500,0.0,.750,1,.500,20120326,149,1,3,0,0.0,NYK,1,0.0,0,7.3,0,701.0,0.0,.750,0,4.3,1,1.000,0.0,0,1,Mike Bibby,88,0,2,8.2,2.3,-9
0,0,0,0,0,0,0,0,0,0,0,20120326,0,0,0,0,0,NYK,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Toney Douglas,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120326,0,0,0,0,0,NYK,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jared Jeffries,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120326,0,0,0,0,0,NYK,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jerome Jordan,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120326,0,0,0,0,0,NYK,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jeremy Lin,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120326,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Kwame Brown,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120326,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jon Leuer,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120326,0,0,0,0,0,NYK,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Amar'e Stoudemire,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120326,0,0,0,0,0,NYK,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Henry Walker,0,1,0,0,0,0
