trb_pct,blk_pct,threep_pct,fg_pct,ast_pct,team_abbr,ts_pct,orb_pct,sp,orb,threepar,efg_pct,stl,pm,blk,fga,drb_pct,tov_pct,fta,player_name,usg_pct,pts,date,bpm,drtg,ft_pct,ftr,drb,ast,pf,stl_pct,ortg,fg,ft,trb,inactive,threep,threepa,tov,starter
8.7,0.0,.333,.563,56.1,BOS,.648,3.6,2444.0,1,.188,.594,0,+15,0,16,12.3,5.3,4,Rajon Rondo,23.0,23,20120516,10.2,111,1.000,.250,5,14,0,0.0,145,9,4,6,0,1,3,1,1
19.4,0.0,.333,.353,16.3,BOS,.518,19.9,2194.0,5,.176,.382,3,+13,0,17,19.1,0.0,14,Paul Pierce,31.6,24,20120516,9.1,98,.786,.824,7,4,3,4.5,127,6,11,12,0,1,3,0,1
25.5,0.0,0,.706,30.4,BOS,.703,0.0,1812.0,0,.000,.706,1,+27,0,17,43.0,5.0,5,Kevin Garnett,33.3,27,20120516,15.2,95,.600,.294,13,4,3,1.8,134,12,3,13,0,0,0,1,1
11.0,2.7,0,.500,5.8,BOS,.500,5.4,1612.0,1,.000,.500,1,+21,1,10,14.9,9.1,0,Brandon Bass,20.4,10,20120516,-1.6,103,0,.000,4,1,1,2.1,97,5,0,5,0,0,0,1,1
2.9,3.6,.000,.000,6.0,BOS,.000,0.0,1209.0,0,.500,.000,0,+8,1,2,5.0,33.3,0,Avery Bradley,7.4,0,20120516,-12.0,110,0,.000,1,1,3,0.0,20,0,0,1,0,0,1,1,1
9.3,0.0,0,1.000,0.0,BOS,.798,0.0,1526.0,0,.000,1.000,0,+11,0,1,15.7,0.0,2,Ray Allen,3.7,3,20120516,-5.5,109,.500,2.000,4,0,1,0.0,157,1,1,4,0,0,0,0,0
0.0,0.0,.750,.500,0.0,BOS,.732,0.0,1450.0,0,.500,.688,1,+8,0,8,0.0,0.0,2,Mickaël Piétrus,18.3,13,20120516,5.2,110,1.000,.250,0,0,2,2.3,143,4,2,0,0,3,4,0,0
0.0,13.6,0,.250,0.0,BOS,.338,0.0,961.0,0,.000,.250,0,-15,3,4,0.0,18.4,1,Ryan Hollins,16.9,3,20120516,-10.8,102,1.000,.250,0,0,4,0.0,58,1,1,0,0,0,0,1,0
0.0,0.0,0,1.000,39.6,BOS,1.000,0.0,436.0,0,.000,1.000,0,+1,0,1,0.0,0.0,0,Keyon Dooling,6.9,2,20120516,10.2,115,0,.000,0,2,0,0.0,205,1,0,0,0,0,0,0,0
14.6,0.0,0,0,0.0,BOS,0,0.0,243.0,0,0,0,0,0,0,0,24.7,0,0,Greg Stiemsma,0.0,0,20120516,-3.0,106,0,0,1,0,0,0.0,0,0,0,1,0,0,0,0,0
