trb_pct,blk_pct,threep_pct,fg_pct,ast_pct,team_abbr,ts_pct,orb_pct,sp,orb,threepar,efg_pct,stl,pm,blk,fga,drb_pct,tov_pct,fta,player_name,usg_pct,pts,date,bpm,drtg,ft_pct,ftr,drb,ast,pf,stl_pct,ortg,fg,ft,trb,inactive,threep,threepa,tov,starter
4.1,0.0,0,.588,11.9,ATL,.588,0.0,2467.0,0,.000,.588,0,0,0,17,8.0,5.6,0,Al Horford,23.0,20,20130101,-2.7,112,0,.000,3,3,1,0.0,112,10,0,3,0,0,0,1,1
4.2,3.9,.000,.250,24.9,ATL,.225,2.9,2401.0,1,.250,.250,2,0,2,8,5.5,10.1,2,Jeff Teague,12.9,4,20130101,-5.7,103,.000,.250,2,8,3,2.9,85,2,0,3,0,0,2,1,1
19.5,8.3,.333,.550,33.6,ATL,.575,6.1,2234.0,2,.150,.575,3,+7,4,20,32.2,4.8,0,Josh Smith,29.6,23,20130101,17.7,85,0,.000,11,7,2,4.7,122,11,0,13,0,1,3,1,1
4.5,0.0,.200,.308,25.2,ATL,.324,0.0,2234.0,0,.385,.346,1,+7,0,13,8.8,6.7,2,Lou Williams,21.0,9,20130101,-8.7,108,.000,.154,3,7,1,1.6,83,4,0,3,0,1,5,1,1
5.5,0.0,.571,.500,9.0,ATL,.788,0.0,1843.0,0,.875,.750,0,+5,0,8,10.7,10.1,2,Kyle Korver,16.9,14,20130101,2.5,110,1.000,.250,3,2,1,0.0,136,4,2,3,0,4,7,1,1
28.0,3.9,0,.625,0.0,ATL,.676,34.3,1198.0,6,.000,.625,0,+8,1,8,21.9,0.0,2,Zaza Pachulia,23.3,12,20130101,7.0,104,1.000,.250,4,0,0,0.0,155,5,2,10,0,0,0,0,0
3.0,0.0,1.000,.750,15.4,ATL,.875,0.0,1125.0,0,.250,.875,0,+11,0,4,5.8,0.0,0,John Jenkins,11.2,7,20130101,2.8,112,0,.000,1,2,1,0.0,174,3,0,1,0,1,1,0,0
11.2,0.0,.500,.400,9.3,ATL,.600,0.0,898.0,0,.800,.600,1,+7,0,5,21.9,0.0,0,Anthony Tolliver,17.5,6,20130101,3.8,95,0,.000,3,1,2,3.9,120,2,0,3,0,2,4,0,0
0,0,0,0,0,ATL,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Ivan Johnson,0,0,20130101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,ATL,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Anthony Morrow,0,0,20130101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,ATL,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Johan Petro,0,0,20130101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,ATL,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Mike Scott,0,0,20130101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,ATL,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DeShawn Stevenson,0,0,20130101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,2.0,.500,.467,45.5,NOH,.507,2.8,2317.0,1,.133,.500,0,+3,1,15,23.7,10.7,4,Greivis Vásquez,23.3,17,20130101,6.0,114,.500,.267,8,10,1,0.0,118,7,2,9,0,1,2,2,1
20.3,8.8,0,.444,0.0,NOH,.418,12.2,2141.0,4,.000,.444,0,-4,4,9,28.8,8.5,4,Anthony Davis,15.8,9,20130101,-1.7,106,.250,.444,9,0,2,0.0,93,4,1,13,0,0,0,1,1
10.9,0.0,0,.556,7.1,NOH,.556,12.8,1530.0,3,.000,.556,0,+4,0,9,9.0,10.0,0,Robin Lopez,18.8,10,20130101,-1.1,120,0,.000,2,1,1,0.0,115,5,0,5,0,0,0,1,1
3.4,0.0,.500,.200,26.5,NOH,.300,0.0,986.0,0,.400,.300,0,-8,0,5,7.0,28.6,0,Austin Rivers,20.4,3,20130101,-10.3,120,0,.000,1,3,1,0.0,67,1,0,1,0,1,2,2,1
11.0,0.0,0,.333,0.0,NOH,.333,14.3,915.0,2,.000,.333,0,-1,0,3,7.5,0.0,0,Lance Thomas,9.4,2,20130101,-6.9,120,0,.000,1,0,1,0.0,102,1,0,3,0,0,0,0,1
10.4,0.0,.500,.600,0.0,NOH,.767,10.2,1928.0,3,.667,.767,0,-8,0,15,10.7,0.0,0,Ryan Anderson,22.3,23,20130101,13.9,119,0,.000,3,0,2,0.0,158,9,0,6,0,5,10,0,0
10.2,0.0,1.000,1.000,5.7,NOH,1.500,0.0,1641.0,0,1.000,1.500,0,-6,0,3,20.9,25.0,0,Roger Mason,7.0,9,20130101,7.2,117,0,.000,5,1,0,0.0,184,3,0,5,0,3,3,1,0
4.7,0.0,.000,.294,23.4,NOH,.293,0.0,1426.0,0,.176,.294,1,-5,0,17,9.6,17.6,4,Eric Gordon,45.8,11,20130101,-19.1,114,.250,.235,2,3,3,2.4,60,5,1,2,0,0,3,4,0
0.0,0.0,0,.333,0.0,NOH,.333,0.0,746.0,0,.000,.333,2,-9,0,3,0.0,25.0,0,Jason Smith,15.4,2,20130101,-11.4,100,0,.000,0,0,4,9.3,52,1,0,0,0,0,0,1,0
7.5,0.0,0,.000,18.0,NOH,.000,14.7,444.0,1,.000,.000,0,-7,0,1,0.0,50.0,0,Brian Roberts,12.9,0,20130101,-19.8,121,0,.000,0,1,2,0.0,48,0,0,1,0,0,0,1,0
20.5,0.0,0,.000,24.5,NOH,.000,0.0,326.0,0,.000,.000,0,-4,0,2,42.1,0.0,0,Al-Farouq Aminu,17.6,0,20130101,-9.2,112,0,.000,2,1,0,0.0,35,0,0,2,0,0,0,0,0
0,0,0,0,0,NOH,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Xavier Henry,0,0,20130101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,NOH,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Dominic McGuire,0,0,20130101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,ATL,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Devin Harris,0,0,20130101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,NOH,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Darius Miller,0,0,20130101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
