threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.294,8,11.4,20130328,IND,0.0,2,21.5,0,.647,13.8,6,3,0.0,3,2,81,.176,2279.0,14.1,10,2,0,4.2,27.7,124,.667,.588,.400,+31,.655,0,3,24.8,24,17,5,Paul George,1,8
.200,5,9.1,20130328,IND,3.8,3,13.7,0,.700,4.2,3,2,0.0,3,2,88,.600,1785.0,24.0,3,1,1,1.8,13.8,133,1.000,.600,1.000,+34,.791,0,1,12.4,10,5,1,George Hill,1,4
.000,7,13.5,20130328,IND,4.1,1,21.9,0,.375,-7.6,2,2,0.0,4,3,90,.500,1680.0,17.0,3,0,1,0.0,9.8,76,.250,.375,0,+17,.359,0,0,18.6,7,8,0,David West,1,6
.111,2,3.9,20130328,IND,0.0,0,7.4,0,.333,-1.9,3,0,0.0,0,1,89,.000,1649.0,0.0,3,0,0,1.9,15.1,96,0,.333,.000,+12,.333,0,1,14.5,6,9,1,Lance Stephenson,1,2
.000,11,24.6,20130328,IND,23.7,6,25.4,1,.500,5.3,1,2,2.9,8,5,81,.800,1449.0,12.9,5,0,5,2.2,6.6,123,.750,.500,0,+27,.592,0,1,28.4,16,10,0,Roy Hibbert,1,6
.500,4,10.5,20130328,IND,0.0,0,19.9,0,.600,12.3,3,0,0.0,0,0,90,.000,1231.0,0.0,5,2,0,0.0,24.8,141,0,.500,.400,+13,.600,0,0,21.6,12,10,5,Orlando Johnson,0,4
.000,7,18.7,20130328,IND,11.3,1,25.3,1,.500,7.2,1,0,3.4,2,2,80,.250,1211.0,0.0,4,0,2,2.6,7.8,124,.500,.500,0,-6,.507,0,1,19.5,9,8,0,Ian Mahinmi,0,5
.000,9,24.3,20130328,IND,28.6,3,20.4,0,.500,0.5,1,3,0.0,6,2,84,.600,1200.0,19.2,5,0,5,2.6,8.6,100,.500,.500,0,+8,.514,0,1,34.6,13,10,0,Tyler Hansbrough,0,4
.500,2,5.8,20130328,IND,6.2,0,5.5,0,.750,1.4,1,1,0.0,0,2,93,.000,1109.0,20.0,2,2,1,0.0,7.5,129,0,.500,1.000,-7,.750,0,0,12.0,6,4,2,D.J. Augustin,0,1
.500,0,0.0,20130328,IND,0.0,0,0.0,2,.000,3.1,1,0,13.9,0,0,81,.000,601.0,0.0,0,0,0,0.0,12.0,36,0,.000,.000,-6,.000,0,0,8.8,0,2,1,Gerald Green,0,0
.000,0,0.0,20130328,IND,0.0,0,0.0,0,.000,-15.9,0,0,0.0,0,0,95,.000,206.0,0.0,0,0,0,0.0,0.0,0,0,.000,0,+2,.000,0,0,12.9,0,1,0,Jeff Ayres,0,0
0,0,0,20130328,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben Hansbrough,0,0
0,0,0,20130328,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Young,0,0
.500,3,4.7,20130328,DAL,0.0,0,9.9,0,.350,-10.9,1,2,0.0,0,1,120,.000,2076.0,16.7,3,1,0,0.0,5.0,60,0,.300,.200,-21,.350,0,0,16.6,7,10,5,O.J. Mayo,1,3
.100,7,11.5,20130328,DAL,0.0,1,24.5,1,.500,1.6,1,3,2.1,2,2,110,.100,1962.0,12.6,10,0,0,1.6,8.5,84,.500,.500,.000,-11,.503,0,1,35.0,21,20,2,Dirk Nowitzki,1,7
.000,4,8.9,20130328,DAL,4.2,0,14.2,0,.571,-1.3,1,2,0.0,2,2,109,.286,1448.0,20.2,4,0,1,4.4,8.3,81,.000,.571,0,-17,.508,0,2,19.6,8,7,0,Shawn Marion,1,3
.000,3,7.4,20130328,DAL,0.0,0,15.7,2,.400,-1.4,1,0,6.4,0,1,114,.000,1311.0,0.0,2,0,0,0.0,8.0,86,0,.400,0,-7,.400,0,0,11.0,4,5,0,Brandan Wright,1,3
.250,0,0.0,20130328,DAL,0.0,0,0.0,0,.000,-12.4,4,1,0.0,0,4,117,.000,1170.0,20.0,0,0,0,2.7,30.8,33,0,.000,.000,-22,.000,0,1,12.3,0,4,1,Mike James,1,0
.167,2,3.7,20130328,DAL,3.5,5,3.9,0,.417,2.1,8,1,0.0,6,4,121,1.000,1743.0,10.4,2,1,1,0.0,46.1,127,.833,.333,1.000,-6,.579,0,0,15.9,10,6,1,Darren Collison,0,1
