trb_pct,blk_pct,threep_pct,fg_pct,ast_pct,team_abbr,ts_pct,orb_pct,sp,orb,threepar,efg_pct,stl,pm,blk,fga,drb_pct,tov_pct,fta,player_name,usg_pct,pts,date,bpm,drtg,ft_pct,ftr,drb,ast,pf,stl_pct,ortg,fg,ft,trb,inactive,threep,threepa,tov,starter
7.0,0.0,1.000,.400,20.2,BOS,.506,0.0,1467.0,0,.100,.450,1,-16,0,10,15.5,21.6,2,Avery Bradley,26.5,11,20130417,-4.9,125,1.000,.200,3,3,1,2.2,87,4,2,3,0,1,1,3,1
9.7,0.0,0,.375,9.4,BOS,.375,5.9,1061.0,1,.000,.375,0,-12,0,8,14.3,11.1,0,Brandon Bass,23.8,6,20130417,-13.2,129,0,.000,2,1,3,0.0,77,3,0,3,0,0,0,1,1
20.0,0.0,1.000,.571,21.7,BOS,.643,6.1,1030.0,1,.143,.643,0,-14,0,7,36.8,30.0,0,Jeff Green,27.2,9,20130417,-3.0,125,0,.000,5,2,2,0.0,93,4,0,6,0,1,1,3,1
4.0,0.0,.500,.714,16.5,BOS,.739,0.0,861.0,0,.286,.786,1,-7,0,7,8.8,0.0,1,Paul Pierce,24.2,11,20130417,13.3,123,.000,.143,1,1,1,3.7,142,5,0,1,0,1,2,0,1
4.3,0.0,0,1.000,0.0,BOS,1.000,0.0,800.0,0,.000,1.000,0,-13,0,1,9.5,0.0,0,Chris Wilcox,3.5,2,20130417,-7.2,131,0,.000,1,0,1,0.0,200,1,0,1,0,0,0,0,1
9.5,0.0,.333,.429,22.8,BOS,.538,5.8,2174.0,2,.429,.500,1,-11,0,14,13.9,11.8,2,Jordan Crawford,21.8,16,20130417,0.6,127,1.000,.143,4,5,2,1.5,109,6,2,6,0,2,6,2,0
9.4,2.7,.400,.300,4.9,BOS,.400,3.4,1829.0,1,.500,.400,1,-16,1,10,16.6,9.1,0,Courtney Lee,16.9,8,20130417,-6.6,123,0,.000,4,1,4,1.7,82,3,0,5,0,2,5,1,0
6.1,0.0,0,.286,5.1,BOS,.457,7.4,1694.0,2,.000,.286,1,-11,0,7,4.5,0.0,4,D.J. White,14.5,8,20130417,-5.1,128,1.000,.571,1,1,2,1.9,112,2,4,3,0,0,0,0,0
8.2,2.9,.000,.429,32.0,BOS,.403,0.0,1682.0,0,.143,.429,1,-10,1,14,18.0,6.3,2,Terrence Williams,26.5,12,20130417,-1.0,122,.000,.143,4,5,1,1.9,89,6,0,4,0,0,2,1,0
6.6,0.0,0,.500,0.0,BOS,.500,0.0,1046.0,0,.000,.500,1,-5,0,2,14.5,33.3,0,Fab Melo,8.0,2,20130417,-11.4,122,0,.000,2,0,4,3.0,62,1,0,2,0,0,0,1,0
18.1,0.0,0,.500,0.0,BOS,.512,16.5,757.0,2,.000,.500,0,-5,0,4,20.0,17.0,2,Shavlik Randolph,21.8,5,20130417,-9.0,128,.500,.500,2,0,1,0.0,98,2,1,4,0,0,0,1,0
0,0,0,0,0,BOS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Kevin Garnett,0,0,20130417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BOS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Jason Terry,0,0,20130417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.9,0.0,1.000,.615,12.3,TOR,.789,4.3,1745.0,1,.231,.731,0,+23,0,13,7.2,0.0,5,DeMar DeRozan,24.8,24,20130417,10.4,105,1.000,.385,2,2,1,0.0,164,8,5,3,0,3,3,0,1
14.0,7.5,0,.600,0.0,TOR,.666,13.2,1718.0,3,.000,.600,0,+20,3,10,14.6,22.8,8,Jonas Valančiūnas,29.0,18,20130417,-3.6,95,.750,.800,4,0,2,0.0,109,6,6,7,0,0,0,4,1
19.9,0.0,.667,.429,12.9,TOR,.620,4.9,1552.0,1,.429,.571,1,+15,0,14,32.3,0.0,3,Rudy Gay,28.1,19,20130417,8.6,94,1.000,.214,8,2,2,2.0,134,6,3,9,0,4,6,0,1
5.0,6.3,1.000,.500,11.7,TOR,.615,0.0,1374.0,0,.250,.625,1,+18,2,4,9.1,0.0,2,Amir Johnson,10.1,6,20130417,5.5,93,.500,.500,2,2,1,2.3,137,2,1,2,0,1,1,0,1
5.1,0.0,.333,.333,51.2,TOR,.455,0.0,1342.0,0,.333,.389,3,+17,0,9,9.3,16.8,2,Kyle Lowry,25.2,9,20130417,6.4,89,1.000,.222,2,8,1,7.1,108,3,2,2,0,1,3,2,1
22.8,0.0,0,.500,15.8,TOR,.500,13.8,1652.0,3,.000,.500,0,+10,0,8,30.3,11.1,0,Landry Fields,15.5,8,20130417,-1.6,99,0,.000,8,3,2,0.0,118,4,0,11,0,0,0,1,0
2.2,0.0,.333,.429,21.8,TOR,.500,0.0,1538.0,0,.429,.500,0,+7,0,7,4.1,0.0,0,John Lucas III,12.9,7,20130417,-2.9,105,0,.000,1,4,0,0.0,125,3,0,1,0,1,3,0,0
13.5,0.0,0,.500,5.2,TOR,.410,0.0,1526.0,0,.000,.500,0,+9,0,4,24.6,17.0,2,Quincy Acy,11.0,4,20130417,-8.7,100,.000,.500,6,1,2,0.0,73,2,0,6,0,0,0,1,0
12.1,0.0,.400,.500,18.6,TOR,.680,6.7,1135.0,1,.500,.600,0,+1,0,10,16.5,0.0,4,Alan Anderson,29.5,16,20130417,8.8,102,1.000,.400,3,2,1,0.0,149,5,4,4,0,2,5,0,0
4.2,0.0,0,1.000,19.3,TOR,.798,0.0,818.0,0,.000,1.000,0,0,0,1,7.7,34.7,2,Aaron Gray,10.0,3,20130417,-1.9,104,.500,2.000,1,2,2,0.0,118,1,1,1,0,0,0,1,0
0,0,0,0,0,TOR,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Linas Kleiza,0,0,20130417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,TOR,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Mickaël Piétrus,0,0,20130417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,TOR,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Sebastian Telfair,0,0,20130417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,BOS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Rajon Rondo,0,0,20130417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,BOS,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Jared Sullinger,0,0,20130417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,TOR,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Andrea Bargnani,0,0,20130417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,TOR,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Terrence Ross,0,0,20130417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
