threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.000,12,15.3,20131103,MIN,10.5,3,20.0,1,.400,-5.8,0,2,2.1,4,1,106,.400,2448.0,14.5,4,0,4,0.0,0.0,97,.750,.400,0,+8,.468,0,0,15.0,11,10,0,Nikola Peković,1,8
.421,15,19.3,20131103,MIN,5.3,12,32.8,0,.579,8.8,5,4,0.0,15,4,103,.789,2431.0,13.5,10,2,2,0.0,25.6,124,.800,.526,.250,+24,.664,0,0,32.6,34,19,8,Kevin Love,1,13
.273,6,7.7,20131103,MIN,2.6,2,12.6,0,.273,-4.0,10,4,0.0,2,3,102,.182,2430.0,25.2,3,0,1,3.7,37.7,84,1.000,.273,.000,+13,.337,0,3,17.5,8,11,3,Ricky Rubio,1,5
.417,3,4.4,20131103,MIN,0.0,7,8.6,0,.958,19.7,2,0,0.0,9,1,106,.750,2148.0,0.0,9,5,0,2.8,11.7,185,.778,.750,1.000,+26,.940,0,2,19.9,30,12,5,Kevin Martin,1,3
.250,2,4.3,20131103,MIN,4.4,4,4.2,0,.375,-4.4,1,0,0.0,6,4,109,.750,1443.0,0.0,3,0,1,2.1,6.9,109,.667,.375,.000,+14,.470,0,1,19.7,10,8,2,Corey Brewer,1,1
.400,1,2.5,20131103,MIN,0.0,1,4.9,0,.500,-3.1,0,0,0.0,2,0,113,.400,1239.0,0.0,2,1,0,0.0,0.0,103,.500,.400,.500,-15,.510,0,0,12.7,6,5,2,Derrick Williams,0,1
.625,2,5.9,20131103,MIN,0.0,0,11.5,0,.438,9.8,5,0,0.0,0,0,98,.000,1070.0,0.0,3,1,0,5.7,50.0,114,0,.375,.200,-8,.438,0,2,20.0,7,8,5,J.J. Barea,0,2
.000,2,7.1,20131103,MIN,14.5,0,0.0,0,.000,-22.0,0,1,0.0,0,3,115,.000,881.0,20.0,0,0,2,0.0,0.0,33,0,.000,0,-14,.000,0,0,15.2,0,4,0,Dante Cunningham,0,0
1.000,0,0.0,20131103,MIN,0.0,0,0.0,0,.750,9.3,0,1,0.0,0,0,93,.000,310.0,33.3,1,1,0,9.8,0.0,78,0,.500,.500,-3,.750,0,1,25.9,3,2,2,Alexey Shved,0,0
0,0,0,20131103,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A.J. Price,0,0
0,0,0,20131103,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Robbie Hummel,0,0
0,0,0,20131103,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shabazz Muhammad,0,0
0,0,0,20131103,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gorgui Dieng,0,0
.286,17,20.1,20131103,NYK,11.6,4,29.0,0,.429,-3.8,3,5,0.0,5,4,115,.238,2644.0,17.7,8,2,5,0.0,10.4,94,.800,.381,.333,+8,.474,0,0,27.7,22,21,6,Carmelo Anthony,1,12
.250,2,2.7,20131103,NYK,0.0,2,5.6,1,.250,-0.1,12,3,2.4,2,4,111,.167,2286.0,18.9,3,0,0,4.0,41.7,89,1.000,.250,.000,-17,.311,0,3,18.1,8,12,3,Raymond Felton,1,2
.000,9,14.6,20131103,NYK,9.6,4,20.0,0,.750,2.4,1,0,0.0,4,4,117,1.000,1924.0,0.0,3,0,3,0.0,4.2,192,1.000,.750,0,-17,.868,0,0,7.8,10,4,0,Tyson Chandler,1,6
