ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.467,15,4,1,7,1,.467,18.4,.636,7,.667,20140203,149,4,23,0,0.0,TOR,4,0.0,1.000,24.0,7,2240.0,1.6,.533,0,6.2,2,.200,0.0,0,2,DeMar DeRozan,101,0,3,12.9,10.1,+30
.143,14,1,1,2,0,.571,6.1,.605,8,0,20140203,129,9,18,4,2.5,TOR,5,6.3,1.000,24.8,2,1904.0,0.0,.571,1,16.4,0,.000,14.1,1,3,Jonas Valančiūnas,100,0,0,18.9,3.2,+19
.250,12,2,1,1,1,.417,11.5,.413,5,0,20140203,113,11,11,5,5.4,TOR,6,0.0,.333,22.7,3,1741.0,2.1,.417,0,21.9,0,.000,19.2,2,3,Amir Johnson,92,0,0,24.8,3.3,+21
.000,8,3,1,0,1,.125,16.6,.125,1,.000,20140203,47,4,2,0,0.0,TOR,4,11.1,0,18.0,0,1484.0,2.4,.125,1,9.4,0,.625,0.0,0,0,Kyle Lowry,97,0,5,19.4,-13.1,-4
.000,8,1,1,0,1,.250,6.4,.313,2,.200,20140203,88,4,5,1,0.0,TOR,3,0.0,0,17.3,0,1374.0,2.6,.313,0,10.1,1,.625,4.9,0,3,Terrence Ross,98,0,5,15.7,-6.5,+5
.000,9,4,0,0,1,.556,20.7,.722,5,.600,20140203,141,2,13,0,0.0,TOR,2,10.0,0,15.7,0,1896.0,1.9,.722,1,3.7,3,.556,0.0,0,2,John Salmons,102,0,5,7.6,8.0,+5
.222,9,4,0,2,1,.556,24.8,.607,5,.000,20140203,144,3,12,0,0.0,TOR,3,0.0,1.000,17.8,2,1646.0,2.2,.556,0,6.3,0,.333,0.0,0,1,Greivis Vásquez,100,0,3,13.1,6.4,+9
.286,7,2,0,2,1,.286,15.8,.381,2,0,20140203,90,4,6,3,0.0,TOR,1,20.2,1.000,25.7,2,1139.0,3.2,.286,2,12.2,0,.000,17.6,0,2,Patrick Patterson,100,0,0,6.3,-5.7,-6
.000,2,0,0,0,0,1.000,0.0,1.000,2,0,20140203,131,3,4,2,0.0,TOR,1,33.3,0,9.1,0,976.0,0.0,1.000,1,10.7,0,.000,13.7,0,1,Chuck Hayes,107,0,0,7.4,-2.0,-4
0,0,0,0,0,0,0,0,0,0,0,20140203,0,0,0,0,0,TOR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Julyan Stone,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20140203,0,0,0,0,0,TOR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Steve Novak,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20140203,0,0,0,0,0,TOR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Dwight Buycks,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20140203,0,0,0,0,0,TOR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Tyler Hansbrough,0,0,0,0,0,0
.250,16,0,1,4,2,.563,0.0,.648,9,.333,20140203,142,8,23,2,0.0,UTA,6,0.0,1.000,22.7,4,2384.0,3.0,.594,0,11.6,1,.188,6.0,0,4,Marvin Williams,113,0,3,16.9,8.5,-4
.182,11,3,1,2,1,.273,13.2,.337,3,.000,20140203,73,5,8,2,2.0,UTA,3,20.2,1.000,19.6,2,2314.0,1.6,.273,3,7.5,0,.455,6.2,1,1,Gordon Hayward,119,0,5,8.7,-6.3,-27
.000,14,3,1,0,0,.286,15.5,.286,4,.000,20140203,63,6,8,3,0.0,UTA,3,22.2,0,26.1,0,2099.0,0.0,.286,4,9.9,0,.286,10.3,0,1,Trey Burke,123,0,4,9.6,-13.2,-14
.000,6,1,1,0,0,.333,8.6,.417,2,.500,20140203,100,2,5,0,0.0,UTA,2,0.0,0,14.9,0,1223.0,0.0,.417,0,5.7,1,.333,0.0,0,1,Richard Jefferson,123,0,2,11.0,-4.3,-1
.250,8,0,1,2,0,.500,0.0,.563,4,0,20140203,111,3,10,1,3.8,UTA,2,10.1,1.000,25.2,2,1191.0,0.0,.500,1,8.7,0,.000,6.0,1,3,Enes Freedom,120,0,0,11.2,-2.0,-19
.000,4,1,0,0,0,.000,4.8,.000,0,0,20140203,42,8,0,3,7.3,UTA,5,20.0,0,8.1,0,1866.0,0.0,.000,1,14.9,0,.000,11.6,3,3,Rudy Gobert,115,0,0,17.9,-7.2,+1
.357,14,0,0,4,1,.571,0.0,.617,8,.000,20140203,123,3,20,0,0.0,UTA,3,5.8,.800,29.8,5,1756.0,2.1,.571,1,5.9,0,.071,0.0,0,2,Alec Burks,118,0,1,11.4,5.7,-6
.000,3,1,0,0,0,.333,12.9,.500,1,.500,20140203,122,3,3,0,0.0,UTA,3,0.0,0,11.6,0,786.0,0.0,.500,0,13.2,1,.667,0.0,0,1,Brandon Rush,116,0,2,25.6,1.1,-4
.000,2,1,0,0,0,.500,13.0,.500,1,0,20140203,78,1,2,0,0.0,UTA,1,33.3,0,11.7,0,781.0,0.0,.500,1,4.4,0,.000,0.0,0,0,Diante Garrett,124,0,0,8.6,-7.7,-1
0,0,0,0,0,0,0,0,0,0,0,20140203,0,0,0,0,0,UTA,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Malcolm Thomas,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20140203,0,0,0,0,0,UTA,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,John Lucas III,0,0,0,0,0,0
