blk,team_abbr,fg_pct,fga,drtg,stl,efg_pct,ast_pct,date,threep,blk_pct,threepar,tov_pct,drb_pct,fg,ft,stl_pct,tov,starter,pf,orb_pct,trb_pct,ft_pct,threep_pct,pts,usg_pct,ortg,threepa,orb,ast,drb,bpm,player_name,sp,ts_pct,pm,fta,inactive,trb,ftr
0,OKC,.308,26,106,2,.327,16.3,20140409,1,0.0,.269,6.1,4.9,8,10,2.4,2,1,3,2.4,3.6,.909,.143,27,34.2,96,7,1,4,2,0.9,Kevin Durant,2467.0,.438,+5,11,0,3,.423
0,OKC,.500,24,97,2,.500,42.2,20140409,0,0.0,.125,3.5,24.1,12,6,2.9,1,1,2,9.1,16.6,.750,.000,30,36.9,120,3,3,6,8,15.1,Russell Westbrook,1988.0,.545,+15,8,0,11,.333
4,OKC,.417,12,99,0,.458,5.4,20140409,1,11.0,.083,6.8,20.2,5,4,0.0,1,1,4,3.4,11.8,1.000,1.000,15,21.3,112,1,1,1,6,4.1,Serge Ibaka,1781.0,.545,+10,4,0,7,.333
0,OKC,.333,3,102,2,.500,11.3,20140409,1,0.0,.667,0.0,4.2,1,0,4.1,0,1,4,0.0,2.1,0,.500,3,5.4,122,2,0,2,1,1.7,Thabo Sefolosha,1418.0,.500,+13,0,0,1,.000
1,OKC,1.000,3,105,0,1.000,0.0,20140409,0,3.7,.000,0.0,13.8,3,0,0.0,0,1,2,4.6,9.2,0,0,6,5.9,202,0,1,0,3,3.8,Kendrick Perkins,1307.0,1.000,+7,0,0,4,.000
1,OKC,.375,8,107,0,.500,12.6,20140409,2,3.4,.625,10.1,12.6,3,1,0.0,1,0,0,0.0,6.3,.500,.400,9,17.8,99,5,0,2,3,1.5,Reggie Jackson,1427.0,.507,-5,2,0,3,.250
1,OKC,.400,5,106,0,.400,7.3,20140409,0,4.1,.200,16.7,10.1,2,0,0.0,1,0,3,5.0,7.5,0,.000,4,12.9,82,1,1,1,2,-5.0,Caron Butler,1193.0,.400,-19,0,0,3,.000
1,OKC,1.000,2,95,1,1.000,0.0,20140409,0,4.2,.000,0.0,25.6,2,3,2.5,0,0,3,10.2,17.9,.600,0,7,9.2,177,0,2,0,5,7.2,Steven Adams,1174.0,.833,+5,5,0,7,2.500
0,OKC,.167,6,104,1,.167,9.1,20140409,0,0.0,.333,12.7,6.6,1,2,3.2,1,0,1,0.0,3.3,1.000,.000,4,22.3,62,2,0,1,1,-8.8,Derek Fisher,910.0,.291,-8,2,0,1,.333
0,OKC,1.000,1,106,0,1.000,11.5,20140409,0,0.0,.000,50.0,16.3,1,0,0.0,1,0,2,16.3,16.3,0,0,2,7.0,127,0,2,1,2,-1.2,Nick Collison,735.0,1.000,+7,0,0,4,.000
0,OKC,0,0,0,0,0,0,20140409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hasheem Thabeet,0.0,0,0,0,0,0,0
0,OKC,0,0,0,0,0,0,20140409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeremy Lamb,0.0,0,0,0,0,0,0
0,OKC,0,0,0,0,0,0,20140409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perry Jones,0.0,0,0,0,0,0,0
0,LAC,.471,17,110,2,.559,36.4,20140409,3,0.0,.412,16.0,10.0,8,6,2.4,4,1,4,2.5,6.3,.667,.429,25,25.6,115,7,1,8,4,7.5,Chris Paul,2397.0,.596,-7,9,0,5,.529
0,LAC,.478,23,112,0,.478,5.4,20140409,0,0.0,.043,9.7,17.9,11,8,0.0,3,1,4,12.8,15.3,.727,.000,30,32.3,109,1,5,1,7,2.4,Blake Griffin,2351.0,.539,-6,11,0,12,.478
3,LAC,.667,6,103,1,.667,0.0,20140409,0,6.4,.000,9.5,21.4,4,2,1.5,1,1,2,15.3,18.3,.250,0,10,13.2,106,0,5,0,7,3.3,DeAndre Jordan,1963.0,.525,-10,8,0,12,1.333
2,LAC,.333,9,109,0,.389,15.9,20140409,1,4.8,.444,18.2,17.2,3,0,0.0,2,1,3,6.9,12.0,0,.250,7,15.5,85,4,2,3,5,-0.2,Matt Barnes,1749.0,.389,-5,0,0,7,.000
0,LAC,.143,7,111,1,.214,41.0,20140409,1,0.0,1.000,28.7,11.0,1,1,1.8,3,1,1,0.0,5.5,1.000,.143,4,15.7,75,7,0,8,3,-1.5,J.J. Redick,1640.0,.269,-9,1,0,3,.143
0,LAC,.364,11,115,0,.409,16.8,20140409,1,0.0,.273,14.0,10.3,4,3,0.0,2,0,1,0.0,5.2,1.000,.333,12,20.2,98,3,0,3,3,-2.6,Darren Collison,1747.0,.487,+3,3,0,3,.273
0,LAC,.500,4,99,1,.500,0.0,20140409,0,0.0,.000,20.0,33.7,2,0,4.1,1,0,2,16.9,25.3,0,0,4,17.3,93,0,2,0,4,0.1,Glen Davis,712.0,.500,0,0,0,6,.000
0,LAC,.429,7,101,1,.571,0.0,20140409,2,0.0,.571,0.0,25.4,3,1,4.1,0,0,3,0.0,12.7,.500,.500,9,27.3,117,4,0,0,3,8.9,Hedo Türkoğlu,710.0,.571,+5,2,0,3,.286
0,LAC,0,0,115,0,0,0.0,20140409,0,0.0,0,0,8.5,0,0,0.0,0,0,2,0.0,4.2,0,0,0,0.0,0,0,0,0,1,-5.9,Reggie Bullock,708.0,0,+2,0,0,1,0
0,LAC,.000,2,103,1,.000,0.0,20140409,0,0.0,.500,0.0,0.0,0,0,6.9,0,0,0,0.0,0.0,0,.000,0,11.6,0,1,0,0,0,-6.3,Jared Dudley,423.0,.000,-3,0,0,0,.000
0,LAC,0,0,0,0,0,0,20140409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Hollins,0.0,0,0,0,0,0,0
0,LAC,0,0,0,0,0,0,20140409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jamal Crawford,0.0,0,0,0,0,0,0
0,LAC,0,0,0,0,0,0,20140409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Willie Green,0.0,0,0,0,0,0,0
0,OKC,0,0,0,0,0,0,20140409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grant Jerrett,0.0,0,0,0,1,0,0
0,OKC,0,0,0,0,0,0,20140409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andre Roberson,0.0,0,0,0,1,0,0
0,LAC,0,0,0,0,0,0,20140409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Danny Granger,0.0,0,0,0,1,0,0
