threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.545,3,4.6,20141107,IND,0.0,0,9.9,0,.545,-5.4,0,3,0.0,0,1,113,.000,2368.0,21.4,5,2,0,1.3,0.0,87,0,.455,.333,-1,.545,0,1,16.0,12,11,6,Solomon Hill,1,3
.308,6,9.5,20141107,IND,8.8,5,10.3,0,.462,-4.8,4,5,0.0,5,5,116,.385,2276.0,24.8,6,0,3,0.0,15.6,101,1.000,.462,.000,+7,.559,0,0,24.0,17,13,4,Chris Copeland,1,3
.286,5,8.9,20141107,IND,3.3,2,15.5,0,.393,0.9,4,0,0.0,2,0,111,.143,2014.0,0.0,5,1,1,1.6,17.4,114,1.000,.357,.250,+5,.437,0,1,19.9,13,14,4,Donald Sloan,1,4
.000,11,20.5,20141107,IND,13.9,6,28.2,4,.500,7.1,2,2,10.3,6,4,104,.375,1931.0,9.7,8,0,4,0.0,10.6,125,1.000,.500,0,+11,.590,0,0,28.8,22,16,0,Roy Hibbert,1,7
.083,8,16.5,20141107,IND,3.8,0,31.2,0,.542,0.8,1,0,0.0,0,2,111,.000,1744.0,0.0,6,1,1,0.0,5.5,124,0,.500,1.000,+7,.542,0,0,18.6,13,12,1,Luis Scola,1,7
.000,7,22.2,20141107,IND,23.6,0,20.6,0,.545,5.5,1,0,0.0,0,0,113,.000,1136.0,0.0,6,0,4,0.0,10.2,131,0,.545,0,-10,.545,0,0,26.1,12,11,0,Lavoy Allen,0,3
.250,1,3.2,20141107,IND,0.0,0,7.0,0,.500,-7.5,1,1,0.0,0,1,117,.000,1116.0,20.0,2,0,0,0.0,7.4,90,0,.500,.000,-12,.500,0,0,12.1,4,4,1,Damjan Rudež,0,1
0,1,3.8,20141107,IND,7.1,0,0.0,2,0,-3.8,1,1,10.5,0,3,111,0,948.0,100.0,0,0,1,0.0,7.6,70,0,0,0,-12,0,0,0,2.8,0,0,0,Ian Mahinmi,0,0
.429,0,0.0,20141107,IND,0.0,0,0.0,0,.357,-5.6,4,1,0.0,0,1,119,.000,867.0,12.5,2,1,0,0.0,39.8,91,0,.286,.333,-10,.357,0,0,24.9,5,7,3,A.J. Price,0,0
0,0,0,20141107,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shayne Whittington,0,0
0,0,0,20141107,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,David West,0,0
0,0,0,20141107,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rodney Stuckey,0,0
0,0,0,20141107,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C.J. Miles,0,0
.294,6,11.0,20141107,BOS,3.9,0,17.0,0,.500,1.5,5,0,0.0,0,4,111,.000,1971.0,0.0,8,1,1,0.0,26.8,116,0,.471,.200,+8,.500,0,0,23.9,17,17,5,Jared Sullinger,1,5
.583,7,14.1,20141107,BOS,8.7,2,18.8,0,.542,-3.2,1,3,0.0,2,1,110,.167,1785.0,18.9,5,3,2,0.0,5.2,100,1.000,.417,.429,-9,.582,0,0,24.6,15,12,7,Jeff Green,1,5
.333,3,6.2,20141107,BOS,4.5,2,7.7,0,.375,-11.5,1,2,0.0,2,2,115,.167,1745.0,13.4,4,1,1,0.0,5.1,83,1.000,.333,.250,-2,.427,0,0,23.6,11,12,4,Avery Bradley,1,2
.286,5,10.7,20141107,BOS,9.3,0,12.0,0,.857,4.2,2,2,0.0,0,2,109,.000,1678.0,22.2,5,2,2,1.9,11.3,130,0,.714,1.000,-2,.857,0,1,14.8,12,7,2,Kelly Olynyk,1,3
.100,4,8.6,20141107,BOS,4.7,0,12.0,1,.400,-2.4,6,3,2.5,0,2,103,.000,1670.0,23.1,4,0,1,3.8,32.2,85,0,.400,.000,-5,.400,0,2,21.5,8,10,1,Rajon Rondo,1,3
.000,4,11.8,20141107,BOS,6.4,4,16.5,1,.750,15.6,4,0,3.4,4,0,109,1.000,1220.0,0.0,3,0,1,0.0,29.6,193,1.000,.750,0,+8,.868,0,0,13.1,10,4,0,Brandon Bass,0,3
.000,2,7.3,20141107,BOS,0.0,0,13.7,0,.571,-6.9,1,1,0.0,0,2,112,.000,981.0,12.5,4,0,0,0.0,10.8,99,0,.571,0,+9,.571,0,0,22.6,8,7,0,Evan Turner,0,2
.667,2,7.7,20141107,BOS,0.0,0,14.4,1,.250,-11.3,0,0,4.5,0,1,109,.000,932.0,0.0,1,1,0,0.0,0.0,56,0,.167,.250,+1,.250,0,0,17.8,3,6,4,Marcus Smart,0,2
.667,1,4.8,20141107,BOS,0.0,0,8.9,0,.833,17.1,4,1,0.0,0,1,96,.000,751.0,25.0,2,1,0,8.5,49.0,141,0,.667,.500,+8,.833,0,2,14.7,5,3,2,Phil Pressey,0,1
.000,2,10.0,20141107,BOS,10.8,4,9.3,0,1.000,2.5,1,0,0.0,6,3,114,6.000,719.0,0.0,1,0,1,0.0,11.4,181,.667,1.000,0,-4,.824,0,0,14.0,6,1,0,Tyler Zeller,0,1
.000,1,7.2,20141107,BOS,0.0,2,13.3,0,.000,-3.1,0,0,0.0,2,0,99,1.000,502.0,0.0,0,0,0,6.3,0.0,84,1.000,.000,0,+1,.347,0,1,15.9,2,2,0,Gerald Wallace,0,1
.500,1,8.1,20141107,BOS,0.0,0,15.1,0,.500,-2.7,1,0,0.0,0,1,112,.000,445.0,0.0,2,0,0,0.0,24.8,111,0,.500,.000,+2,.500,0,0,24.9,4,4,2,Marcus Thornton,0,1
0,0,0,20141107,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Young,0,0
0,0,0,20141107,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Paul George,0,0
0,0,0,20141107,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,George Hill,0,0
0,0,0,20141107,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,C.J. Watson,0,0
0,0,0,20141107,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Vítor Luiz Faverani,0,0
0,0,0,20141107,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Dwight Powell,0,0
