trb_pct,blk_pct,threep_pct,fg_pct,ast_pct,team_abbr,ts_pct,orb_pct,sp,orb,threepar,efg_pct,stl,pm,blk,fga,drb_pct,tov_pct,fta,player_name,usg_pct,pts,date,bpm,drtg,ft_pct,ftr,drb,ast,pf,stl_pct,ortg,fg,ft,trb,inactive,threep,threepa,tov,starter
4.7,0.0,.400,.533,31.7,OKC,.722,0.0,2395.0,0,.333,.600,1,+9,0,15,9.0,4.9,10,Reggie Jackson,24.6,28,20141112,12.1,107,1.000,.667,3,8,0,1.4,154,8,10,3,0,2,5,1,1
21.0,0.0,0,.600,20.3,OKC,.595,17.1,2346.0,5,.000,.600,0,+21,0,5,24.6,25.4,2,Lance Thomas,9.7,7,20141112,3.0,107,.500,.400,8,6,2,0.0,133,3,1,13,0,0,0,2,1
8.5,3.2,.333,.500,0.0,OKC,.550,0.0,1785.0,0,.300,.550,0,-7,1,10,16.1,0.0,0,Serge Ibaka,16.2,11,20141112,-2.4,106,0,.000,4,0,1,0.0,110,5,0,4,0,1,3,0,1
13.1,4.0,0,.375,5.9,OKC,.461,11.1,1443.0,2,.000,.375,0,-11,1,8,15.0,23.5,4,Steven Adams,25.5,9,20141112,-10.2,106,.750,.500,3,1,2,0.0,85,3,3,5,0,0,0,3,1
3.8,0.0,.000,.200,8.5,OKC,.200,0.0,994.0,0,.500,.200,0,-10,0,10,7.2,0.0,0,Jeremy Lamb,29.1,4,20141112,-24.1,111,0,.000,1,1,3,0.0,51,2,0,1,0,0,5,0,1
10.0,0.0,.800,.688,6.6,OKC,.829,0.0,1886.0,0,.313,.813,0,+25,0,16,19.1,5.6,2,Anthony Morrow,27.4,28,20141112,12.6,108,1.000,.125,5,1,1,0.0,150,11,2,5,0,4,5,1,0
9.3,0.0,.400,.400,16.1,OKC,.551,0.0,1629.0,0,.500,.500,0,+16,0,10,17.7,0.0,2,Nick Collison,19.3,12,20141112,1.0,108,1.000,.200,4,3,3,0.0,125,4,2,4,0,2,5,0,0
10.5,4.0,0,.500,0.0,OKC,.500,5.6,1437.0,1,.000,.500,0,+26,1,6,15.0,14.3,0,Kendrick Perkins,14.1,6,20141112,-4.9,106,0,.000,3,0,0,0.0,92,3,0,4,0,0,0,1,0
15.6,0.0,1.000,.500,52.3,OKC,.694,0.0,485.0,0,.500,.750,0,+6,0,2,29.7,0.0,2,Sebastian Telfair,17.2,4,20141112,12.9,106,.500,1.000,2,3,1,0.0,166,1,1,2,0,1,1,0,0
0,0,0,0,0,OKC,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Russell Westbrook,0,0,20141112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
