ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.444,9,2,1,3,0,.444,6.9,.604,4,.500,20150102,113,7,13,3,2.5,DAL,4,21.8,.750,16.4,4,2117.0,0.0,.556,3,10.6,2,.444,9.1,1,4,Chandler Parsons,108,0,4,12.1,-2.3,+7
.000,19,5,1,0,1,.632,24.2,.763,12,.714,20150102,148,6,29,1,0.0,DAL,5,9.5,0,25.2,0,2093.0,1.4,.763,2,9.2,5,.368,3.1,0,3,Rajon Rondo,106,0,7,15.3,13.1,+9
.235,17,4,1,4,2,.471,16.7,.586,8,.667,20150102,140,5,22,0,0.0,DAL,5,0.0,1.000,23.1,4,2041.0,2.9,.529,0,7.8,2,.176,0.0,0,2,Monta Ellis,103,0,3,15.7,6.7,+5
.571,7,1,1,4,2,.286,3.5,.457,2,0,20150102,118,16,8,4,0.0,DAL,12,10.2,1.000,12.7,4,1932.0,3.1,.286,1,26.5,0,.000,13.3,0,3,Tyson Chandler,96,0,0,39.8,-0.9,+18
.158,19,4,1,3,0,.368,18.7,.418,7,.000,20150102,101,7,17,2,0.0,DAL,5,9.0,1.000,30.9,3,1820.0,0.0,.368,2,12.3,0,.105,7.0,0,2,Dirk Nowitzki,109,0,2,17.6,-5.7,+17
.000,6,2,0,0,1,.500,11.9,.667,3,.500,20150102,155,2,8,0,0.0,DAL,2,0.0,0,11.9,0,1270.0,2.4,.667,0,5.0,2,.667,0.0,0,3,Richard Jefferson,105,0,4,10.1,5.0,+6
.250,8,3,0,2,1,.375,22.4,.563,3,.333,20150102,143,1,10,0,0.0,DAL,1,0.0,1.000,21.3,2,1048.0,2.9,.500,0,3.1,2,.750,0.0,0,1,Devin Harris,106,0,6,6.1,7.4,+18
.000,4,1,0,0,1,.750,9.5,.750,3,0,20150102,134,3,6,2,0.0,DAL,1,20.0,0,14.5,0,867.0,3.5,.750,1,11.1,0,.000,14.8,0,2,Greg Smith,104,0,0,7.4,4.0,-1
.000,2,1,0,0,0,.500,14.8,.500,1,0,20150102,130,0,2,0,0.0,DAL,0,0.0,0,10.1,0,497.0,0.0,.500,0,0.0,0,.000,0.0,0,1,J.J. Barea,113,0,0,0.0,-6.1,+3
.000,3,0,0,0,0,.000,0.0,.000,0,.000,20150102,40,3,0,3,0.0,DAL,0,40.0,0,26.8,0,469.0,0.0,.000,2,20.5,0,.333,40.9,0,0,Charlie Villanueva,114,0,1,0.0,-30.1,+5
